Player Name,FantasyPros Rank
Christian McCaffrey,1
CeeDee Lamb,2
Tyreek Hill,3
Ja'Marr Chase,4
Justin Jefferson,5
Bijan Robinson,6
Breece Hall,7
Amon-Ra St. Brown,8
A.J. Brown,9
Puka Nacua,10
Garrett Wilson,11
Jonathan Taylor,12
Jahmyr Gibbs,13
Davante Adams,14
Marvin Harrison Jr.,15
Saquon Barkley,16
Nico Collins,17
Chris Olave,18
Drake London,19
Kyren Williams,20
De'Von Achane,21
Josh Allen,22
Deebo Samuel Sr.,23
Travis Etienne Jr.,24
Sam LaPorta,25
Brandon Aiyuk,26
Jaylen Waddle,27
Mike Evans,28
Michael Pittman Jr.,29
Derrick Henry,30
DJ Moore,31
Jalen Hurts,32
Cooper Kupp,33
DK Metcalf,34
Travis Kelce,35
Stefon Diggs,36
DeVonta Smith,37
Isiah Pacheco,38
Josh Jacobs,39
Patrick Mahomes II,40
Lamar Jackson,41
Rachaad White,42
Malik Nabers,43
Trey McBride,44
Zay Flowers,45
James Cook,46
Amari Cooper,47
Mark Andrews,48
George Pickens,49
Keenan Allen,50
Dalton Kincaid,51
Anthony Richardson,52
Tee Higgins,53
Joe Mixon,54
Kenneth Walker III,55
Tank Dell,56
Christian Kirk,57
C.J. Stroud,58
Terry McLaurin,59
Alvin Kamara,60
Kyle Pitts,61
Jayden Reed,62
Chris Godwin,63
Calvin Ridley,64
Aaron Jones,65
Hollywood Brown,66
Rhamondre Stevenson,67
Evan Engram,68
Dak Prescott,69
Najee Harris,70
Joe Burrow,71
George Kittle,72
Diontae Johnson,73
Rashee Rice,74
Jordan Love,75
DeAndre Hopkins,76
Kyler Murray,77
D'Andre Swift,78
David Montgomery,79
Zamir White,80
James Conner,81
Jordan Addison,82
Christian Watson,83
Zack Moss,84
Jaylen Warren,85
Ladd McConkey,86
Jake Ferguson,87
Raheem Mostert,88
Jonathon Brooks,89
Xavier Worthy,90
Tony Pollard,91
Jaxon Smith-Njigba,92
Javonte Williams,93
Rome Odunze,94
David Njoku,95
Brock Purdy,96
Austin Ekeler,97
Brock Bowers,98
Devin Singletary,99
Keon Coleman,100
Courtland Sutton,101
Tyjae Spears,102
Jayden Daniels,103
Brian Thomas Jr.,104
Brian Robinson Jr.,105
Jameson Williams,106
Jared Goff,107
Tua Tagovailoa,108
Caleb Williams,109
Trey Benson,110
Trevor Lawrence,111
Justin Herbert,112
Dallas Goedert,113
Curtis Samuel,114
Jerome Ford,115
Blake Corum,116
Chase Brown,117
Tyler Lockett,118
Nick Chubb,119
Khalil Shakir,120
Jakobi Meyers,121
Ezekiel Elliott,122
Romeo Doubs,123
Kirk Cousins,124
T.J. Hockenson,125
Gus Edwards,126
Dalton Schultz,127
Joshua Palmer,128
Zach Charbonnet,129
Pat Freiermuth,130
Rashid Shaheed,131
Matthew Stafford,132
Mike Williams,133
Kendre Miller,134
Jerry Jeudy,135
Brandin Cooks,136
Cole Kmet,137
Aaron Rodgers,138
Ty Chandler,139
Jahan Dotson,140
Gabe Davis,141
Josh Downs,142
Deshaun Watson,143
Baker Mayfield,144
MarShawn Lloyd,145
Rico Dowdle,146
Taysom Hill,147
Kimani Vidal,148
Luke Musgrave,149
Jaylen Wright,150
Dontayvion Wicks,151
Chuba Hubbard,152
Antonio Gibson,153
Adonai Mitchell,154
Adam Thielen,155
Jaleel McLaughlin,156
Geno Smith,157
Quentin Johnston,158
Will Levis,159
Michael Wilson,160
Darnell Mooney,161
Tyler Allgeier,162
Xavier Legette,163
J.K. Dobbins,164
Ray Davis,165
Hunter Henry,166
Tyler Conklin,167
Derek Carr,168
Ja'Lynn Polk,169
Ricky Pearsall,170
DeMario Douglas,171
Cade Otton,172
Bucky Irving,173
Wan'Dale Robinson,174
Troy Franklin,175
Bryce Young,176
Roschon Johnson,177
Chigoziem Okonkwo,178
Marvin Mims Jr.,179
Tyrone Tracy Jr.,180
Isaiah Likely,181
Daniel Jones,182
Braelon Allen,183
Jermaine Burton,184
Jonnu Smith,185
Russell Wilson,186
Khalil Herbert,187
Elijah Mitchell,188
Roman Wilson,189
J.J. McCarthy,190
Rashod Bateman,191
Noah Fant,192
Demarcus Robinson,193
Bo Nix,194
Justin Fields,195
D'Onta Foreman,196
Ben Sinnott,197
Dameon Pierce,198
Drake Maye,199
Juwan Johnson,200
Audric Estime,201
Malachi Corley,202
Clyde Edwards-Helaire,203
Luke McCaffrey,204
Alexander Mattison,205
Mike Gesicki,206
Tyler Boyd,207
Gardner Minshew II,208
Keaton Mitchell,209
Elijah Moore,210
Tank Bigsby,211
Zay Jones,212
Devontez Walker,213
Sam Darnold,214
Darius Slayton,215
Jalin Hyatt,216
Ja'Tavion Sanders,217
Jelani Woods,218
Samaje Perine,219
Will Shipley,220
A.T. Perry,221
Javon Baker,222
AJ Dillon,223
Aidan O'Connell,224
Hayden Hurst,225
Kendrick Bourne,226
Isaac Guerendo,227
Zach Ertz,228
Michael Mayer,229
Odell Beckham Jr.,230
Dylan Laube,231
Baltimore Ravens DST,232
Kenneth Gainwell,233
Dallas Cowboys DST,234
Jalen Tolbert,235
Greg Dulcich,236
San Francisco 49ers DST,237
Jalen McMillan,238
Colby Parkinson,239
New York Jets DST,240
Cleveland Browns DST,241
Darren Waller,242
Jacoby Brissett,243
DJ Chark Jr.,244
Greg Dortch,245
Pittsburgh Steelers DST,246
Trey Sermon,247
Donald Parham Jr.,248
Kansas City Chiefs DST,249
Rondale Moore,250
Buffalo Bills DST,251
Miami Dolphins DST,252
Daniel Bellinger,253
Dawson Knox,254
Tucker Kraft,255
Theo Johnson,256
Houston Texans DST,257
Philadelphia Eagles DST,258
Indianapolis Colts DST,259
Justice Hill,260
Chicago Bears DST,261
Nelson Agholor,262
Miles Sanders,263
Tre Tucker,264
Calvin Austin III,265
Las Vegas Raiders DST,266
Kareem Hunt,267
New Orleans Saints DST,268
Green Bay Packers DST,269
Detroit Lions DST,270
K.J. Osborn,271
Tampa Bay Buccaneers DST,272
Eric Gray,273
Dalvin Cook,274
Kalif Raymond,275
Jacksonville Jaguars DST,276
Malik Washington,277
New England Patriots DST,278
Cincinnati Bengals DST,279
Jauan Jennings,280
Tyler Higbee,281
Andrei Iosivas,282
Bo Melton,283
Minnesota Vikings DST,284
Chase Claypool,285
Brenden Rice,286
Los Angeles Chargers DST,287
Jamaal Williams,288
Josh Reynolds,289
Michael Penix Jr.,290
Atlanta Falcons DST,291
Seattle Seahawks DST,292
Rasheen Ali,293
Joe Flacco,294
Nyheim Hines,295
Lucas Krull,296
New York Giants DST,297
Evan Hull,298
Gerald Everett,299
Noah Brown,300
John Metchie III,301
Marquez Valdes-Scantling,302
Denver Broncos DST,303
Xavier Gipson,304
Deuce Vaughn,305
Sam Howell,306
Kadarius Toney,307
Cedric Tillman,308
Jawhar Jordan,309
Tutu Atwell,310
Trey Palmer,311
Jalen Brooks,312
Johnny Wilson,313
Jarrett Stidham,314
Frank Gore Jr.,315
Treylon Burks,316
Jameis Winston,317
Michael Thomas,318
Ty Johnson,319
Los Angeles Rams DST,320
Cordarrelle Patterson,321
Washington Commanders DST,322
Michael Carter,323
Will Dissly,324
Tennessee Titans DST,325
Chris Rodriguez Jr.,326
D'Ernest Johnson,327
Jake Browning,328
Drew Lock,329
Kenny Pickett,330
Ainias Smith,331
Parris Campbell,332
Erick All Jr.,333
Davis Allen,334
Blake Watson,335
Noah Gray,336
Arizona Cardinals DST,337
Tim Patrick,338
Tyquan Thornton,339
Carolina Panthers DST,340
Logan Thomas,341
Mitchell Trubisky,342
Tyrod Taylor,343
Trey Lance,344
