,Rank,Name,Team,Position,Final PPG,Bye Week,ESPN ADP
0,1,Dak Prescott,Dallas Cowboys,QB,20.516644900385156,7,66.0
1,2,Josh Allen,Buffalo Bills,QB,20.41477237972891,12,25.0
2,3,Brock Purdy,San Francisco 49ers,QB,20.075429263563446,9,92.0
3,4,Jordan Love,Green Bay Packers,QB,19.91876345045548,10,71.0
4,5,Lamar Jackson,Baltimore Ravens,QB,19.811732767171687,14,31.0
5,6,Kirk Cousins,Atlanta Falcons,QB,19.65169311245877,12,146.0
6,7,Russell Wilson,Pittsburgh Steelers,QB,19.121060382739707,9,210.0
7,8,C.J. Stroud,Houston Texans,QB,18.564337361537305,14,42.0
8,9,Justin Herbert,San Diego Chargers,QB,18.352547859693946,5,154.0
9,10,Jalen Hurts,Philadelphia Eagles,QB,17.93560338768245,5,27.0
10,11,Patrick Mahomes,Kansas City Chiefs,QB,17.848639486898485,6,
11,12,Kyler Murray,Arizona Cardinals,QB,17.80588597279128,11,76.0
12,13,Jared Goff,Detroit Lions,QB,17.747361069514348,5,144.0
13,14,Justin Fields,Pittsburgh Steelers,QB,16.997980512659595,9,202.0
14,15,Tua Tagovailoa,Miami Dolphins,QB,16.870683922500646,6,127.0
15,16,Baker Mayfield,Tampa Bay Buccaneers,QB,16.766070591691147,11,172.0
16,17,Joshua Dobbs,San Francisco 49ers,QB,16.44222328160199,9,
17,18,Jahmyr Gibbs,Detroit Lions,RB,16.346482802437492,5,12.0
18,19,Carson Wentz,Kansas City Chiefs,QB,16.32284014357368,6,
19,20,Matthew Stafford,St. Louis Rams,QB,16.17397386911233,6,166.0
20,21,Joe Flacco,Indianapolis Colts,QB,16.14601296998384,14,
21,22,Kyren Williams,St. Louis Rams,RB,16.103437974105137,6,15.0
22,23,Marcus Mariota,Washington Football Team,QB,16.052180238336987,14,
23,24,Joe Burrow,Cincinnati Bengals,QB,15.945828815332844,12,52.0
24,25,Jake Browning,Cincinnati Bengals,QB,15.791300389086208,12,
25,26,Daniel Jones,New York Giants,QB,15.41745810216524,11,227.0
26,27,Trevor Lawrence,Jacksonville Jaguars,QB,15.399790822462371,12,152.0
27,28,Sam Howell,Seattle Seahawks,QB,15.356634898909432,10,
28,29,Derek Carr,New Orleans Saints,QB,14.951999373714182,12,236.0
