,Rank,Name,Team,Position,Final PPG,Bye Week,ESPN ADP
0,1,Christian McCaffrey,San Francisco 49ers,RB,19.469239993082105,9.0,1.0
1,2,Ezekiel Elliott,Dallas Cowboys,RB,18.998476917279167,7.0,180.0
2,3,Kyle Juszczyk,San Francisco 49ers,RB,18.86066239747332,9.0,246.0
3,4,Josh Allen,Buffalo Bills,QB,18.71689418519289,12.0,22.0
4,5,Royce Freeman,Dallas Cowboys,RB,18.550839423076766,7.0,
5,6,Elijah Mitchell,San Francisco 49ers,RB,18.28615734756423,9.0,199.0
6,7,Aaron Jones,Minnesota Vikings,RB,18.15691895797873,6.0,60.0
7,8,Jordan Mason,San Francisco 49ers,RB,17.8829621771052,9.0,
8,9,Rico Dowdle,Dallas Cowboys,RB,17.790907345437585,7.0,170.0
9,10,Patrick Taylor,San Francisco 49ers,RB,17.41056728590082,9.0,
10,11,Breece Hall,New York Jets,RB,17.227893183222093,12.0,5.0
11,12,Patrick Mahomes,Kansas City Chiefs,QB,16.84310172622136,6.0,
12,13,Ty Chandler,Minnesota Vikings,RB,16.817608178555997,6.0,158.0
13,14,Lamar Jackson,Baltimore Ravens,QB,16.41391327136857,14.0,27.0
14,15,Jalen Hurts,Philadelphia Eagles,QB,16.269965373388892,5.0,26.0
15,16,Joshua Dobbs,San Francisco 49ers,QB,16.179896677118144,9.0,
16,17,Sam Howell,Seattle Seahawks,QB,16.00724003894544,10.0,
17,18,C.J. Ham,Minnesota Vikings,RB,15.95210654402587,6.0,
18,19,Justin Fields,Pittsburgh Steelers,QB,15.943921300909931,9.0,172.0
19,20,Cam Akers,Minnesota Vikings,RB,15.91513567151508,6.0,
20,21,Justin Herbert,San Diego Chargers,QB,15.627408319368527,,96.0
21,22,Derrick Henry,Baltimore Ravens,RB,15.573353350850526,14.0,18.0
22,23,C.J. Stroud,Houston Texans,QB,15.569013940589029,14.0,39.0
23,24,Kyler Murray,Arizona Cardinals,QB,15.511838505549306,11.0,69.0
24,25,Justice Hill,Baltimore Ravens,RB,15.049373074818286,14.0,
25,26,Keaton Mitchell,Baltimore Ravens,RB,14.87087668958477,14.0,178.0
26,27,Joe Burrow,Cincinnati Bengals,QB,14.802664751304343,12.0,47.0
27,28,Najee Harris,Pittsburgh Steelers,RB,14.80067215729259,9.0,76.0
28,29,Jaylen Warren,Pittsburgh Steelers,RB,14.74938527375919,9.0,87.0
29,30,Raheem Mostert,Miami Dolphins,RB,14.728027974184243,6.0,83.0
30,31,Will Levis,Tennessee Titans,QB,14.645805455960412,5.0,207.0
31,32,Alec Ingold,Miami Dolphins,RB,14.372349696930677,6.0,
32,33,Jake Browning,Cincinnati Bengals,QB,14.330440649503798,12.0,
33,34,Brandin Cooks,Dallas Cowboys,WR,14.22077738752794,7.0,152.0
34,35,Geno Smith,Seattle Seahawks,QB,14.11805525587749,10.0,171.0
35,36,Jake Ferguson,Dallas Cowboys,TE,14.101816604459229,7.0,82.0
36,37,Trevor Lawrence,Jacksonville Jaguars,QB,14.064855185004392,12.0,126.0
37,38,Tyler Conklin,New York Jets,TE,13.932143821548,12.0,159.0
38,39,George Kittle,San Francisco 49ers,TE,13.815974689691052,9.0,52.0
39,40,Salvon Ahmed,Miami Dolphins,RB,13.779382968443214,6.0,
40,41,Johnny Mundt,Minnesota Vikings,TE,13.776693767322891,6.0,
41,42,Garrett Wilson,New York Jets,WR,13.740979951821853,12.0,17.0
42,43,Brandon Powell,Minnesota Vikings,WR,13.694077519723796,6.0,
43,44,CeeDee Lamb,Dallas Cowboys,WR,13.689189459166077,7.0,2.0
44,45,Brock Purdy,San Francisco 49ers,QB,13.683536485865927,9.0,72.0
45,46,Tua Tagovailoa,Miami Dolphins,QB,13.635600874479104,6.0,115.0
46,47,Zach Wilson,Denver Broncos,QB,13.606432350429722,14.0,
47,48,Taylor Heinicke,Atlanta Falcons,QB,13.582034998428083,12.0,
48,49,Jerome Ford,Cleveland Browns,RB,13.575958740474626,10.0,149.0
49,50,Jonathan Taylor,Indianapolis Colts,RB,13.569152413699427,14.0,11.0
50,51,Allen Lazard,New York Jets,WR,13.565880494542233,12.0,
51,52,Xavier Gipson,New York Jets,WR,13.51846243684331,12.0,
52,53,Jalen Tolbert,Dallas Cowboys,WR,13.504455365143263,7.0,
53,54,Brandon Aiyuk,San Francisco 49ers,WR,13.487503077999405,9.0,40.0
54,55,Robert Tonyan,Minnesota Vikings,TE,13.458220825863831,6.0,
55,56,T.J. Hockenson,Minnesota Vikings,TE,13.410147229648896,6.0,98.0
56,57,Peyton Hendershot,Dallas Cowboys,TE,13.387631462414026,7.0,
57,58,Josh Jacobs,Green Bay Packers,RB,13.375647027719914,10.0,33.0
58,59,Myles Gaskin,Minnesota Vikings,RB,13.365164522241052,6.0,
59,60,Trent Sherfield,Minnesota Vikings,WR,13.3598523216458,6.0,
60,61,Josh Oliver,Minnesota Vikings,TE,13.30863131848639,6.0,
61,62,Godwin Igwebuike,Pittsburgh Steelers,RB,13.280922908942872,9.0,
62,63,Jeremy Ruckert,New York Jets,TE,13.261253421629965,12.0,
63,64,Luke Schoonmaker,Dallas Cowboys,TE,13.240853706784211,7.0,
64,65,Ronnie Bell,San Francisco 49ers,WR,13.232865947768458,9.0,
65,66,Jauan Jennings,San Francisco 49ers,WR,13.227209126538815,9.0,236.0
66,67,Nelson Agholor,Baltimore Ravens,WR,13.215930071624134,14.0,
67,68,Jordan Love,Green Bay Packers,QB,13.072119713556049,10.0,74.0
68,69,Pierre Strong,Cleveland Browns,RB,13.006579724594497,10.0,
69,70,Mike Williams,New York Jets,WR,12.897015251539692,12.0,114.0
70,71,Desmond Ridder,Arizona Cardinals,QB,12.855752749806353,11.0,
71,72,Rashod Bateman,Baltimore Ravens,WR,12.820890173176243,14.0,208.0
72,73,MyCole Pruitt,Pittsburgh Steelers,TE,12.748701630048586,9.0,
73,74,Nick Chubb,Cleveland Browns,RB,12.685349988860104,10.0,65.0
74,75,Trent Taylor,San Francisco 49ers,WR,12.62615967137299,9.0,
75,76,Nyheim Hines,Cleveland Browns,RB,12.621010685708669,10.0,
76,77,Eric Saubert,San Francisco 49ers,TE,12.58957392060452,9.0,
77,78,Charlie Kolar,Baltimore Ravens,TE,12.57599496858885,14.0,
78,79,Jalen Nailor,Minnesota Vikings,WR,12.5071026153634,6.0,
79,80,Jordan Addison,Minnesota Vikings,WR,12.50524240037552,6.0,102.0
80,81,Van Jefferson,Pittsburgh Steelers,WR,12.468630167200288,9.0,
81,82,Deonte Harty,Baltimore Ravens,WR,12.458454830594636,14.0,
82,83,Scott Miller,Pittsburgh Steelers,WR,12.41751763967749,9.0,
83,84,Mark Andrews,Baltimore Ravens,TE,12.346211873000856,14.0,37.0
84,85,Jonnu Smith,Miami Dolphins,TE,12.296380992279106,6.0,234.0
85,86,Justin Jefferson,Minnesota Vikings,WR,12.272272468155387,6.0,7.0
86,87,Rhamondre Stevenson,New England Patriots,RB,12.175811310347983,14.0,68.0
