Rank,Name,Team,Position,Final PPG
1,Dak Prescott,dal,QB,20.516644900385153
2,Josh Allen,buf,QB,20.41477237972891
3,Brock Purdy,sfo,QB,20.075429263563446
4,Jordan Love,gnb,QB,19.918763450455476
5,Lamar Jackson,rav,QB,19.811732767171687
6,Kirk Cousins,atl,QB,19.65169311245877
7,Russell Wilson,pit,QB,19.121060382739707
8,C.J. Stroud,htx,QB,18.564337361537305
9,Justin Herbert,sdg,QB,18.352547859693946
10,Jalen Hurts,phi,QB,17.93560338768245
11,Patrick Mahomes,kan,QB,17.848639486898485
12,Kyler Murray,crd,QB,17.80588597279128
13,Jared Goff,det,QB,17.747361069514348
14,Justin Fields,pit,QB,16.997980512659595
15,Tua Tagovailoa,mia,QB,16.870683922500646
16,Baker Mayfield,tam,QB,16.766070591691147
17,Joshua Dobbs,sfo,QB,16.44222328160199
18,Carson Wentz,kan,QB,16.32284014357368
19,Matthew Stafford,ram,QB,16.17397386911233
20,Joe Flacco,clt,QB,16.14601296998384
21,Marcus Mariota,was,QB,16.052180238336987
22,Joe Burrow,cin,QB,15.945828815332845
23,Jake Browning,cin,QB,15.791300389086208
24,Daniel Jones,nyg,QB,15.417458102165241
25,Trevor Lawrence,jax,QB,15.399790822462373
26,Sam Howell,sea,QB,15.356634898909432
27,Derek Carr,nor,QB,14.951999373714182
28,Geno Smith,sea,QB,14.88247566892871
29,Aaron Rodgers,nyj,QB,13.790681820175845
30,Deshaun Watson,cle,QB,13.620914081487102
31,Taylor Heinicke,atl,QB,13.184069685199585
32,Andy Dalton,car,QB,11.263104366164779
33,Jacoby Brissett,nwe,QB,11.230457985463046
34,Desmond Ridder,crd,QB,10.495461440396907
35,Will Levis,oti,QB,10.029943148569819
36,Mac Jones,jax,QB,9.753432052094016
37,Tommy DeVito,nyg,QB,9.574688933469748
38,Trey Lance,dal,QB,9.435950266625346
39,Bryce Young,car,QB,8.956740463464687
40,Zach Wilson,den,QB,8.356850133770617
41,Davis Mills,htx,QB,8.135073048626323
42,Jimmy Garoppolo,ram,QB,7.852973141444891
43,Mitchell Trubisky,buf,QB,7.714431448829745
44,Jarrett Stidham,den,QB,7.344012042957447
45,Nick Mullens,min,QB,7.15826128040061
46,Kenny Pickett,phi,QB,6.280275775849706
47,Bailey Zappe,nwe,QB,6.038849079812165
48,Sam Ehlinger,clt,QB,5.476768143581664
49,Brandon Allen,sfo,QB,4.841162443200199
50,Jameis Winston,cle,QB,4.824599722453595
51,Tyrod Taylor,nyj,QB,4.7756988367163915
52,Tyler Huntley,cle,QB,4.625869459178964
53,Mason Rudolph,oti,QB,4.310322585418255
54,Drew Lock,nyg,QB,3.903150395171572
55,Case Keenum,htx,QB,3.449237351747083
56,Taysom Hill,nor,QB,3.4449105219680742
57,Tim Boyle,htx,QB,3.220692477155342
58,P.J. Walker,sea,QB,3.170102336020167
59,Jeff Driskel,was,QB,3.1122529545985866
60,Brett Rypien,chi,QB,2.910466368588468
61,Dorian Thompson-Robinson,cle,QB,2.6877239403750863
62,C.J. Beathard,jax,QB,2.399272179046409
63,Mike White,mia,QB,2.3605902902173956
64,Skylar Thompson,mia,QB,2.2405414262633454
65,Kyle Allen,pit,QB,2.178474841350472
66,Blaine Gabbert,kan,QB,2.147631013968435
67,Sam Darnold,min,QB,1.9853434749547736
68,Malik Willis,oti,QB,1.9285784863392195
69,Matt Barkley,jax,QB,1.6467237073661816
70,Cooper Rush,dal,QB,0.9762510957958576
71,Logan Woodside,cin,QB,0.7447891688136141
