Rank,Name,Team,Position,Final PPG
1,Dak Prescott,dal,QB,20.24823382945307
2,Josh Allen,buf,QB,20.245527998870756
3,Brock Purdy,sfo,QB,20.152998096385588
4,Jordan Love,gnb,QB,19.778239057170904
5,Kirk Cousins,atl,QB,19.686331498911592
6,Lamar Jackson,rav,QB,19.58456630567711
7,C.J. Stroud,htx,QB,18.603959985749157
8,Russell Wilson,pit,QB,18.566762964876943
9,Justin Herbert,sdg,QB,18.10103588591492
10,Patrick Mahomes,kan,QB,18.03691127478339
11,Jared Goff,det,QB,17.84676523420855
12,Kyler Murray,crd,QB,17.824711680028102
13,Jalen Hurts,phi,QB,17.67260869391781
14,Justin Fields,pit,QB,17.033328582870613
15,Tua Tagovailoa,mia,QB,16.870832403212308
16,Joshua Dobbs,sfo,QB,16.7314779011582
17,Baker Mayfield,tam,QB,16.557054707224136
18,Carson Wentz,kan,QB,16.38264658704119
19,Marcus Mariota,was,QB,16.145340558481838
20,Joe Flacco,clt,QB,16.107280424879868
21,Matthew Stafford,ram,QB,16.10579049524544
22,Joe Burrow,cin,QB,15.942925164269134
23,Jake Browning,cin,QB,15.512527018415609
24,Daniel Jones,nyg,QB,15.45587728645934
25,Trevor Lawrence,jax,QB,15.150306548518344
26,Sam Howell,sea,QB,15.124470304797526
27,Derek Carr,nor,QB,14.932876846835669
28,Geno Smith,sea,QB,14.5898024057038
29,Aaron Rodgers,nyj,QB,13.845761161425473
30,Deshaun Watson,cle,QB,13.602925430138397
31,Taylor Heinicke,atl,QB,13.157026571929102
32,Andy Dalton,car,QB,11.325864888034928
33,Jacoby Brissett,nwe,QB,11.159822994214325
34,Desmond Ridder,crd,QB,10.505370811023985
35,Will Levis,oti,QB,10.069764079356043
36,Trey Lance,dal,QB,9.891907117139723
37,Mac Jones,jax,QB,9.744700397362548
38,Tommy DeVito,nyg,QB,9.661984932893946
39,Bryce Young,car,QB,8.888936391878827
40,Zach Wilson,den,QB,8.413635578676415
41,Davis Mills,htx,QB,8.185381690109239
42,Jimmy Garoppolo,ram,QB,7.870517617516949
43,Mitchell Trubisky,buf,QB,7.733622360274045
44,Jarrett Stidham,den,QB,7.368404702384052
45,Nick Mullens,min,QB,7.173469411111118
46,Kenny Pickett,phi,QB,6.280538164477057
47,Bailey Zappe,nwe,QB,6.034388399281523
48,Sam Ehlinger,clt,QB,5.45764047805058
49,Tyler Huntley,cle,QB,5.296636780311899
50,Jameis Winston,cle,QB,4.968514851017692
51,Tyrod Taylor,nyj,QB,4.841972424842469
52,Brandon Allen,sfo,QB,4.830983085153563
53,Mason Rudolph,oti,QB,4.195675692263448
54,Drew Lock,nyg,QB,3.882637763090311
55,Case Keenum,htx,QB,3.4810448121261466
56,Tim Boyle,htx,QB,3.3120457415169073
57,P.J. Walker,sea,QB,3.178452378600213
58,Jeff Driskel,was,QB,3.1224144894669905
59,Taysom Hill,nor,QB,3.030975967196828
60,Dorian Thompson-Robinson,cle,QB,2.9203072378771013
61,Brett Rypien,chi,QB,2.903961730664819
62,C.J. Beathard,jax,QB,2.4779274082572105
63,Skylar Thompson,mia,QB,2.440326670753589
64,Mike White,mia,QB,2.388873703245643
65,Sam Darnold,min,QB,2.2710792301523126
66,Kyle Allen,pit,QB,2.25985652293251
67,Blaine Gabbert,kan,QB,2.178563573934581
68,Malik Willis,oti,QB,1.907326492588557
69,Matt Barkley,jax,QB,1.7600810211455855
70,Cooper Rush,dal,QB,1.071736065918243
71,Logan Woodside,cin,QB,0.4421245662937326
