Rank,Name,Team,Position,Final PPG
1,Dak Prescott,dal,QB,20.454051951673595
2,Josh Allen,buf,QB,20.247056731408453
3,Brock Purdy,sfo,QB,20.02075377201794
4,Jordan Love,gnb,QB,19.84201701526793
5,Kirk Cousins,atl,QB,19.684059937722687
6,Lamar Jackson,rav,QB,19.455380565150122
7,Russell Wilson,pit,QB,18.887653534729335
8,C.J. Stroud,htx,QB,18.55139919653317
9,Justin Herbert,sdg,QB,18.218027556757182
10,Jalen Hurts,phi,QB,17.993494235659334
11,Kyler Murray,crd,QB,17.958668434678355
12,Patrick Mahomes,kan,QB,17.76377111765109
13,Jared Goff,det,QB,17.60169571357227
14,Tua Tagovailoa,mia,QB,16.96841167846766
15,Baker Mayfield,tam,QB,16.956648945932397
16,Justin Fields,pit,QB,16.68916561707842
17,Carson Wentz,kan,QB,16.369942928067474
18,Joe Burrow,cin,QB,16.306889296652933
19,Matthew Stafford,ram,QB,16.215784457740334
20,Marcus Mariota,was,QB,16.1729526560917
21,Joe Flacco,clt,QB,16.06557470543208
22,Joshua Dobbs,sfo,QB,16.03300163364199
23,Jake Browning,cin,QB,15.70845805868193
24,Sam Howell,sea,QB,15.380158318641113
25,Trevor Lawrence,jax,QB,15.375887649181731
26,Daniel Jones,nyg,QB,15.097258433064349
27,Derek Carr,nor,QB,15.03124422031365
28,Geno Smith,sea,QB,14.619789211466337
29,Aaron Rodgers,nyj,QB,13.868953987018642
30,Deshaun Watson,cle,QB,13.64496247897636
31,Taylor Heinicke,atl,QB,13.208192823758123
32,Andy Dalton,car,QB,11.312197367775884
33,Jacoby Brissett,nwe,QB,11.083288674072334
34,Desmond Ridder,crd,QB,10.541866766235467
35,Will Levis,oti,QB,10.281037512913173
36,Mac Jones,jax,QB,9.787834000683706
37,Trey Lance,dal,QB,9.688480577170651
38,Tommy DeVito,nyg,QB,9.639890933022162
39,Bryce Young,car,QB,8.662807789091712
40,Zach Wilson,den,QB,8.269125749385351
41,Davis Mills,htx,QB,8.069124108255021
42,Mitchell Trubisky,buf,QB,7.819399654078939
43,Jimmy Garoppolo,ram,QB,7.778691706018405
44,Jarrett Stidham,den,QB,7.541083494327132
45,Nick Mullens,min,QB,7.140440810778977
46,Bailey Zappe,nwe,QB,6.263570400004492
47,Kenny Pickett,phi,QB,6.149430490360386
48,Sam Ehlinger,clt,QB,5.4583907995979555
49,Tyler Huntley,cle,QB,5.210146611841777
50,Jameis Winston,cle,QB,5.098724940116975
51,Brandon Allen,sfo,QB,4.800149411886216
52,Tyrod Taylor,nyj,QB,4.653128263337148
53,Mason Rudolph,oti,QB,4.280171056997587
54,Drew Lock,nyg,QB,3.9568164991716204
55,Case Keenum,htx,QB,3.398336124470187
56,Malik Willis,oti,QB,3.3303380980487813
57,Dorian Thompson-Robinson,cle,QB,3.172802728812577
58,P.J. Walker,sea,QB,3.1577957453853567
59,Tim Boyle,htx,QB,3.150606524203021
60,Jeff Driskel,was,QB,2.9434502520517367
61,Brett Rypien,chi,QB,2.883087447711574
62,Skylar Thompson,mia,QB,2.5296964382016602
63,Kyle Allen,pit,QB,2.4683823771122824
64,Mike White,mia,QB,2.467790144931507
65,Blaine Gabbert,kan,QB,2.1983649891184633
66,C.J. Beathard,jax,QB,2.1640478627175677
67,Sam Darnold,min,QB,2.0461547954736576
68,Taysom Hill,nor,QB,1.7889317729431982
69,Cooper Rush,dal,QB,1.6818480211759719
70,Matt Barkley,jax,QB,1.540352051719054
71,Logan Woodside,cin,QB,0.31779625369323566
