Rank,Name,Team,Position,Final PPG
1,Breece Hall,nyj,RB,21.212691878433883
2,Ezekiel Elliott,dal,RB,20.44126815641274
3,Christian McCaffrey,sfo,RB,19.324246227999026
4,Rico Dowdle,dal,RB,19.08403740358218
5,Royce Freeman,dal,RB,18.79190111403124
6,Myles Gaskin,min,RB,17.44937647696839
7,Aaron Jones,min,RB,17.1080336379083
8,Kyle Juszczyk,sfo,RB,17.001881126323966
9,Ty Chandler,min,RB,16.825456834508497
10,Kene Nwangwu,min,RB,16.77229502046779
11,Elijah Mitchell,sfo,RB,16.488018805517275
12,Patrick Taylor,sfo,RB,16.10270747817109
13,Cam Akers,min,RB,16.07137575620566
14,Derrick Henry,rav,RB,15.971323476014492
15,Najee Harris,pit,RB,15.795533042200113
16,Jerome Ford,cle,RB,15.530476510838737
17,Raheem Mostert,mia,RB,15.527058637489871
18,Jordan Mason,sfo,RB,15.234156843308902
19,Nick Chubb,cle,RB,14.974971364499842
20,Jaylen Warren,pit,RB,14.837423660247012
21,Salvon Ahmed,mia,RB,14.423983705659209
22,Jonathan Taylor,clt,RB,14.367424877020994
23,Pierre Strong,cle,RB,14.300813516463519
24,Trey Sermon,clt,RB,14.055624991023155
25,C.J. Ham,min,RB,14.034155542797
26,Nyheim Hines,cle,RB,14.01465087103521
27,Justice Hill,rav,RB,13.534220694891193
28,Travis Etienne,jax,RB,13.34832338636562
29,Jonathan Ward,pit,RB,13.162160932755423
30,Keaton Mitchell,rav,RB,13.077850707479827
31,Josh Jacobs,gnb,RB,12.860722122364098
32,James Robinson,nor,RB,12.34097039490269
33,Alec Ingold,mia,RB,11.52289181248445
34,Jamaal Williams,nor,RB,11.29191444179706
35,Joe Mixon,htx,RB,11.252202168074234
36,Godwin Igwebuike,pit,RB,11.230245857880611
37,Zach Charbonnet,sea,RB,10.777944353617618
38,Jamycal Hasty,nwe,RB,10.607668842211869
39,Zander Horvath,nor,RB,10.527440575373543
40,Alvin Kamara,nor,RB,10.463956384385208
41,Dameon Pierce,htx,RB,10.370043293894438
42,Kevin Harris,nwe,RB,10.226226445302613
43,Kendre Miller,nor,RB,10.200151165030205
44,Rhamondre Stevenson,nwe,RB,10.14995799244888
45,Tank Bigsby,jax,RB,10.021829013044055
46,Antonio Gibson,nwe,RB,9.771073597301113
47,Saquon Barkley,phi,RB,9.695579235798244
48,Raheem Blackshear,car,RB,9.656845371040582
49,Rashaad Penny,car,RB,9.626336638139803
50,Ty Johnson,buf,RB,9.465948075483514
51,Miles Sanders,car,RB,9.307994410420271
52,Jahmyr Gibbs,det,RB,9.30751982489205
53,Rachaad White,tam,RB,9.304396085463042
54,Bijan Robinson,atl,RB,9.297366507319708
55,Chuba Hubbard,car,RB,9.266953313522441
56,David Montgomery,det,RB,9.165803154016622
57,Avery Williams,atl,RB,9.027037397512114
58,Tyler Allgeier,atl,RB,8.957821645709368
59,James Cook,buf,RB,8.888723240841665
60,Darrynton Evans,buf,RB,8.849132618403019
61,Adam Prentice,nor,RB,8.767453327106763
62,Zonovan Knight,det,RB,8.578860245102055
63,J.K. Dobbins,sdg,RB,8.569760704475403
64,Chase Edmonds,tam,RB,8.545971350771236
65,Dare Ogunbowale,htx,RB,8.393308937493991
66,Mike Boone,car,RB,8.27159651866421
67,Devin Singletary,nyg,RB,8.20415056314174
68,Kyren Williams,ram,RB,7.9570572740315
69,Jaret Patterson,sdg,RB,7.6942708117466765
70,Gus Edwards,sdg,RB,7.271003340972003
71,Isaiah Spiller,sdg,RB,7.249407770372747
72,Craig Reynolds,det,RB,6.847470707065032
73,J.J. Taylor,htx,RB,6.622189510632902
74,Kenneth Gainwell,phi,RB,6.515858195089038
75,Zack Moss,cin,RB,6.144501086111199
76,Isiah Pacheco,kan,RB,6.052811081167367
77,Zamir White,rai,RB,5.881331478177116
78,Alexander Mattison,rai,RB,5.798329081079258
79,James Conner,crd,RB,5.376764475890606
80,Khalil Herbert,chi,RB,5.271912283386845
81,Chris Rodriguez,was,RB,5.1024526419920555
82,Ameer Abdullah,rai,RB,4.992193478606345
83,Chris Evans,cin,RB,4.80217521475859
84,Trayveon Williams,cin,RB,4.794034698535612
85,Ronnie Rivers,ram,RB,4.607987950262088
86,Austin Ekeler,was,RB,4.289875112633759
87,Keaontay Ingram,kan,RB,4.225201685578814
88,Chase Brown,cin,RB,4.115377970023967
89,Derrick Gore,was,RB,4.073541757703982
90,Roschon Johnson,chi,RB,4.021316139028607
91,Clyde Edwards-Helaire,kan,RB,3.987492067705513
92,Javonte Williams,den,RB,3.761955290963423
93,Khari Blasingame,chi,RB,3.3895576407773564
94,Tony Jones,crd,RB,3.2893047094312253
95,Boston Scott,ram,RB,3.1710909538347987
96,DeeJay Dallas,crd,RB,3.1619453859245406
97,Marlon Mack,crd,RB,3.1397156109196134
98,Jeremy McNichols,was,RB,2.9103842529036186
99,Michael Carter,crd,RB,2.0858327059488513
100,Travis Homer,chi,RB,2.030860576956088
101,Emari Demercado,crd,RB,1.63154585505329
102,Dwayne Washington,den,RB,1.6242771064868249
103,Michael Burton,den,RB,1.4389279047605914
104,Jaleel McLaughlin,den,RB,0.9643541475975103
105,Tony Pollard,oti,RB,-0.1541782320611188
106,Tyjae Spears,oti,RB,-0.3686581999044396
107,Hassan Haskins,oti,RB,-0.5092099186302442
108,Samaje Perine,den,RB,-1.432849943141365
