Rank,Name,Team,Position,Final PPG
1,Jahmyr Gibbs,det,RB,12.809349892623903
2,Kyren Williams,ram,RB,12.39065085503092
3,Bijan Robinson,atl,RB,11.784513673375546
4,Breece Hall,nyj,RB,11.684624285872689
5,Isiah Pacheco,kan,RB,10.071226504750914
6,Raheem Mostert,mia,RB,9.602324202355781
7,James Conner,crd,RB,9.479838550240814
8,Christian McCaffrey,sfo,RB,9.382637268005922
9,Derrick Henry,rav,RB,9.353667466452793
10,David Montgomery,det,RB,9.218772898082173
11,Alvin Kamara,nor,RB,8.966078208227517
12,James Cook,buf,RB,8.847686552084989
13,Tony Pollard,oti,RB,8.81447505976965
14,Keaton Mitchell,rav,RB,8.77702853496264
15,Rachaad White,tam,RB,8.72900855521226
16,Nick Chubb,cle,RB,8.624729181035496
17,Austin Ekeler,was,RB,8.330778181452994
18,Aaron Jones,min,RB,8.086700208138117
19,Najee Harris,pit,RB,7.987215174708281
20,Saquon Barkley,phi,RB,7.97555984273308
21,Jerome Ford,cle,RB,7.883535922516726
22,Josh Jacobs,gnb,RB,7.866379341494097
23,Joe Mixon,htx,RB,7.80265493077683
24,Jaylen Warren,pit,RB,7.684699644361151
25,Tyler Allgeier,atl,RB,7.477401205272164
26,Chuba Hubbard,car,RB,7.456695258254793
27,Javonte Williams,den,RB,7.4478952002421295
28,Jonathan Taylor,clt,RB,7.175778506903384
29,Khalil Herbert,chi,RB,6.806918459737514
30,Zonovan Knight,det,RB,6.751933076596717
31,Samaje Perine,den,RB,6.684702981511326
32,Zach Charbonnet,sea,RB,6.571177008513556
33,Rhamondre Stevenson,nwe,RB,6.476918705376697
34,Travis Etienne,jax,RB,6.395099532372517
35,Rashaad Penny,car,RB,6.255847072732051
36,Zack Moss,cin,RB,6.065175930543942
37,Devin Singletary,nyg,RB,5.997301548427943
38,Ezekiel Elliott,dal,RB,5.703762528286123
39,Antonio Gibson,nwe,RB,5.692445064881186
40,Myles Gaskin,min,RB,5.641474427870376
41,Ty Chandler,min,RB,5.60235198029382
42,Gus Edwards,sdg,RB,5.5504908135946245
43,Dameon Pierce,htx,RB,5.534574235506937
44,Chris Rodriguez,was,RB,5.443153606736349
45,J.K. Dobbins,sdg,RB,5.391546696463338
46,Alexander Mattison,rai,RB,5.356053499226774
47,Jaleel McLaughlin,den,RB,5.302784779919771
48,Derrick Gore,was,RB,5.245930307254979
49,Royce Freeman,dal,RB,5.103969695331523
50,Tyjae Spears,oti,RB,4.926948199988663
51,James Robinson,nor,RB,4.805772110287633
52,Zamir White,rai,RB,4.54493079354794
53,Roschon Johnson,chi,RB,4.524702367286877
54,Craig Reynolds,det,RB,4.428313559365393
55,Ameer Abdullah,rai,RB,4.324522496265686
56,Michael Burton,den,RB,4.2532505719865785
57,Miles Sanders,car,RB,4.240562499349905
58,Isaiah Spiller,sdg,RB,4.217402779427087
59,Khari Blasingame,chi,RB,4.117972632096538
60,Travis Homer,chi,RB,4.10968103328626
61,Clyde Edwards-Helaire,kan,RB,4.032834237230541
62,Kenneth Gainwell,phi,RB,4.017230247017723
63,Ronnie Rivers,ram,RB,3.986172520425038
64,Cam Akers,min,RB,3.9757904485434445
65,Chris Evans,cin,RB,3.9514910752178323
66,Dare Ogunbowale,htx,RB,3.943849941536493
67,Keaontay Ingram,kan,RB,3.8857630602699365
68,Hassan Haskins,oti,RB,3.8581410238502354
69,Boston Scott,ram,RB,3.800255997339877
70,Jeremy McNichols,was,RB,3.768219186651163
71,Emari Demercado,crd,RB,3.757271704561493
72,Dwayne Washington,den,RB,3.7335926972009217
73,Jordan Mason,sfo,RB,3.717193720579108
74,Marlon Mack,crd,RB,3.6512186264583066
75,Tony Jones,crd,RB,3.6512186264583066
76,Michael Carter,crd,RB,3.642927027648029
77,Trey Sermon,clt,RB,3.6362185404921337
78,Avery Williams,atl,RB,3.5404580851388223
79,Jaret Patterson,sdg,RB,3.508146662464523
80,DeeJay Dallas,crd,RB,3.504147449497702
81,Raheem Blackshear,car,RB,3.504147449497702
82,Adam Prentice,nor,RB,3.476960360432028
83,Mike Boone,car,RB,3.4653021033731455
84,Zander Horvath,nor,RB,3.4539870518418163
85,Chase Brown,cin,RB,3.437499636455353
86,J.J. Taylor,htx,RB,3.4215230731534696
87,Kevin Harris,nwe,RB,3.4109138698758894
88,Kendre Miller,nor,RB,3.4002928422348684
89,Trayveon Williams,cin,RB,3.3903188607102526
90,Darrynton Evans,buf,RB,3.3821537468838647
91,Justice Hill,rav,RB,3.373862148073587
92,Chase Edmonds,tam,RB,3.3338539700143333
93,Elijah Mitchell,sfo,RB,3.2937876427269206
94,Rico Dowdle,dal,RB,3.2818458082739665
95,Ty Johnson,buf,RB,3.2678090699704008
96,Patrick Taylor,sfo,RB,3.238142928789294
97,Pierre Strong,cle,RB,3.2250400802251393
98,Tank Bigsby,jax,RB,3.2134278301255486
99,Kene Nwangwu,min,RB,3.2126093695695683
100,Kyle Juszczyk,sfo,RB,3.19100598385446
101,C.J. Ham,min,RB,3.173764023445012
102,Jamaal Williams,nor,RB,3.1490856053285547
103,Godwin Igwebuike,pit,RB,3.0718500571871186
104,Jamycal Hasty,nwe,RB,3.0462077549995397
105,Jonathan Ward,pit,RB,3.0462077549995397
106,Nyheim Hines,cle,RB,3.037916156189262
107,Alec Ingold,mia,RB,2.8309937587973337
108,Salvon Ahmed,mia,RB,2.822702159987056
