Rank,Name,Team,Position,Final PPG
1,Christian McCaffrey,sfo,RB,23.95654182685895
2,Breece Hall,nyj,RB,23.69022357128677
3,Royce Freeman,dal,RB,21.034596961199302
4,Kyle Juszczyk,sfo,RB,20.98148816530411
5,Jordan Mason,sfo,RB,20.57444077615534
6,Myles Gaskin,min,RB,20.4710529355398
7,Ezekiel Elliott,dal,RB,20.153709731154844
8,Aaron Jones,min,RB,20.14019455241352
9,Elijah Mitchell,sfo,RB,19.913998802011896
10,Rico Dowdle,dal,RB,19.896325567180018
11,C.J. Ham,min,RB,18.93674716450137
12,Cam Akers,min,RB,18.869337665062353
13,Ty Chandler,min,RB,18.807232127724678
14,Patrick Taylor,sfo,RB,18.784017434820676
15,Najee Harris,pit,RB,18.240185028369282
16,Raheem Mostert,mia,RB,17.965797778710574
17,Keaton Mitchell,rav,RB,17.883542653856654
18,Derrick Henry,rav,RB,17.46656392442669
19,Jerome Ford,cle,RB,17.466267102221916
20,Justice Hill,rav,RB,17.23743478201924
21,Nick Chubb,cle,RB,17.204798218896777
22,Salvon Ahmed,mia,RB,16.861788809353442
23,Godwin Igwebuike,pit,RB,16.448413616931084
24,Alec Ingold,mia,RB,16.412199159395865
25,Jonathan Taylor,clt,RB,16.373445411854696
26,Trey Sermon,clt,RB,16.276375631895384
27,Pierre Strong,cle,RB,16.23118141557955
28,Jonathan Ward,pit,RB,16.18262615756264
29,Nyheim Hines,cle,RB,16.057817822465978
30,Jaylen Warren,pit,RB,15.616684768679299
31,Alvin Kamara,nor,RB,15.3078039629797
32,Josh Jacobs,gnb,RB,15.1633515865243
33,James Cook,buf,RB,14.87303147552782
34,Travis Etienne,jax,RB,14.630994904931779
35,Kene Nwangwu,min,RB,14.382902551797896
36,Zach Charbonnet,sea,RB,14.165566327463251
37,Rachaad White,tam,RB,13.65442632747757
38,Bijan Robinson,atl,RB,13.360964761254857
39,Joe Mixon,htx,RB,13.33762557404577
40,Tyler Allgeier,atl,RB,13.04351318126211
41,James Robinson,nor,RB,12.785500992001632
42,Antonio Gibson,nwe,RB,12.781932919020006
43,Ty Johnson,buf,RB,12.752167975143147
44,Kendre Miller,nor,RB,12.54225450193644
45,Rhamondre Stevenson,nwe,RB,12.53387992633692
46,Darrynton Evans,buf,RB,12.285300327210857
47,Jamycal Hasty,nwe,RB,12.181567873403672
48,Kevin Harris,nwe,RB,11.964353979766837
49,Chuba Hubbard,car,RB,11.869643146108626
50,Jahmyr Gibbs,det,RB,11.743883743866721
51,Tank Bigsby,jax,RB,11.670821656912828
52,Craig Reynolds,det,RB,11.596336507745708
53,Adam Prentice,nor,RB,11.570933068722558
54,Rashaad Penny,car,RB,11.346153907674081
55,Miles Sanders,car,RB,11.342560396023215
56,Saquon Barkley,phi,RB,11.006392551429208
57,Jamaal Williams,nor,RB,11.002512194909196
58,Zonovan Knight,det,RB,10.874949651190233
59,David Montgomery,det,RB,10.859085597108749
60,Dare Ogunbowale,htx,RB,10.268378061230782
61,Chase Edmonds,tam,RB,10.266708657356071
62,Dameon Pierce,htx,RB,10.243347336539111
63,Zander Horvath,nor,RB,10.035601165449853
64,Gus Edwards,sdg,RB,9.921665164802837
65,Avery Williams,atl,RB,9.91312361394387
66,Mike Boone,car,RB,9.81953509024238
67,J.K. Dobbins,sdg,RB,9.73743225531898
68,Khalil Herbert,chi,RB,9.227931866101507
69,Devin Singletary,nyg,RB,8.982996594909643
70,Raheem Blackshear,car,RB,8.88710045655597
71,Kenneth Gainwell,phi,RB,8.752623596073597
72,Jaret Patterson,sdg,RB,8.671956671956234
73,J.J. Taylor,htx,RB,8.642293679098868
74,Isiah Pacheco,kan,RB,8.537996289149945
75,Austin Ekeler,was,RB,8.341570157813445
76,Boston Scott,ram,RB,8.24099288053851
77,Kyren Williams,ram,RB,7.987097983965638
78,Zack Moss,cin,RB,7.886046622785604
79,Zamir White,rai,RB,7.733645984203236
80,Derrick Gore,was,RB,7.718815769852324
81,Ameer Abdullah,rai,RB,7.672567302590696
82,Roschon Johnson,chi,RB,7.624822416266819
83,Jeremy McNichols,was,RB,7.372097703330656
84,Alexander Mattison,rai,RB,7.244122153408698
85,Isaiah Spiller,sdg,RB,6.896488227494979
86,Chris Evans,cin,RB,6.884408327351987
87,Travis Homer,chi,RB,6.857013869272906
88,Chase Brown,cin,RB,6.852130263202095
89,Chris Rodriguez,was,RB,6.837723248835454
90,Clyde Edwards-Helaire,kan,RB,6.673397344094175
91,James Conner,crd,RB,6.495956154793054
92,Javonte Williams,den,RB,6.236718005478445
93,Ronnie Rivers,ram,RB,5.877908081477656
94,Emari Demercado,crd,RB,5.683842273191545
95,Samaje Perine,den,RB,5.571633689027245
96,Michael Carter,crd,RB,5.471426659841889
97,Keaontay Ingram,kan,RB,5.4424352800333216
98,Marlon Mack,crd,RB,5.023231782178498
99,Michael Burton,den,RB,4.971143838084694
100,Khari Blasingame,chi,RB,4.863918312806417
101,Trayveon Williams,cin,RB,4.81224354911473
102,Tony Jones,crd,RB,4.1884622682615715
103,Jaleel McLaughlin,den,RB,4.138164689232064
104,DeeJay Dallas,crd,RB,3.7697818199993396
105,Dwayne Washington,den,RB,3.559071054780498
106,Tony Pollard,oti,RB,3.2002312209711237
107,Tyjae Spears,oti,RB,2.959885719963965
108,Hassan Haskins,oti,RB,2.0735017396471243
