Rank,Name,Team,Position,Final PPG
1,Amon-Ra St. Brown,det,WR,13.37450068016121
2,Keenan Allen,chi,WR,11.294792446453108
3,Tyreek Hill,mia,WR,11.080624800768113
4,Nico Collins,htx,WR,10.975770960745264
5,Puka Nacua,ram,WR,10.488241064873968
6,Justin Jefferson,min,WR,10.331232004194648
7,Jaylen Waddle,mia,WR,10.231239362978197
8,A.J. Brown,phi,WR,10.153091516960538
9,CeeDee Lamb,dal,WR,10.096722527926223
10,Deebo Samuel,sfo,WR,10.004572424993581
11,Sam LaPorta,det,TE,9.817852320422762
12,Brandon Aiyuk,sfo,WR,9.66686940510106
13,D.J. Moore,chi,WR,9.387853782902832
14,George Kittle,sfo,TE,9.219608988529993
15,Tank Dell,htx,WR,8.926958437099408
16,Stefon Diggs,htx,WR,8.919443175481831
17,Cooper Kupp,ram,WR,8.858556621795293
18,Jayden Reed,gnb,WR,8.85150768084047
19,Chris Olave,nor,WR,8.832352944640363
20,DeVonta Smith,phi,WR,8.637968380193497
21,George Pickens,pit,WR,8.4600788225336
22,Noah Brown,htx,WR,8.361809293433675
23,Travis Kelce,kan,TE,8.2894037636666
24,Mike Evans,tam,WR,8.250350570140155
25,Davante Adams,rai,WR,8.240272016134222
26,Mark Andrews,rav,TE,8.020574164159772
27,Jordan Addison,min,WR,7.878320346718374
28,Drake London,atl,WR,7.854604265304666
29,Jakobi Meyers,rai,WR,7.7778655213390095
30,Rashee Rice,kan,WR,7.650246561501829
31,Tee Higgins,cin,WR,7.575336795808105
32,Marquise Brown,kan,WR,7.567302898594724
33,T.J. Hockenson,min,TE,7.54573193544478
34,Christian Watson,gnb,WR,7.518527633749768
35,Calvin Ridley,oti,WR,7.480278339073044
36,Zay Flowers,rav,WR,7.350567063576907
37,Amari Cooper,cle,WR,7.308355623932462
38,Kendrick Bourne,nwe,WR,7.121127297829835
39,Josh Palmer,sdg,WR,7.059298832166331
40,Mike Williams,nyj,WR,7.049348045750401
41,Jameson Williams,det,WR,6.895723857202471
42,DeAndre Hopkins,oti,WR,6.880348887976986
43,Christian Kirk,jax,WR,6.8528798135472675
44,Courtland Sutton,den,WR,6.717054542732145
45,Elijah Moore,cle,WR,6.671806682981797
46,Evan Engram,jax,TE,6.655955133818428
47,Terry McLaurin,was,WR,6.653232649522293
48,Demario Douglas,nwe,WR,6.508524527542119
49,Rashid Shaheed,nor,WR,6.465138967590241
50,Adam Thielen,car,WR,6.42667542218526
51,Chris Godwin,tam,WR,6.4089463449034705
52,Jerry Jeudy,cle,WR,6.390701009010294
53,Diontae Johnson,car,WR,6.346744500802306
54,Garrett Wilson,nyj,WR,6.210106275300449
55,David Njoku,cle,TE,6.164291266671932
56,Josh Downs,clt,WR,6.127800354252247
57,Romeo Doubs,gnb,WR,5.976475648857101
58,Demarcus Robinson,ram,WR,5.93013380304721
59,Dontayvion Wicks,gnb,WR,5.90627659310165
60,Zay Jones,crd,WR,5.853352207048034
61,Tucker Kraft,gnb,TE,5.810254916665995
62,Michael Wilson,crd,WR,5.687404761278585
63,Jaxon Smith-Njigba,sea,WR,5.608150719692788
64,Quentin Johnston,sdg,WR,5.591269937250335
65,Tyler Lockett,sea,WR,5.5814450246870555
66,Tre Tucker,rai,WR,5.5141445872380315
67,Kyle Pitts,atl,TE,5.444749128822128
68,Greg Dulcich,den,TE,5.440915300173407
69,Tim Patrick,den,WR,5.412514639377801
70,Brandin Cooks,dal,WR,5.385838785191268
71,Trey McBride,crd,TE,5.326369872112438
72,Xavier Gipson,nyj,WR,5.141512987531065
73,Jonathan Mingo,car,WR,5.120559539020606
74,Jonnu Smith,mia,TE,5.094966592851456
75,Dallas Goedert,phi,TE,5.05974076506667
76,Jalin Hyatt,nyg,WR,5.038199339997941
77,Jake Ferguson,dal,TE,5.026779432708893
78,Tutu Atwell,ram,WR,5.01650103742453
79,Justin Watson,kan,WR,4.979904376268838
80,Treylon Burks,oti,WR,4.9714421030031355
81,Darius Slayton,nyg,WR,4.928538614509798
82,Dalton Schultz,htx,TE,4.9008383463484995
83,Harrison Bryant,rai,TE,4.8991369361025
84,Trey Palmer,tam,WR,4.791762784325945
85,Ihmir Smith-Marsette,car,WR,4.782133866072545
86,Alec Pierce,clt,WR,4.758496796018409
87,Cole Kmet,chi,TE,4.673122437285066
88,Robert Woods,htx,WR,4.547557326290394
89,Rashod Bateman,rav,WR,4.529312128107915
90,Cedric Tillman,cle,WR,4.496190139805425
91,Rondale Moore,atl,WR,4.355497586334465
92,Jahan Dotson,was,WR,4.34331573217493
93,Derius Davis,sdg,WR,4.313965163602302
94,Isaiah Likely,rav,TE,4.258133317924916
95,Anthony Schwartz,mia,WR,4.251000309765594
96,Ronnie Bell,sfo,WR,4.209130848367048
97,Marvin Mims,den,WR,4.172470315407648
98,Michael Mayer,rai,TE,4.1617039044935185
99,Xavier Hutchinson,htx,WR,4.158169916552254
100,Khalil Shakir,buf,WR,4.151841633810743
101,Josh Reynolds,den,WR,4.079728226872262
102,David Bell,cle,WR,4.052618002969278
103,K.J. Osborn,nwe,WR,4.012382154340358
104,Van Jefferson,pit,WR,3.984552330096359
105,Darnell Washington,pit,TE,3.912629600121334
106,Tommy Tremble,car,TE,3.91219590624595
107,Tyler Scott,chi,WR,3.8925005160777157
108,Greg Dortch,crd,WR,3.7904651234825844
109,Curtis Samuel,buf,WR,3.7774000488199557
110,Jalen Reagor,nwe,WR,3.762663132603652
111,Hunter Henry,nwe,TE,3.7620153381709565
112,Luke Musgrave,gnb,TE,3.7521337251108036
113,Brevin Jordan,htx,TE,3.7386852734244744
114,Allen Lazard,nyj,WR,3.738142401891728
115,Zach Ertz,was,TE,3.721654029930005
116,Dalton Kincaid,buf,TE,3.702481276632588
117,Ray-Ray McCloud,atl,WR,3.7013467104952547
118,Skyy Moore,kan,WR,3.685730071407032
119,Jeremy Ruckert,nyj,TE,3.669306127937126
120,Elijah Higgins,crd,WR,3.665926504422114
121,Marquez Valdes-Scantling,buf,WR,3.6530523176250185
122,Darnell Mooney,atl,WR,3.644678440289391
123,Tyquan Thornton,nwe,WR,3.639925831833493
124,Samori Toure,gnb,WR,3.6340142722923106
125,Devin Duvernay,jax,WR,3.6283897245237893
126,Michael Gallup,rai,WR,3.6264609366271694
127,Nick Westbrook-Ikhine,oti,WR,3.623724639144822
128,Steven Sims,htx,WR,3.5937425400765166
129,Daniel Bellinger,nyg,TE,3.551664824869041
130,Shane Zylstra,det,TE,3.540780112553791
131,Calvin Austin,pit,WR,3.529433775291574
132,Teagan Quitoriano,htx,TE,3.522622598610339
133,DeAndre Carter,chi,WR,3.4896515210606145
134,Andrei Iosivas,cin,WR,3.4827637817951658
135,Chris Moore,crd,WR,3.4826270338454544
136,Cole Turner,was,TE,3.4825299518315567
137,Marquez Callaway,pit,WR,3.4745805245067825
138,Malik Heath,gnb,WR,3.4691179548421567
139,John Metchie,htx,WR,3.450627517474077
140,Tyler Conklin,nyj,TE,3.448786671642448
141,Brandon Johnson,den,WR,3.4440660962639655
142,Mack Hollins,buf,WR,3.4301122588141064
143,A.T. Perry,nor,WR,3.3682615062074714
144,Damiere Byrd,was,WR,3.352643200405636
145,Jakeem Grant,cle,WR,3.293528684694881
146,Cade Otton,tam,TE,3.262940231139271
147,Donald Parham,sdg,TE,3.230723788730177
148,Quintin Morris,buf,TE,3.2220948206991404
149,Tyrie Cleveland,clt,WR,3.1959497755010706
150,Will Mallory,clt,TE,3.1952260482584203
151,Juwann Winfree,clt,WR,3.1624467081917023
152,Tyler Boyd,oti,WR,3.1583826725898874
153,Jelani Woods,clt,TE,3.1448783756855887
154,Juwan Johnson,nor,WR,3.1329502763468553
155,Trenton Irwin,cin,WR,3.1258707160400014
156,James Proche,cle,WR,3.119605695656255
157,Isaiah Hodgins,nyg,WR,3.10217700420522
158,Lawrence Cager,nyg,WR,3.095349834540119
159,Jaelon Darden,cle,WR,3.091151548536002
160,Giovanni Ricci,cle,TE,3.0861026283468864
161,Kyle Philips,oti,WR,3.05350097964461
162,Mitchell Wilcox,nwe,TE,3.0419953880483876
163,Chigoziem Okonkwo,oti,TE,3.040127612055268
164,Denzel Mims,pit,WR,3.0347122741749066
165,Tyler Higbee,ram,TE,3.028035690364946
166,KhaDarel Hodge,atl,WR,3.026229259821943
167,Mike Strachan,car,WR,3.018246874417421
168,Stephen Sullivan,car,TE,3.018246874417421
169,Jalen Guyton,rai,WR,3.0174235548877983
170,Connor Heyward,pit,TE,3.01693142112902
171,Pat Freiermuth,pit,TE,3.013210213188731
172,Jalen Nailor,min,WR,3.009021951913267
173,Freddie Swain,chi,WR,3.005272710609695
174,Noah Fant,sea,TE,3.0049434410845612
175,JuJu Smith-Schuster,nwe,WR,3.0042053510915703
176,Brandon Powell,min,WR,3.0020660033752464
177,John Ross,phi,WR,3.002003930311497
178,Dante Pettis,chi,WR,2.9950801947240056
179,Austin Hooper,nwe,TE,2.9919252870021324
180,Michael Bandy,den,WR,2.990790728066107
181,Zach Gentry,rai,TE,2.9872374483933037
182,Miles Boykin,nyg,WR,2.9872374483933037
183,Isaiah McKenzie,nyg,WR,2.9872374483933037
184,Jack Stoll,nyg,TE,2.9872374483933037
185,Gunner Olszewski,nyg,WR,2.9872374483933037
186,Marcedes Lewis,chi,TE,2.986049457642749
187,Nelson Agholor,rav,WR,2.9848372747611585
188,Cam Sims,car,WR,2.9847438071080528
189,Ian Thomas,car,TE,2.9847438071080528
190,Quez Watkins,pit,WR,2.978794555846129
191,Tyler Johnson,ram,WR,2.977478504941996
192,Andy Isabella,buf,WR,2.968661303091629
193,Jauan Jennings,sfo,WR,2.966924124110043
194,Racey McMath,dal,WR,2.9619139895391458
195,Dawson Knox,buf,TE,2.959373140065431
196,Jalen Tolbert,dal,WR,2.958597028724272
197,Scott Miller,pit,WR,2.9579287458860737
198,David Sills,den,WR,2.9572876607567387
199,Jake Bobo,sea,WR,2.9532566296410048
200,Equanimeous St. Brown,nor,WR,2.9487218090757636
201,Charlie Woerner,atl,TE,2.9484064038015982
202,Jeff Smith,crd,WR,2.947581140908255
203,Collin Johnson,chi,WR,2.94743362818531
204,Gerald Everett,chi,TE,2.946675459505469
205,Grant Calcaterra,phi,TE,2.93833707300303
206,Ashton Dulin,clt,WR,2.93206691886212
207,Kylen Granson,clt,TE,2.93206691886212
208,Luke Schoonmaker,dal,TE,2.9306632078478376
209,Tyron Johnson,dal,WR,2.92927807679967
210,Peyton Hendershot,dal,TE,2.9284109222297774
211,Mike Gesicki,cin,TE,2.923471137203091
212,Josh Oliver,min,TE,2.921485343986328
