Rank,Name,Team,Position,Final PPG
1,Amon-Ra St. Brown,det,WR,7.174252674569444
2,Deebo Samuel,sfo,WR,7.095165612008533
3,Keenan Allen,chi,WR,6.844627023414667
4,Tyreek Hill,mia,WR,6.578789622729687
5,Puka Nacua,ram,WR,6.248528708333761
6,Justin Jefferson,min,WR,6.142948494333531
7,CeeDee Lamb,dal,WR,5.940508519366048
8,Nico Collins,htx,WR,5.642943083796204
9,Jayden Reed,gnb,WR,5.5972519839019474
10,Jaylen Waddle,mia,WR,5.551706319945844
11,Jakobi Meyers,rai,WR,5.528885264392892
12,DeVonta Smith,phi,WR,5.517033556273925
13,Stefon Diggs,htx,WR,5.393899890098315
14,A.J. Brown,phi,WR,5.3168344503335305
15,Zay Flowers,rav,WR,5.305840135830536
16,Tank Dell,htx,WR,5.301747904006459
17,Tee Higgins,cin,WR,5.2946286866354555
18,Chris Olave,nor,WR,5.20116933237717
19,Xavier Gipson,nyj,WR,5.197135597092126
20,Brandon Aiyuk,sfo,WR,5.191390080894338
21,Jordan Addison,min,WR,5.083823697376574
22,George Pickens,pit,WR,5.008557039825369
23,Drake London,atl,WR,4.825396884562273
24,Garrett Wilson,nyj,WR,4.74575796293492
25,D.J. Moore,chi,WR,4.742163575847132
26,Kalif Raymond,det,WR,4.720022952934049
27,Christian Watson,gnb,WR,4.671750044485997
28,Jonnu Smith,mia,TE,4.664846109725144
29,Jameson Williams,det,WR,4.638981688224716
30,Ihmir Smith-Marsette,car,WR,4.622211440480428
31,Derius Davis,sdg,WR,4.515925433954882
32,Tucker Kraft,gnb,TE,4.480181472430496
33,Marquise Brown,kan,WR,4.452123123247804
34,Ray-Ray McCloud,atl,WR,4.44841744362854
35,Terry McLaurin,was,WR,4.381304305087212
36,Rondale Moore,atl,WR,4.375706854024203
37,Amari Cooper,cle,WR,4.311630359606899
38,Montrell Washington,kan,WR,4.304989225222635
39,Calvin Austin,pit,WR,4.302487554808537
40,Mike Williams,nyj,WR,4.2966290565742336
41,Chris Godwin,tam,WR,4.267428389266998
42,Xavier Hutchinson,htx,WR,4.232949289093703
43,Sam LaPorta,det,TE,4.223099094763968
44,Kadarius Toney,kan,WR,4.2144269918255715
45,Marvin Mims,den,WR,4.205194407051345
46,Tyler Scott,chi,WR,4.186931034909781
47,Noah Brown,htx,WR,4.175440056201974
48,Josh Palmer,sdg,WR,4.154741274356654
49,Elijah Moore,cle,WR,4.1483652640931945
50,Rashod Bateman,rav,WR,4.100773726584603
51,Christian Kirk,jax,WR,4.092842547215769
52,Tyquan Thornton,nwe,WR,4.075129674380394
53,Kendrick Bourne,nwe,WR,4.073242544716572
54,DeAndre Hopkins,oti,WR,4.0453332297639175
55,Mike Evans,tam,WR,4.042229515857648
56,Tyler Lockett,sea,WR,4.038316349981493
57,Chris Moore,crd,WR,4.008521258181383
58,George Kittle,sfo,TE,3.9940677016321846
59,Cooper Kupp,ram,WR,3.976556467804081
60,DeAndre Carter,chi,WR,3.9494463126426407
61,Calvin Ridley,oti,WR,3.9386761648273665
62,Demario Douglas,nwe,WR,3.9335431514519694
63,Nick Vannett,oti,TE,3.9313520720813027
64,Rashid Shaheed,nor,WR,3.9212238777547745
65,Steven Sims,htx,WR,3.902109439280836
66,Gunner Olszewski,nyg,WR,3.8872308085937384
67,T.J. Hockenson,min,TE,3.8623300266730114
68,Samori Toure,gnb,WR,3.861630204091075
69,Zay Jones,crd,WR,3.811675554952106
70,Jerry Jeudy,cle,WR,3.799866538493657
71,Brandin Cooks,dal,WR,3.7828449908617956
72,Skyy Moore,kan,WR,3.775936423310924
73,Jalin Hyatt,nyg,WR,3.7751176446925165
