Rank,Name,Team,Position,Final PPG
1,Amon-Ra St. Brown,det,WR,15.395107842303169
2,Justin Jefferson,min,WR,15.156914291705613
3,Puka Nacua,ram,WR,14.917705812796546
4,Tyreek Hill,mia,WR,14.742920582768283
5,Stefon Diggs,htx,WR,14.636946005644985
6,Jaylen Waddle,mia,WR,14.594323166495812
7,Keenan Allen,chi,WR,14.257701027288062
8,Nico Collins,htx,WR,14.074356038034546
9,D.J. Moore,chi,WR,13.962865249242805
10,Tank Dell,htx,WR,13.92774627827049
11,Brandon Aiyuk,sfo,WR,13.877315695337334
12,CeeDee Lamb,dal,WR,13.73540756118189
13,A.J. Brown,phi,WR,12.807768098502553
14,Chris Olave,nor,WR,12.412506718083606
15,Davante Adams,rai,WR,12.372823361984414
16,Sam LaPorta,det,TE,12.211926389869527
17,George Kittle,sfo,TE,11.732769549928795
18,George Pickens,pit,WR,11.45299994128531
19,Deebo Samuel,sfo,WR,11.39108521690902
20,Mike Evans,tam,WR,10.96016584858826
21,DeVonta Smith,phi,WR,10.933318441702317
22,Jordan Addison,min,WR,10.930059934673757
23,Cooper Kupp,ram,WR,10.312464303692987
24,Zay Flowers,rav,WR,10.25774732416184
25,Travis Kelce,kan,TE,10.06669850632653
26,Christian Kirk,jax,WR,10.04895813072638
27,Mark Andrews,rav,TE,9.898381832068683
28,Mike Williams,nyj,WR,9.85842715368662
29,Noah Brown,htx,WR,9.83930111144598
30,T.J. Hockenson,min,TE,9.827062409226448
31,Amari Cooper,cle,WR,9.773867086234347
32,Tee Higgins,cin,WR,9.61718537092023
33,Garrett Wilson,nyj,WR,9.439569391809293
34,Rashee Rice,kan,WR,9.426543679258035
35,Calvin Ridley,oti,WR,9.394461120289254
36,Chris Godwin,tam,WR,9.313151772683051
37,Adam Thielen,car,WR,9.274843304065184
38,Jayden Reed,gnb,WR,8.960724641293432
39,Tyler Lockett,sea,WR,8.947979911108709
40,Drake London,atl,WR,8.906532923461194
41,Evan Engram,jax,TE,8.809269066503479
42,Trey McBride,crd,TE,8.762804487016457
43,Marquise Brown,kan,WR,8.680032959610061
44,Josh Palmer,sdg,WR,8.61540202944391
45,DeAndre Hopkins,oti,WR,8.603693274874704
46,Jakobi Meyers,rai,WR,8.593536177776874
47,Diontae Johnson,car,WR,8.565686152160003
48,Christian Watson,gnb,WR,8.459409792840455
49,Terry McLaurin,was,WR,8.424622787101413
50,Brandin Cooks,dal,WR,8.416368349435485
51,Josh Downs,clt,WR,8.315954603912383
52,Michael Wilson,crd,WR,8.08522281299524
53,Romeo Doubs,gnb,WR,8.041572199987268
54,Elijah Moore,cle,WR,8.03744134661939
55,Dalton Schultz,htx,TE,8.029631194742317
56,Cole Kmet,chi,TE,7.810964988413934
57,Demarcus Robinson,ram,WR,7.737630580525858
58,Courtland Sutton,den,WR,7.733641861848555
59,Jake Ferguson,dal,TE,7.719599771940152
60,Jameson Williams,det,WR,7.710315442704764
61,Quentin Johnston,sdg,WR,7.499204687600974
62,Xavier Hutchinson,htx,WR,7.477552816472588
63,Tyquan Thornton,nwe,WR,7.471383318501513
64,Derius Davis,sdg,WR,7.395354441404285
65,Rashid Shaheed,nor,WR,7.356851740134235
66,Dallas Goedert,phi,TE,7.351509908069636
67,Darius Slayton,nyg,WR,7.302256845352668
