,Rank,Name,Team,Position,Final PPG,Bye Week,ESPN ADP
0,1,Josh Allen,Buffalo Bills,QB,20.652371571522544,12,25.0
1,2,Dak Prescott,Dallas Cowboys,QB,20.626648462646763,7,66.0
2,3,Brock Purdy,San Francisco 49ers,QB,20.172126437162404,9,92.0
3,4,Jordan Love,Green Bay Packers,QB,20.123518373438557,10,71.0
4,5,Lamar Jackson,Baltimore Ravens,QB,20.03433426847985,14,31.0
5,6,Kirk Cousins,Atlanta Falcons,QB,19.64500891210477,12,146.0
6,7,Russell Wilson,Pittsburgh Steelers,QB,19.135731249375205,9,210.0
7,8,Justin Herbert,San Diego Chargers,QB,18.602431166092,5,154.0
8,9,C.J. Stroud,Houston Texans,QB,18.58751551989744,14,42.0
9,10,Jalen Hurts,Philadelphia Eagles,QB,18.22403396194821,5,27.0
10,11,Justin Fields,Pittsburgh Steelers,QB,18.138672958986465,9,202.0
11,12,Patrick Mahomes,Kansas City Chiefs,QB,18.047125260983297,6,
12,13,Kyren Williams,St. Louis Rams,RB,17.917458343119403,6,15.0
13,14,Jared Goff,Detroit Lions,QB,17.744609940014513,5,144.0
14,15,Kyler Murray,Arizona Cardinals,QB,17.720830257534686,11,76.0
15,16,Jahmyr Gibbs,Detroit Lions,RB,17.635868737976416,5,12.0
16,17,Christian McCaffrey,San Francisco 49ers,RB,17.46588932708576,9,1.0
17,18,Bijan Robinson,Atlanta Falcons,RB,17.352913311529214,12,5.0
18,19,Baker Mayfield,Tampa Bay Buccaneers,QB,16.9417352448524,11,172.0
19,20,Tua Tagovailoa,Miami Dolphins,QB,16.920453575179504,6,127.0
20,21,Nick Chubb,Cleveland Browns,RB,16.52691032723123,10,102.0
21,22,Isiah Pacheco,Kansas City Chiefs,RB,16.382988903637198,6,17.0
22,23,Carson Wentz,Kansas City Chiefs,QB,16.338004298775576,6,
23,24,Joshua Dobbs,San Francisco 49ers,QB,16.191099022186933,9,
24,25,Joe Burrow,Cincinnati Bengals,QB,16.15725335867841,12,52.0
25,26,Matthew Stafford,St. Louis Rams,QB,16.145001721761492,6,166.0
26,27,Marcus Mariota,Washington Football Team,QB,16.081977480735823,14,
27,28,Joe Flacco,Indianapolis Colts,QB,16.0233520791258,14,
28,29,Jake Browning,Cincinnati Bengals,QB,16.001048800984375,12,
29,30,Aaron Jones,Minnesota Vikings,RB,15.741224493384951,6,55.0
30,31,Trevor Lawrence,Jacksonville Jaguars,QB,15.624601356040316,12,152.0
31,32,Sam Howell,Seattle Seahawks,QB,15.53993793390678,10,
32,33,Amon-Ra St. Brown,Detroit Lions,WR,15.403695988724897,5,7.0
33,34,Rachaad White,Tampa Bay Buccaneers,RB,15.252480062527336,11,38.0
34,35,Daniel Jones,New York Giants,QB,15.159631100287678,11,227.0
35,36,Jaylen Warren,Pittsburgh Steelers,RB,15.052452887141062,9,82.0
36,37,Justin Jefferson,Minnesota Vikings,WR,14.989637844043637,6,8.0
37,38,Derek Carr,New Orleans Saints,QB,14.92204016916527,12,236.0
38,39,James Conner,Arizona Cardinals,RB,14.892651258621376,11,70.0
39,40,Geno Smith,Seattle Seahawks,QB,14.876277675305824,10,208.0
40,41,Tyreek Hill,Miami Dolphins,WR,14.766578028219538,6,2.0
41,42,Puka Nacua,St. Louis Rams,WR,14.73144440926131,6,14.0
42,43,Stefon Diggs,Houston Texans,WR,14.636946005644983,14,32.0
43,44,Jaylen Waddle,Miami Dolphins,WR,14.617980611947068,6,49.0
44,45,Keenan Allen,Chicago Bears,WR,14.257701027288062,7,72.0
45,46,Breece Hall,New York Jets,RB,14.24112426956284,12,4.0
46,47,Derrick Henry,Baltimore Ravens,RB,14.165961550918336,14,16.0
47,48,Raheem Mostert,Miami Dolphins,RB,14.136906422797706,6,91.0
48,49,Nico Collins,Houston Texans,WR,14.074356038034546,14,37.0
49,50,D.J. Moore,Chicago Bears,WR,13.962865249242803,7,
50,51,Tank Dell,Houston Texans,WR,13.92774627827049,14,59.0
51,52,Brandon Aiyuk,San Francisco 49ers,WR,13.877315695337334,9,41.0
52,53,Aaron Rodgers,New York Jets,QB,13.804844754991535,12,120.0
53,54,Austin Ekeler,Washington Football Team,RB,13.796714463267442,14,98.0
54,55,Keaton Mitchell,Baltimore Ravens,RB,13.730182955881425,14,
55,56,Deshaun Watson,Cleveland Browns,QB,13.646762597181388,10,158.0
56,57,Joe Mixon,Houston Texans,RB,13.541282522675148,14,33.0
57,58,Travis Etienne,Jacksonville Jaguars,RB,13.518312658376828,12,
58,59,Tony Pollard,Tennessee Titans,RB,13.42941347394836,5,93.0
59,60,CeeDee Lamb,Dallas Cowboys,WR,13.379023628337016,7,3.0
60,61,Taylor Heinicke,Atlanta Falcons,QB,13.328020684780103,12,
61,62,Alvin Kamara,New Orleans Saints,RB,13.242525671640532,12,35.0
62,63,David Montgomery,Detroit Lions,RB,13.23648879765465,5,65.0
63,64,James Cook,Buffalo Bills,RB,13.143490498277483,12,29.0
64,65,Josh Jacobs,Green Bay Packers,RB,12.423598116822015,10,39.0
65,66,A.J. Brown,Philadelphia Eagles,WR,12.42236224093624,5,9.0
66,67,Sam LaPorta,Detroit Lions,TE,12.421783702907526,5,26.0
67,68,Davante Adams,Oakland Raiders,WR,12.372823361984414,10,21.0
68,69,Chris Olave,New Orleans Saints,WR,12.047164647202765,12,20.0
69,70,George Kittle,San Francisco 49ers,TE,11.7327695499288,9,51.0
70,71,Saquon Barkley,Philadelphia Eagles,RB,11.631070189780178,5,10.0
71,72,Javonte Williams,Denver Broncos,RB,11.494599152367908,14,95.0
72,73,Khalil Herbert,Chicago Bears,RB,11.428987476823556,7,
73,74,Deebo Samuel,San Francisco 49ers,WR,11.391085216909024,9,
74,75,George Pickens,Pittsburgh Steelers,WR,11.373622197802622,9,63.0
75,76,Najee Harris,Pittsburgh Steelers,RB,11.36776845692443,9,83.0
76,77,Andy Dalton,Carolina Panthers,QB,11.262841930105408,11,
77,78,Zonovan Knight,Detroit Lions,RB,11.242744694234212,5,
78,79,Jonathan Taylor,Indianapolis Colts,RB,11.209616593310184,14,11.0
79,80,Jacoby Brissett,New England Patriots,QB,11.199846241538172,14,
80,81,Zack Moss,Cincinnati Bengals,RB,11.19400378894168,12,107.0
81,82,Chuba Hubbard,Carolina Panthers,RB,11.188942225333074,11,180.0
82,83,DeVonta Smith,Philadelphia Eagles,WR,11.0311139052396,5,44.0
83,84,Jordan Addison,Minnesota Vikings,WR,11.008722614784087,6,106.0
84,85,Jerome Ford,Cleveland Browns,RB,10.798701679322477,10,125.0
85,86,Tyjae Spears,Tennessee Titans,RB,10.72679176298645,5,97.0
86,87,Mike Evans,Tampa Bay Buccaneers,WR,10.70684086248088,11,28.0
87,88,Tyler Allgeier,Atlanta Falcons,RB,10.691028004230349,12,149.0
88,89,Desmond Ridder,Arizona Cardinals,QB,10.497836574099844,11,
89,90,Rhamondre Stevenson,New England Patriots,RB,10.37992950597414,14,58.0
90,91,Cooper Kupp,St. Louis Rams,WR,10.324472394012323,6,46.0
91,92,Zay Flowers,Baltimore Ravens,WR,10.322399597182525,14,56.0
92,93,Travis Kelce,Kansas City Chiefs,TE,10.250991280386744,6,18.0
93,94,Mike Williams,New York Jets,WR,10.094316373489551,12,138.0
94,95,Christian Kirk,Jacksonville Jaguars,WR,10.069385087599247,12,87.0
95,96,Will Levis,Tennessee Titans,QB,10.017013891305131,5,204.0
96,97,Zach Charbonnet,Seattle Seahawks,RB,9.996322315106855,10,132.0
97,98,T.J. Hockenson,Minnesota Vikings,TE,9.97190755795061,6,119.0
98,99,Noah Brown,Houston Texans,WR,9.839301111445982,14,
99,100,Mark Andrews,Baltimore Ravens,TE,9.83732222363112,14,40.0
100,101,Garrett Wilson,New York Jets,WR,9.818534123131805,12,13.0
101,102,Mac Jones,Jacksonville Jaguars,QB,9.813222784896931,12,
102,103,Trey Lance,Dallas Cowboys,QB,9.735930284032246,7,
103,104,Roschon Johnson,Chicago Bears,RB,9.697305654829972,7,
104,105,Tommy DeVito,New York Giants,QB,9.583904972014937,11,
105,106,Tee Higgins,Cincinnati Bengals,WR,9.576341912029868,12,61.0
106,107,Amari Cooper,Cleveland Browns,WR,9.479967153194046,10,68.0
107,108,Rashee Rice,Kansas City Chiefs,WR,9.468283564925272,6,84.0
108,109,Chris Godwin,Tampa Bay Buccaneers,WR,9.384390458200828,11,75.0
109,110,Adam Thielen,Carolina Panthers,WR,9.365508388512076,11,157.0
110,111,Myles Gaskin,Minnesota Vikings,RB,9.22191379819329,6,
111,112,Ty Chandler,Minnesota Vikings,RB,9.191682810384382,6,160.0
112,113,Kendre Miller,New Orleans Saints,RB,9.137387236204964,12,156.0
113,114,Calvin Ridley,Tennessee Titans,WR,9.11425225567048,5,62.0
114,115,Jayden Reed,Green Bay Packers,WR,9.03926406579276,10,89.0
115,116,Drake London,Atlanta Falcons,WR,8.944013714808364,12,34.0
116,117,Tyler Lockett,Seattle Seahawks,WR,8.94298124126701,10,124.0
117,118,Bryce Young,Carolina Panthers,QB,8.900723632885336,11,197.0
118,119,Devin Singletary,New York Giants,RB,8.806479971154465,11,111.0
119,120,Marquise Brown,Kansas City Chiefs,WR,8.777500628761572,6,108.0
120,121,Trey McBride,Arizona Cardinals,TE,8.762804487016458,11,50.0
121,122,Chris Rodriguez,Washington Football Team,RB,8.746931331569504,14,
122,123,Diontae Johnson,Carolina Panthers,WR,8.682489579050225,11,90.0
123,124,Evan Engram,Jacksonville Jaguars,TE,8.646776565069223,12,57.0
124,125,Jakobi Meyers,Oakland Raiders,WR,8.593536177776874,10,145.0
125,126,Christian Watson,Green Bay Packers,WR,8.51014988512781,10,96.0
126,127,Josh Palmer,San Diego Chargers,WR,8.459365644093824,5,
127,128,Brandin Cooks,Dallas Cowboys,WR,8.452359440655522,7,171.0
128,129,J.K. Dobbins,San Diego Chargers,RB,8.452250050756112,5,133.0
129,130,DeAndre Hopkins,Tennessee Titans,WR,8.4294734613545,5,103.0
130,131,Zach Wilson,Denver Broncos,QB,8.385723557932637,14,
131,132,Josh Downs,Indianapolis Colts,WR,8.309697356949735,14,
132,133,Terry McLaurin,Washington Football Team,WR,8.268152300290293,14,79.0
133,134,Davis Mills,Houston Texans,QB,8.16312300458874,14,
134,135,Michael Wilson,Arizona Cardinals,WR,8.061917544791033,11,
135,136,Romeo Doubs,Green Bay Packers,WR,8.061015201103698,10,163.0
136,137,Dalton Schultz,Houston Texans,TE,8.029631194742315,14,137.0
137,138,Ezekiel Elliott,Dallas Cowboys,RB,7.974415968221062,7,104.0
138,139,Alexander Mattison,Oakland Raiders,RB,7.91215040976708,10,
139,140,Elijah Moore,Cleveland Browns,WR,7.886076956296724,10,
140,141,Jimmy Garoppolo,St. Louis Rams,QB,7.867422607380791,6,
141,142,Cole Kmet,Chicago Bears,TE,7.810964988413935,7,148.0
142,143,Jake Ferguson,Dallas Cowboys,TE,7.780187811279987,7,88.0
143,144,Mitchell Trubisky,Buffalo Bills,QB,7.770871567071338,12,
144,145,Jameson Williams,Detroit Lions,WR,7.768663629511677,5,122.0
145,146,Jaleel McLaughlin,Denver Broncos,RB,7.736083946615106,14,182.0
146,147,Demarcus Robinson,St. Louis Rams,WR,7.729053178973157,6,
147,148,Gus Edwards,San Diego Chargers,RB,7.630206769097485,5,128.0
148,149,Quentin Johnston,San Diego Chargers,WR,7.558471186280332,5,
149,150,Courtland Sutton,Denver Broncos,WR,7.374119540646742,14,117.0
150,151,Jarrett Stidham,Denver Broncos,QB,7.370580776195087,14,
151,152,Dallas Goedert,Philadelphia Eagles,TE,7.342377912948736,5,115.0
152,153,Darius Slayton,New York Giants,WR,7.325260795835092,11,
153,154,Xavier Hutchinson,Houston Texans,WR,7.322573173652263,14,
154,155,Tyquan Thornton,New England Patriots,WR,7.288022654952873,14,
155,156,Jaxon Smith-Njigba,Seattle Seahawks,WR,7.217219591296543,10,100.0
156,157,Nick Mullens,Minnesota Vikings,QB,7.164212511180138,6,
157,158,Rashid Shaheed,New Orleans Saints,WR,7.131032474559121,12,151.0
158,159,Derius Davis,San Diego Chargers,WR,7.117235088396485,5,
159,160,Greg Dulcich,Denver Broncos,TE,7.092715846934568,14,
160,161,Rashaad Penny,Carolina Panthers,RB,7.074218901586583,11,
161,162,Dontayvion Wicks,Green Bay Packers,WR,7.038327023104418,10,195.0
162,163,Dameon Pierce,Houston Texans,RB,7.007706001348548,14,
163,164,Jonathan Mingo,Carolina Panthers,WR,6.968657665063116,11,
164,165,David Njoku,Cleveland Browns,TE,6.965613264137601,10,73.0
165,166,Jerry Jeudy,Cleveland Browns,WR,6.9605972892357775,10,140.0
166,167,Anthony Schwartz,Miami Dolphins,WR,6.953290367853636,6,
167,168,Craig Reynolds,Detroit Lions,RB,6.892594281038849,5,
168,169,Zay Jones,Arizona Cardinals,WR,6.846386445356598,11,
169,170,Kyle Pitts,Atlanta Falcons,TE,6.82471765274942,12,60.0
170,171,Tank Bigsby,Jacksonville Jaguars,RB,6.78507609374044,12,
171,172,Xavier Gipson,New York Jets,WR,6.770550474840835,12,
172,173,Jalin Hyatt,New York Giants,WR,6.754409968691576,11,
173,174,Tucker Kraft,Green Bay Packers,TE,6.734231147347648,10,
174,175,Dalton Kincaid,Buffalo Bills,TE,6.696168564781155,12,54.0
175,176,Rondale Moore,Atlanta Falcons,WR,6.680315966138702,12,
176,177,Tre Tucker,Oakland Raiders,WR,6.604695296166806,10,
177,178,Kendrick Bourne,New England Patriots,WR,6.582702934957257,14,
178,179,Tutu Atwell,St. Louis Rams,WR,6.527064427744654,6,
179,180,Chase Brown,Cincinnati Bengals,RB,6.518883070478294,12,130.0
180,181,Tyler Scott,Chicago Bears,WR,6.5185491211321285,7,
181,182,Cam Akers,Minnesota Vikings,RB,6.481705869395796,6,
182,183,Rashod Bateman,Baltimore Ravens,WR,6.479534971299234,14,
183,184,Samaje Perine,Denver Broncos,RB,6.4620741932892685,14,
184,185,Calvin Austin,Pittsburgh Steelers,WR,6.436755222323086,9,
185,186,Marvin Mims,Denver Broncos,WR,6.42699208595712,14,
186,187,James Robinson,New Orleans Saints,RB,6.421578328952013,12,
187,188,Tim Patrick,Denver Broncos,WR,6.416323229569219,14,
188,189,Zamir White,Oakland Raiders,RB,6.38267086297963,10,67.0
189,190,Kenny Pickett,Philadelphia Eagles,QB,6.359076132347017,5,
190,191,Robert Woods,Houston Texans,WR,6.355955737253966,14,
191,192,Royce Freeman,Dallas Cowboys,RB,6.344776317840261,7,
192,193,Gunner Olszewski,New York Giants,WR,6.314747663926258,11,
193,194,Jahan Dotson,Washington Football Team,WR,6.312279744128424,14,242.0
194,195,Jakeem Grant,Cleveland Browns,WR,6.265148234388144,10,
195,196,Antonio Gibson,New England Patriots,RB,6.243000991543968,14,162.0
196,197,Darrynton Evans,Buffalo Bills,RB,6.214285260579013,12,
197,198,Treylon Burks,Tennessee Titans,WR,6.167076748615158,5,
198,199,Alec Pierce,Indianapolis Colts,WR,6.12938495142109,14,
199,200,Steven Sims,Houston Texans,WR,6.118373734606845,14,
200,201,Justin Watson,Kansas City Chiefs,WR,6.109994816295541,6,
201,202,Zach Ertz,Washington Football Team,TE,6.081847238541879,14,247.0
202,203,Dante Pettis,Chicago Bears,WR,6.069304846905096,7,
203,204,Bailey Zappe,New England Patriots,QB,6.06773694961054,14,
204,205,Kenneth Gainwell,Philadelphia Eagles,RB,6.060528009058658,5,
205,206,Greg Dortch,Arizona Cardinals,WR,6.056592140899803,11,
206,207,Curtis Samuel,Buffalo Bills,WR,6.039407428283329,12,142.0
207,208,Van Jefferson,Pittsburgh Steelers,WR,6.036272643273007,9,
208,209,Trey Palmer,Tampa Bay Buccaneers,WR,6.0173987765285855,11,
209,210,Cedric Tillman,Cleveland Browns,WR,5.980399015367988,10,
210,211,Montrell Washington,Kansas City Chiefs,WR,5.942181269543197,6,
211,212,Khalil Shakir,Buffalo Bills,WR,5.9197312633206405,12,159.0
212,213,Isaiah Likely,Baltimore Ravens,TE,5.906974951504268,14,218.0
213,214,Equanimeous St. Brown,New Orleans Saints,WR,5.88766158802983,12,
214,215,Demario Douglas,New England Patriots,WR,5.833449301887005,14,174.0
215,216,Miles Sanders,Carolina Panthers,RB,5.819538097667298,11,
216,217,Brevin Jordan,Houston Texans,TE,5.804120444721941,14,
217,218,Justice Hill,Baltimore Ravens,RB,5.802862840865795,14,
218,219,Skyy Moore,Kansas City Chiefs,WR,5.799655259805416,6,
219,220,Tyron Johnson,Dallas Cowboys,WR,5.799548945203782,7,
220,221,Ihmir Smith-Marsette,Carolina Panthers,WR,5.766834860302819,11,
221,222,Michael Mayer,Oakland Raiders,TE,5.756599789361254,10,
222,223,Luke Musgrave,Green Bay Packers,TE,5.721858438476269,10,217.0
223,224,Chris Moore,Arizona Cardinals,WR,5.710705994749392,11,
224,225,Devin Duvernay,Jacksonville Jaguars,WR,5.68731732001287,12,
225,226,Derrick Gore,Washington Football Team,RB,5.6604096617158834,14,
226,227,Harrison Bryant,Oakland Raiders,TE,5.61927113012286,10,
227,228,Kevin Harris,New England Patriots,RB,5.602315498574775,14,
228,229,Kalif Raymond,Detroit Lions,WR,5.55860444034944,5,
229,230,Ray-Ray McCloud,Atlanta Falcons,WR,5.544101332719552,12,
230,231,Elijah Mitchell,San Francisco 49ers,RB,5.467663112782473,9,223.0
231,232,Ronnie Bell,San Francisco 49ers,WR,5.459635763548292,9,
232,233,Sam Ehlinger,Indianapolis Colts,QB,5.457907795781599,14,
233,234,K.J. Osborn,New England Patriots,WR,5.441530993400841,14,
234,235,Tyler Boyd,Tennessee Titans,WR,5.4066862097982265,5,
235,236,Teagan Quitoriano,Houston Texans,TE,5.401889877610615,14,
236,237,Jalen Reagor,New England Patriots,WR,5.39500451252555,14,
237,238,Hunter Henry,New England Patriots,TE,5.375980904581753,14,206.0
238,239,Allen Lazard,New York Jets,WR,5.340336011528287,12,
