Rank,Name,Team,Position,Final PPG
1,Dak Prescott,dal,QB,20.303885093429482
2,Jordan Love,gnb,QB,19.897530203021656
3,Josh Allen,buf,QB,19.88408123030849
4,Brock Purdy,sfo,QB,19.781846399918493
5,Lamar Jackson,rav,QB,19.161515938058965
6,Kirk Cousins,atl,QB,19.107878054211298
7,Russell Wilson,pit,QB,18.874063415485903
8,C.J. Stroud,htx,QB,18.69717326995274
9,Justin Herbert,sdg,QB,18.36473820811199
10,Jalen Hurts,phi,QB,17.99393293650458
11,Justin Fields,pit,QB,17.67931311317257
12,Jared Goff,det,QB,17.647296725660233
13,Patrick Mahomes,kan,QB,17.600801553230806
14,Kyler Murray,crd,QB,17.59372046456037
15,Baker Mayfield,tam,QB,17.059690021126716
16,Tua Tagovailoa,mia,QB,16.895232884173673
17,Carson Wentz,kan,QB,16.686486696555413
18,Matthew Stafford,ram,QB,16.255256180866855
19,Joe Burrow,cin,QB,16.11497831284449
20,Joshua Dobbs,sfo,QB,16.067876143382207
21,Jake Browning,cin,QB,15.858126028701443
22,Joe Flacco,clt,QB,15.777290429600395
23,Sam Howell,sea,QB,15.599114811532816
24,Daniel Jones,nyg,QB,15.445117000894076
25,Trevor Lawrence,jax,QB,15.34891590542798
26,Geno Smith,sea,QB,14.855697716159677
27,Derek Carr,nor,QB,14.816560583725465
28,Marcus Mariota,was,QB,14.190129862854796
29,Aaron Rodgers,nyj,QB,13.76113209238138
30,Deshaun Watson,cle,QB,13.617706773948242
31,Taylor Heinicke,atl,QB,13.122370187430853
32,Andy Dalton,car,QB,11.322120320771992
33,Jacoby Brissett,nwe,QB,10.882587578122708
34,Desmond Ridder,crd,QB,10.380333099477864
35,Will Levis,oti,QB,10.183641258182513
36,Mac Jones,jax,QB,9.774708778866382
37,Trey Lance,dal,QB,9.658083249493863
38,Tommy DeVito,nyg,QB,9.513075520375002
39,Bryce Young,car,QB,8.709364900955496
40,Zach Wilson,den,QB,8.301597883613493
41,Davis Mills,htx,QB,7.9582254054558295
42,Jimmy Garoppolo,ram,QB,7.882903047506969
43,Mitchell Trubisky,buf,QB,7.85948513502808
44,Nick Mullens,min,QB,7.257817933619598
45,Jarrett Stidham,den,QB,7.245968785148574
46,Kenny Pickett,phi,QB,6.384704249586656
47,Bailey Zappe,nwe,QB,5.805235680620465
48,Sam Ehlinger,clt,QB,5.570058824217667
49,Tyler Huntley,cle,QB,5.497292524114873
50,Jameis Winston,cle,QB,5.342521145714329
51,Brandon Allen,sfo,QB,5.08582610716689
52,Mason Rudolph,oti,QB,4.719450421925365
53,Tyrod Taylor,nyj,QB,4.452077231988799
54,Case Keenum,htx,QB,3.823635863409256
55,Drew Lock,nyg,QB,3.6264885802624005
56,Tim Boyle,htx,QB,3.063699143061953
57,Skylar Thompson,mia,QB,2.8670431771570386
58,Dorian Thompson-Robinson,cle,QB,2.808823619177458
59,Brett Rypien,chi,QB,2.7932571205579295
60,Mike White,mia,QB,2.75004103127824
61,P.J. Walker,sea,QB,2.711536566228141
62,Taysom Hill,nor,QB,2.6714859989149793
63,Jeff Driskel,was,QB,2.6221351995448887
64,Malik Willis,oti,QB,2.2942457596998227
65,C.J. Beathard,jax,QB,2.070927097367892
66,Sam Darnold,min,QB,1.9670217120865972
67,Kyle Allen,pit,QB,1.7938009516623903
68,Cooper Rush,dal,QB,1.6998707125618957
69,Blaine Gabbert,kan,QB,1.5242496197245612
70,Matt Barkley,jax,QB,1.4925825247954025
71,Logan Woodside,cin,QB,0.37392996987545873
