Rank,Name,Team,Position,Final PPG
1,Josh Allen,buf,QB,20.652371571522544
2,Dak Prescott,dal,QB,20.626648462646763
3,Brock Purdy,sfo,QB,20.172126437162404
4,Jordan Love,gnb,QB,20.123518373438554
5,Lamar Jackson,rav,QB,20.03433426847985
6,Kirk Cousins,atl,QB,19.64500891210477
7,Russell Wilson,pit,QB,19.135731249375205
8,Justin Herbert,sdg,QB,18.602431166092
9,C.J. Stroud,htx,QB,18.58751551989744
10,Jalen Hurts,phi,QB,18.224033961948212
11,Justin Fields,pit,QB,18.138672958986465
12,Patrick Mahomes,kan,QB,18.047125260983297
13,Jared Goff,det,QB,17.744609940014513
14,Kyler Murray,crd,QB,17.720830257534686
15,Baker Mayfield,tam,QB,16.9417352448524
16,Tua Tagovailoa,mia,QB,16.920453575179504
17,Carson Wentz,kan,QB,16.338004298775576
18,Joshua Dobbs,sfo,QB,16.191099022186933
19,Joe Burrow,cin,QB,16.15725335867841
20,Matthew Stafford,ram,QB,16.145001721761492
21,Marcus Mariota,was,QB,16.081977480735823
22,Joe Flacco,clt,QB,16.0233520791258
23,Jake Browning,cin,QB,16.001048800984375
24,Trevor Lawrence,jax,QB,15.624601356040317
25,Sam Howell,sea,QB,15.539937933906781
26,Daniel Jones,nyg,QB,15.159631100287678
27,Derek Carr,nor,QB,14.92204016916527
28,Geno Smith,sea,QB,14.876277675305825
29,Aaron Rodgers,nyj,QB,13.804844754991535
30,Deshaun Watson,cle,QB,13.646762597181388
31,Taylor Heinicke,atl,QB,13.328020684780103
32,Andy Dalton,car,QB,11.262841930105408
33,Jacoby Brissett,nwe,QB,11.199846241538172
34,Desmond Ridder,crd,QB,10.497836574099844
35,Will Levis,oti,QB,10.017013891305131
36,Mac Jones,jax,QB,9.813222784896931
37,Trey Lance,dal,QB,9.735930284032246
38,Tommy DeVito,nyg,QB,9.583904972014935
39,Bryce Young,car,QB,8.900723632885336
40,Zach Wilson,den,QB,8.385723557932637
41,Davis Mills,htx,QB,8.16312300458874
42,Jimmy Garoppolo,ram,QB,7.867422607380791
43,Mitchell Trubisky,buf,QB,7.770871567071338
44,Jarrett Stidham,den,QB,7.370580776195087
45,Nick Mullens,min,QB,7.164212511180138
46,Kenny Pickett,phi,QB,6.359076132347017
47,Bailey Zappe,nwe,QB,6.06773694961054
48,Sam Ehlinger,clt,QB,5.4579077957815985
49,Tyler Huntley,cle,QB,5.250079764243035
50,Jameis Winston,cle,QB,5.20709548788732
51,Brandon Allen,sfo,QB,4.866457315423002
52,Tyrod Taylor,nyj,QB,4.767297404406936
53,Mason Rudolph,oti,QB,4.251320464020111
54,Drew Lock,nyg,QB,3.9067175950206767
55,Case Keenum,htx,QB,3.4773383280699255
56,Taysom Hill,nor,QB,3.367728259772051
57,Tim Boyle,htx,QB,3.247302912702473
58,P.J. Walker,sea,QB,3.222805471995357
59,Jeff Driskel,was,QB,3.134628912485872
60,Dorian Thompson-Robinson,cle,QB,3.0885495034429784
61,Brett Rypien,chi,QB,2.9206625472379586
62,Skylar Thompson,mia,QB,2.7161761048519386
63,C.J. Beathard,jax,QB,2.66046958146665
64,Mike White,mia,QB,2.473105531245641
65,Sam Darnold,min,QB,2.4662969732807394
66,Kyle Allen,pit,QB,2.4149152295910334
67,Blaine Gabbert,kan,QB,2.218067957395606
68,Matt Barkley,jax,QB,2.0785060949901917
69,Malik Willis,oti,QB,1.7494168702038775
70,Cooper Rush,dal,QB,0.9143774931066195
71,Logan Woodside,cin,QB,0.47214643531895756
