Rank,Name,Team,Position,Final PPG
1,Jahmyr Gibbs,det,RB,16.346482802437492
2,Kyren Williams,ram,RB,16.0957399166061
3,Breece Hall,nyj,RB,14.721311777305658
4,Christian McCaffrey,sfo,RB,14.415842494426617
5,Bijan Robinson,atl,RB,14.169510592064382
6,Isiah Pacheco,kan,RB,13.873479021821197
7,Derrick Henry,rav,RB,13.756408765480186
8,Rachaad White,tam,RB,13.672375766149894
9,James Cook,buf,RB,13.646948956024012
10,Nick Chubb,cle,RB,13.531191089426992
11,Tony Pollard,oti,RB,13.492448085164611
12,James Conner,crd,RB,13.32593477614187
13,Raheem Mostert,mia,RB,13.279785817101082
14,David Montgomery,det,RB,13.173252878808437
15,Aaron Jones,min,RB,13.148873122191123
16,Najee Harris,pit,RB,13.028556598425704
17,Alvin Kamara,nor,RB,12.76936081790942
18,Keaton Mitchell,rav,RB,12.569659977115844
19,Josh Jacobs,gnb,RB,11.839479501002433
20,Jaylen Warren,pit,RB,10.688654282995257
21,Austin Ekeler,was,RB,10.595335444709638
22,Travis Etienne,jax,RB,10.203205596679577
23,Javonte Williams,den,RB,10.202711529953325
24,Chuba Hubbard,car,RB,9.620452595381588
25,Saquon Barkley,phi,RB,9.293496877165053
26,Khalil Herbert,chi,RB,9.220814651917156
27,Jonathan Taylor,clt,RB,9.017520296729858
28,Tyler Allgeier,atl,RB,8.739635657686156
29,Zonovan Knight,det,RB,8.567679302219956
30,Joe Mixon,htx,RB,8.546613397089358
31,Rhamondre Stevenson,nwe,RB,8.514856550938228
32,Zack Moss,cin,RB,7.808076121632767
33,Jerome Ford,cle,RB,7.561980118220173
34,Myles Gaskin,min,RB,7.560784692849511
35,J.K. Dobbins,sdg,RB,7.554141871905125
36,Dameon Pierce,htx,RB,7.537208604146358
37,Ty Chandler,min,RB,7.471431224851168
38,Chris Rodriguez,was,RB,7.138856510650433
39,Hassan Haskins,oti,RB,6.763717842242388
40,Michael Burton,den,RB,6.761987110405867
41,Gus Edwards,sdg,RB,6.729735042447398
42,Patrick Taylor,sfo,RB,6.4972275333190606
43,Devin Singletary,nyg,RB,6.447026713068005
44,Khari Blasingame,chi,RB,6.372381614066959
45,Ezekiel Elliott,dal,RB,6.346159986215603
46,Rashaad Penny,car,RB,6.343520621222457
47,Alexander Mattison,rai,RB,6.276955354920203
48,Kene Nwangwu,min,RB,6.2185412696251525
49,Dwayne Washington,den,RB,6.1693362631239665
50,Keaontay Ingram,kan,RB,6.137934278971374
51,Dare Ogunbowale,htx,RB,6.081778210867004
52,Chase Edmonds,tam,RB,6.06984889163277
53,Zamir White,rai,RB,5.969226377283598
54,Jonathan Ward,pit,RB,5.933526957660147
55,Tyjae Spears,oti,RB,5.924993748165506
56,Samaje Perine,den,RB,5.868857658776541
57,DeeJay Dallas,crd,RB,5.8096871493487905
58,Boston Scott,ram,RB,5.774766086718214
59,James Robinson,nor,RB,5.637107514613641
60,Raheem Blackshear,car,RB,5.634848598444393
61,Roschon Johnson,chi,RB,5.554440718292141
62,Tank Bigsby,jax,RB,5.507802621784206
63,Craig Reynolds,det,RB,5.50453528083279
64,Cam Akers,min,RB,5.46827470296105
65,Jordan Mason,sfo,RB,5.434697336674356
66,Darrynton Evans,buf,RB,5.433969204986855
67,Clyde Edwards-Helaire,kan,RB,5.354962979270083
68,Ronnie Rivers,ram,RB,5.354386527387242
69,Zach Charbonnet,sea,RB,5.342759804721455
70,Justice Hill,rav,RB,5.3249355478650235
71,Alec Ingold,mia,RB,5.264836910738494
72,Pierre Strong,cle,RB,5.159753029426078
73,Isaiah Spiller,sdg,RB,5.136676874140758
74,Ameer Abdullah,rai,RB,5.046009040037261
75,Godwin Igwebuike,pit,RB,5.03872095457752
76,Elijah Mitchell,sfo,RB,5.003126445044825
77,Miles Sanders,car,RB,4.9471847991719535
78,Trayveon Williams,cin,RB,4.922940322154945
79,Jaleel McLaughlin,den,RB,4.896891400579763
80,Adam Prentice,nor,RB,4.868054131943488
81,Ty Johnson,buf,RB,4.849894960864556
82,Michael Carter,crd,RB,4.837364531151332
83,Kendre Miller,nor,RB,4.808529082496483
84,Royce Freeman,dal,RB,4.742271965032093
85,Emari Demercado,crd,RB,4.705822378545887
86,J.J. Taylor,htx,RB,4.648689758079718
87,Kevin Harris,nwe,RB,4.585708916736717
88,Derrick Gore,was,RB,4.466091859098827
89,Tony Jones,crd,RB,4.365118380943896
90,Kenneth Gainwell,phi,RB,4.350987489007134
91,Marlon Mack,crd,RB,4.231218747046171
92,Antonio Gibson,nwe,RB,4.1935127166000115
93,Trey Sermon,clt,RB,4.191011498491212
94,Jamaal Williams,nor,RB,4.16485868961511
95,Salvon Ahmed,mia,RB,4.149029521083651
96,Jeremy McNichols,was,RB,4.130617829372112
97,Mike Boone,car,RB,4.0624674565515
98,Jamycal Hasty,nwe,RB,4.059715320871407
99,Avery Williams,atl,RB,4.034675635350868
100,Jaret Patterson,sdg,RB,3.9843405602749864
101,C.J. Ham,min,RB,3.8562835853295665
102,Travis Homer,chi,RB,3.763646099588419
103,Chase Brown,cin,RB,3.7281001343445697
104,Nyheim Hines,cle,RB,3.6603016968125948
105,Rico Dowdle,dal,RB,3.5891065864761975
106,Kyle Juszczyk,sfo,RB,3.551801130292108
107,Zander Horvath,nor,RB,3.196151959501228
108,Chris Evans,cin,RB,2.8505926065600296
