Rank,Name,Team,Position,Final PPG
1,Jahmyr Gibbs,det,RB,12.775584409305303
2,Kyren Williams,ram,RB,12.39065085503092
3,Bijan Robinson,atl,RB,12.028916296971191
4,Breece Hall,nyj,RB,11.823656968795985
5,Isiah Pacheco,kan,RB,10.10832575193675
6,Raheem Mostert,mia,RB,9.639423449541617
7,James Conner,crd,RB,9.479838550240814
8,Derrick Henry,rav,RB,9.390766713638628
9,Christian McCaffrey,sfo,RB,9.382637268005922
10,David Montgomery,det,RB,9.261014237315099
11,Rachaad White,tam,RB,8.973411178807906
12,Alvin Kamara,nor,RB,8.966078208227517
13,James Cook,buf,RB,8.884785799270826
14,Tony Pollard,oti,RB,8.81447505976965
15,Keaton Mitchell,rav,RB,8.77702853496264
16,Austin Ekeler,was,RB,8.688638916548646
17,Nick Chubb,cle,RB,8.624729181035496
18,Aaron Jones,min,RB,8.123799455323955
19,Jerome Ford,cle,RB,8.022568605440027
20,Saquon Barkley,phi,RB,8.012659089918916
21,Najee Harris,pit,RB,7.987215174708281
22,Josh Jacobs,gnb,RB,7.903478588679934
23,Jaylen Warren,pit,RB,7.884146088181138
24,Joe Mixon,htx,RB,7.80265493077683
25,Tyler Allgeier,atl,RB,7.477401205272164
26,Chuba Hubbard,car,RB,7.456695258254793
27,Javonte Williams,den,RB,7.4478952002421295
28,Jonathan Taylor,clt,RB,7.175778506903384
29,Samaje Perine,den,RB,6.8319281243399805
30,Khalil Herbert,chi,RB,6.806918459737514
31,Zonovan Knight,det,RB,6.751933076596717
32,Zach Charbonnet,sea,RB,6.571177008513556
33,Rhamondre Stevenson,nwe,RB,6.514017952562532
34,Travis Etienne,jax,RB,6.4321987795583535
35,Rashaad Penny,car,RB,6.255847072732051
36,Devin Singletary,nyg,RB,6.15521384089633
37,Zack Moss,cin,RB,6.065175930543942
38,Antonio Gibson,nwe,RB,5.73753441633407
39,Ezekiel Elliott,dal,RB,5.703762528286123
40,Myles Gaskin,min,RB,5.641474427870376
41,Ty Chandler,min,RB,5.60235198029382
42,Gus Edwards,sdg,RB,5.5875900607804585
43,Dameon Pierce,htx,RB,5.534574235506937
44,Chris Rodriguez,was,RB,5.443153606736349
45,J.K. Dobbins,sdg,RB,5.428645943649173
46,Alexander Mattison,rai,RB,5.356053499226774
47,Derrick Gore,was,RB,5.267601241856577
48,Jaleel McLaughlin,den,RB,5.224483726768473
49,Tyjae Spears,oti,RB,5.215057202847745
50,Royce Freeman,dal,RB,5.103969695331523
51,James Robinson,nor,RB,4.8057721102876325
52,Zamir White,rai,RB,4.544930793547939
53,Craig Reynolds,det,RB,4.526626478813864
54,Roschon Johnson,chi,RB,4.520747623757622
55,Ameer Abdullah,rai,RB,4.324522496265686
56,Isaiah Spiller,sdg,RB,4.245903436111651
57,Miles Sanders,car,RB,4.240562499349904
58,Michael Burton,den,RB,4.17494951883528
59,Khari Blasingame,chi,RB,4.019659712648066
60,Kenneth Gainwell,phi,RB,4.017230247017723
61,Travis Homer,chi,RB,4.011368113837788
62,Chris Evans,cin,RB,3.9514910752178323
63,Dare Ogunbowale,htx,RB,3.943849941536493
64,Clyde Edwards-Helaire,kan,RB,3.9260325273946797
65,Ronnie Rivers,ram,RB,3.9260325273946797
66,Hassan Haskins,oti,RB,3.8866416805347987
67,Cam Akers,min,RB,3.8689887387075825
68,Keaontay Ingram,kan,RB,3.7789613504340753
69,Emari Demercado,crd,RB,3.757271704561493
70,Boston Scott,ram,RB,3.7401160043095185
71,Jeremy McNichols,was,RB,3.689918133499865
72,Jordan Mason,sfo,RB,3.665542517936137
73,Dwayne Washington,den,RB,3.655291644049624
74,Marlon Mack,crd,RB,3.6512186264583066
75,Tony Jones,crd,RB,3.6512186264583066
76,Michael Carter,crd,RB,3.642927027648029
77,Trey Sermon,clt,RB,3.6362185404921337
78,Avery Williams,atl,RB,3.5689587418233857
79,Jaret Patterson,sdg,RB,3.5366473191490857
80,DeeJay Dallas,crd,RB,3.504147449497702
81,Raheem Blackshear,car,RB,3.504147449497702
82,Adam Prentice,nor,RB,3.476960360432027
83,Mike Boone,car,RB,3.4653021033731455
84,Zander Horvath,nor,RB,3.4539870518418154
85,Kevin Harris,nwe,RB,3.4394145265604523
86,Chase Brown,cin,RB,3.4374996364553527
87,J.J. Taylor,htx,RB,3.4215230731534687
88,Kendre Miller,nor,RB,3.400292842234868
89,Trayveon Williams,cin,RB,3.390318860710252
90,Chase Edmonds,tam,RB,3.3338539700143324
91,Darrynton Evans,buf,RB,3.3038526937325665
92,Justice Hill,rav,RB,3.295561094922289
93,Pierre Strong,cle,RB,3.2535407369097022
94,Elijah Mitchell,sfo,RB,3.24213644008395
95,Tank Bigsby,jax,RB,3.2134278301255486
96,Ty Johnson,buf,RB,3.1895080168191026
97,Patrick Taylor,sfo,RB,3.1864917261463237
98,Rico Dowdle,dal,RB,3.1750440984381045
99,Jamaal Williams,nor,RB,3.1490856053285543
100,Kyle Juszczyk,sfo,RB,3.1393547812114893
101,Kene Nwangwu,min,RB,3.1058076597337068
102,Godwin Igwebuike,pit,RB,3.1003507138716815
103,Jonathan Ward,pit,RB,3.074708411684103
104,Jamycal Hasty,nwe,RB,3.074708411684103
105,C.J. Ham,min,RB,3.0669623136091504
106,Nyheim Hines,cle,RB,3.0664168128738254
107,Alec Ingold,mia,RB,2.830993758797333
108,Salvon Ahmed,mia,RB,2.822702159987055
