Rank,Name,Team,Position,Final PPG
1,Kyren Williams,ram,RB,17.917458343119403
2,Jahmyr Gibbs,det,RB,17.635868737976416
3,Christian McCaffrey,sfo,RB,17.46588932708576
4,Bijan Robinson,atl,RB,17.352913311529214
5,Nick Chubb,cle,RB,16.52691032723123
6,Isiah Pacheco,kan,RB,16.382988903637198
7,Aaron Jones,min,RB,15.741224493384951
8,Rachaad White,tam,RB,15.252480062527335
9,Jaylen Warren,pit,RB,15.052452887141062
10,James Conner,crd,RB,14.892651258621376
11,Breece Hall,nyj,RB,14.241124269562839
12,Derrick Henry,rav,RB,14.165961550918336
13,Raheem Mostert,mia,RB,14.136906422797706
14,Austin Ekeler,was,RB,13.796714463267442
15,Keaton Mitchell,rav,RB,13.730182955881425
16,Joe Mixon,htx,RB,13.541282522675148
17,Travis Etienne,jax,RB,13.518312658376827
18,Tony Pollard,oti,RB,13.42941347394836
19,Alvin Kamara,nor,RB,13.242525671640532
20,David Montgomery,det,RB,13.23648879765465
21,James Cook,buf,RB,13.143490498277483
22,Josh Jacobs,gnb,RB,12.423598116822017
23,Saquon Barkley,phi,RB,11.631070189780178
24,Javonte Williams,den,RB,11.494599152367908
25,Khalil Herbert,chi,RB,11.428987476823556
26,Najee Harris,pit,RB,11.36776845692443
27,Zonovan Knight,det,RB,11.242744694234213
28,Jonathan Taylor,clt,RB,11.209616593310184
29,Zack Moss,cin,RB,11.194003788941679
30,Chuba Hubbard,car,RB,11.188942225333074
31,Jerome Ford,cle,RB,10.798701679322477
32,Tyjae Spears,oti,RB,10.72679176298645
33,Tyler Allgeier,atl,RB,10.691028004230349
34,Rhamondre Stevenson,nwe,RB,10.379929505974141
35,Zach Charbonnet,sea,RB,9.996322315106857
36,Roschon Johnson,chi,RB,9.697305654829972
37,Myles Gaskin,min,RB,9.22191379819329
38,Ty Chandler,min,RB,9.191682810384382
39,Kendre Miller,nor,RB,9.137387236204965
40,Devin Singletary,nyg,RB,8.806479971154465
41,Chris Rodriguez,was,RB,8.746931331569504
42,J.K. Dobbins,sdg,RB,8.452250050756112
43,Ezekiel Elliott,dal,RB,7.974415968221062
44,Alexander Mattison,rai,RB,7.91215040976708
45,Jaleel McLaughlin,den,RB,7.736083946615106
46,Gus Edwards,sdg,RB,7.630206769097485
47,Rashaad Penny,car,RB,7.074218901586583
48,Dameon Pierce,htx,RB,7.007706001348548
49,Craig Reynolds,det,RB,6.892594281038849
50,Tank Bigsby,jax,RB,6.7850760937404395
51,Chase Brown,cin,RB,6.518883070478294
52,Cam Akers,min,RB,6.481705869395796
53,Samaje Perine,den,RB,6.4620741932892685
54,James Robinson,nor,RB,6.421578328952013
55,Zamir White,rai,RB,6.38267086297963
56,Royce Freeman,dal,RB,6.344776317840261
57,Antonio Gibson,nwe,RB,6.243000991543968
58,Darrynton Evans,buf,RB,6.214285260579013
59,Kenneth Gainwell,phi,RB,6.060528009058658
60,Miles Sanders,car,RB,5.819538097667298
61,Justice Hill,rav,RB,5.802862840865795
62,Derrick Gore,was,RB,5.6604096617158834
63,Kevin Harris,nwe,RB,5.602315498574775
64,Elijah Mitchell,sfo,RB,5.467663112782473
65,Rico Dowdle,dal,RB,5.316718393530364
66,Travis Homer,chi,RB,5.269608205268356
67,Jordan Mason,sfo,RB,5.221621468534592
68,Michael Burton,den,RB,5.148728643360952
69,Clyde Edwards-Helaire,kan,RB,5.139111045805472
70,Jamaal Williams,nor,RB,5.123789067399466
71,Jaret Patterson,sdg,RB,5.123616152631002
72,Emari Demercado,crd,RB,5.071450122579413
73,Marlon Mack,crd,RB,4.980708514301957
74,Trey Sermon,clt,RB,4.795942002283087
75,Pierre Strong,cle,RB,4.792004978602742
76,Keaontay Ingram,kan,RB,4.789700701403099
77,Jeremy McNichols,was,RB,4.759324360853478
78,Salvon Ahmed,mia,RB,4.680121510991091
79,Khari Blasingame,chi,RB,4.6603774969665235
80,Ty Johnson,buf,RB,4.581682475358707
81,Isaiah Spiller,sdg,RB,4.546436234753616
82,Raheem Blackshear,car,RB,4.475799564228855
83,Jamycal Hasty,nwe,RB,4.452547655363616
84,Dwayne Washington,den,RB,4.429097637703566
85,Patrick Taylor,sfo,RB,4.408328195847352
86,Ronnie Rivers,ram,RB,4.3025047829539735
87,Nyheim Hines,cle,RB,4.184069202777196
88,Godwin Igwebuike,pit,RB,4.1044714465249506
89,Hassan Haskins,oti,RB,4.067955849192339
90,J.J. Taylor,htx,RB,4.030494093250715
91,Dare Ogunbowale,htx,RB,3.6819262419419974
92,Kyle Juszczyk,sfo,RB,3.6189102120028984
93,Chase Edmonds,tam,RB,3.5704167218584106
94,Chris Evans,cin,RB,3.55100722845485
95,Adam Prentice,nor,RB,3.5292039556305386
96,Avery Williams,atl,RB,3.5091209060946764
97,Tony Jones,crd,RB,3.381881046985505
98,Kene Nwangwu,min,RB,3.348556372779284
99,Trayveon Williams,cin,RB,3.3477742478618664
100,Zander Horvath,nor,RB,3.3271143755383035
101,Boston Scott,ram,RB,3.3077707627855317
102,Jonathan Ward,pit,RB,3.2886290521949935
103,C.J. Ham,min,RB,3.271223742079082
104,Ameer Abdullah,rai,RB,3.2489265693863416
105,Michael Carter,crd,RB,3.1467531486786884
106,Alec Ingold,mia,RB,2.822761989391002
107,Mike Boone,car,RB,2.7396832193882985
108,DeeJay Dallas,crd,RB,2.39877837563492
