Rank,Name,Team,Position,Final PPG
1,Amon-Ra St. Brown,det,WR,13.565388701379485
2,Keenan Allen,chi,WR,11.274521543572192
3,Tyreek Hill,mia,WR,11.19506928591837
4,Puka Nacua,ram,WR,11.042333515952905
5,Nico Collins,htx,WR,11.012547104077932
6,Jaylen Waddle,mia,WR,10.466756177685623
7,A.J. Brown,phi,WR,10.270255934996575
8,Justin Jefferson,min,WR,10.259149216477631
9,Deebo Samuel,sfo,WR,9.976952834979022
10,Sam LaPorta,det,TE,9.847000085478014
11,CeeDee Lamb,dal,WR,9.820719710054323
12,Brandon Aiyuk,sfo,WR,9.633126190017165
13,D.J. Moore,chi,WR,9.241407645000415
14,Cooper Kupp,ram,WR,9.223821090004297
15,George Kittle,sfo,TE,9.115151970086961
16,Tank Dell,htx,WR,9.050433249620255
17,Jayden Reed,gnb,WR,8.998486717056414
18,Chris Olave,nor,WR,8.984953078623422
19,George Pickens,pit,WR,8.924257595451625
20,DeVonta Smith,phi,WR,8.875935115552224
21,Stefon Diggs,htx,WR,8.862849088213931
22,Travis Kelce,kan,TE,8.523771614922241
23,Noah Brown,htx,WR,8.331376035531713
24,Mike Evans,tam,WR,8.321467740639083
25,Mark Andrews,rav,TE,8.318474014526027
26,Davante Adams,rai,WR,8.252823297945149
27,Drake London,atl,WR,8.109361827221461
28,Christian Watson,gnb,WR,7.804441255372548
29,Tee Higgins,cin,WR,7.762578432909208
30,Jordan Addison,min,WR,7.753895295899157
31,Jakobi Meyers,rai,WR,7.742631769333429
32,T.J. Hockenson,min,TE,7.739514723439444
33,Rashee Rice,kan,WR,7.697517207108714
34,Calvin Ridley,oti,WR,7.687424084810964
35,Marquise Brown,kan,WR,7.6713941267785355
36,Zay Flowers,rav,WR,7.669510113777486
37,Josh Palmer,sdg,WR,7.379899444084335
38,Amari Cooper,cle,WR,7.329127369357125
39,Kendrick Bourne,nwe,WR,7.265331486873366
40,Mike Williams,nyj,WR,7.157297892463754
41,Jameson Williams,det,WR,7.002675523691919
42,Terry McLaurin,was,WR,6.984869603557961
43,Christian Kirk,jax,WR,6.9752036502708705
44,Elijah Moore,cle,WR,6.933301165871971
45,DeAndre Hopkins,oti,WR,6.897886968970781
46,Courtland Sutton,den,WR,6.854737587690925
47,Evan Engram,jax,TE,6.73713900447783
48,Rashid Shaheed,nor,WR,6.721706829595937
49,Chris Godwin,tam,WR,6.572772248801738
50,Garrett Wilson,nyj,WR,6.491876458503706
51,Demario Douglas,nwe,WR,6.468186881359913
52,Jerry Jeudy,cle,WR,6.399118712930866
53,Adam Thielen,car,WR,6.353045691355239
54,Diontae Johnson,car,WR,6.232275819852165
55,Josh Downs,clt,WR,6.1265390281605265
56,David Njoku,cle,TE,6.1032952791879564
57,Demarcus Robinson,ram,WR,6.017950918125516
58,Dontayvion Wicks,gnb,WR,6.0015464216921925
59,Romeo Doubs,gnb,WR,5.986254630291499
60,Tucker Kraft,gnb,TE,5.94643787152993
61,Zay Jones,crd,WR,5.884365911234702
62,Quentin Johnston,sdg,WR,5.728479620075229
63,Jaxon Smith-Njigba,sea,WR,5.722509680655291
64,Tyler Lockett,sea,WR,5.67838438832171
65,Michael Wilson,crd,WR,5.678028452758832
66,Greg Dulcich,den,TE,5.581867647011668
67,Tim Patrick,den,WR,5.546296026240223
68,Kyle Pitts,atl,TE,5.544845843551952
69,Tre Tucker,rai,WR,5.527622830377002
70,Xavier Gipson,nyj,WR,5.451433803954043
71,Brandin Cooks,dal,WR,5.396559258312837
72,Trey McBride,crd,TE,5.3063166694253
73,Jake Ferguson,dal,TE,5.181565879753742
74,Tutu Atwell,ram,WR,5.123812237720616
75,Jonnu Smith,mia,TE,5.118239991700137
76,Dallas Goedert,phi,TE,5.118026177785576
77,Jonathan Mingo,car,WR,5.1133142329190004
78,Jalin Hyatt,nyg,WR,5.032701737977338
79,Justin Watson,kan,WR,5.024534110856967
80,Treylon Burks,oti,WR,5.005347305319591
81,Darius Slayton,nyg,WR,4.908165916625531
82,Dalton Schultz,htx,TE,4.894071805432135
83,Trey Palmer,tam,WR,4.856493233451687
84,Harrison Bryant,rai,TE,4.846266634162658
85,Ihmir Smith-Marsette,car,WR,4.781339675992599
86,Alec Pierce,clt,WR,4.738565867541899
87,Cole Kmet,chi,TE,4.655132783301794
88,Rashod Bateman,rav,WR,4.604442722300886
89,Robert Woods,htx,WR,4.549825903194051
