Rank,Name,Team,Position,Final PPG
1,Amon-Ra St. Brown,det,WR,7.249236894432744
2,Deebo Samuel,sfo,WR,7.1905876045793224
3,Keenan Allen,chi,WR,6.879620842280606
4,Tyreek Hill,mia,WR,6.6235435844239055
5,Puka Nacua,ram,WR,6.205420610918952
6,Justin Jefferson,min,WR,6.0962691642791595
7,CeeDee Lamb,dal,WR,5.964053531389137
8,Jakobi Meyers,rai,WR,5.784351567067758
9,Nico Collins,htx,WR,5.577510750093747
10,DeVonta Smith,phi,WR,5.5597222775798425
11,Jaylen Waddle,mia,WR,5.551191143805435
12,Jayden Reed,gnb,WR,5.540980594291272
13,Stefon Diggs,htx,WR,5.393899890098315
14,A.J. Brown,phi,WR,5.376723851499982
15,Tee Higgins,cin,WR,5.34252158159521
16,Tank Dell,htx,WR,5.301747904006458
17,Chris Olave,nor,WR,5.269477672468868
18,Xavier Gipson,nyj,WR,5.199427746610302
19,Brandon Aiyuk,sfo,WR,5.191390080894338
20,Jordan Addison,min,WR,5.036869996936114
21,Zay Flowers,rav,WR,5.035044053247886
22,George Pickens,pit,WR,4.944277105131949
23,Drake London,atl,WR,4.784431415463942
24,D.J. Moore,chi,WR,4.742163575847132
25,Garrett Wilson,nyj,WR,4.739851567373784
26,Ihmir Smith-Marsette,car,WR,4.64977722447387
27,Christian Watson,gnb,WR,4.604645990910622
28,Jonnu Smith,mia,TE,4.542174861998999
29,Tucker Kraft,gnb,TE,4.445637122766807
30,Terry McLaurin,was,WR,4.434523641151722
31,Marquise Brown,kan,WR,4.4188216133968
32,Kalif Raymond,det,WR,4.403338036143086
33,Jameson Williams,det,WR,4.384322978425282
34,Marvin Mims,den,WR,4.359306724905173
35,Amari Cooper,cle,WR,4.317536755168034
36,Mike Williams,nyj,WR,4.253566921936901
37,Sam LaPorta,det,TE,4.222583918623558
38,Derius Davis,sdg,WR,4.207595791658803
39,Noah Brown,htx,WR,4.175440056201974
40,Rashod Bateman,rav,WR,4.175431634124652
41,Chris Godwin,tam,WR,4.163685222654605
42,Christian Kirk,jax,WR,4.159791988160419
43,Ray-Ray McCloud,atl,WR,4.1558956452146685
44,Rondale Moore,atl,WR,4.1376732281815025
45,Elijah Moore,cle,WR,4.13533357479955
46,Josh Palmer,sdg,WR,4.135013867186746
47,Kendrick Bourne,nwe,WR,4.077110799187156
48,Xavier Hutchinson,htx,WR,4.04168219425393
49,Cooper Kupp,ram,WR,4.037900593692315
50,DeAndre Hopkins,oti,WR,4.037509931468795
51,Montrell Washington,kan,WR,4.031487416422393
52,Rashid Shaheed,nor,WR,4.013571041481451
53,George Kittle,sfo,TE,3.994067701632184
54,Tyler Lockett,sea,WR,3.985051378690911
55,Mike Evans,tam,WR,3.9551735637737586
56,Calvin Austin,pit,WR,3.9455546197629987
57,Kadarius Toney,kan,WR,3.9405901273380186
58,Tyler Scott,chi,WR,3.9331225569380703
59,Calvin Ridley,oti,WR,3.930852866532244
60,Tyquan Thornton,nwe,WR,3.8982564211160535
61,Samori Toure,gnb,WR,3.8882780810258
62,T.J. Hockenson,min,TE,3.8659727461431284
63,Zay Jones,crd,WR,3.854253925565564
64,Gunner Olszewski,nyg,WR,3.848771372743411
65,Chris Moore,crd,WR,3.8332910933610767
66,Skyy Moore,kan,WR,3.8127925561573015
67,Jerry Jeudy,cle,WR,3.8084480239975234
68,Demario Douglas,nwe,WR,3.7929883967740188
69,Davante Adams,rai,WR,3.763359485784855
70,Brandin Cooks,dal,WR,3.7543874377250748
71,Jalin Hyatt,nyg,WR,3.7492291190510825
72,John Metchie,htx,WR,3.7444988468999325
73,Isaiah McKenzie,nyg,WR,3.722717557848383
74,Allen Lazard,nyj,WR,3.7210822612121315
75,Diontae Johnson,car,WR,3.7109678120727936
76,Steven Sims,htx,WR,3.7108423444410588
77,Peyton Hendershot,dal,TE,3.699213802850203
78,DeAndre Carter,chi,WR,3.695302778983617
79,Jalen Reagor,nwe,WR,3.6914335168218577
80,Mack Hollins,buf,WR,3.6686541679037568
81,Marquez Valdes-Scantling,buf,WR,3.665937829875193
82,Chris Manhertz,nyg,TE,3.665714139066469
83,Mark Andrews,rav,TE,3.6533054643836036
84,Darnell Mooney,atl,WR,3.650307869759694
85,Jaelon Darden,cle,WR,3.620559640597675
86,Cedric Tillman,cle,WR,3.618774601612855
87,Darnell Washington,pit,TE,3.6059848546835824
88,Van Jefferson,pit,WR,3.5788919200752844
89,Trent Taylor,sfo,WR,3.5772789943342653
