Rank,Name,Team,Position,Final PPG
1,Amon-Ra St. Brown,det,WR,15.403695988724897
2,Justin Jefferson,min,WR,14.989637844043635
3,Tyreek Hill,mia,WR,14.766578028219538
4,Puka Nacua,ram,WR,14.73144440926131
5,Stefon Diggs,htx,WR,14.636946005644985
6,Jaylen Waddle,mia,WR,14.617980611947067
7,Keenan Allen,chi,WR,14.257701027288062
8,Nico Collins,htx,WR,14.074356038034546
9,D.J. Moore,chi,WR,13.962865249242803
10,Tank Dell,htx,WR,13.92774627827049
11,Brandon Aiyuk,sfo,WR,13.877315695337334
12,CeeDee Lamb,dal,WR,13.379023628337015
13,A.J. Brown,phi,WR,12.42236224093624
14,Sam LaPorta,det,TE,12.421783702907526
15,Davante Adams,rai,WR,12.372823361984414
16,Chris Olave,nor,WR,12.047164647202763
17,George Kittle,sfo,TE,11.732769549928799
18,Deebo Samuel,sfo,WR,11.391085216909023
19,George Pickens,pit,WR,11.373622197802622
20,DeVonta Smith,phi,WR,11.0311139052396
21,Jordan Addison,min,WR,11.008722614784087
22,Mike Evans,tam,WR,10.70684086248088
23,Cooper Kupp,ram,WR,10.324472394012323
24,Zay Flowers,rav,WR,10.322399597182523
25,Travis Kelce,kan,TE,10.250991280386744
26,Mike Williams,nyj,WR,10.094316373489553
27,Christian Kirk,jax,WR,10.069385087599247
28,T.J. Hockenson,min,TE,9.97190755795061
29,Noah Brown,htx,WR,9.839301111445982
30,Mark Andrews,rav,TE,9.837322223631121
31,Garrett Wilson,nyj,WR,9.818534123131803
32,Tee Higgins,cin,WR,9.576341912029868
33,Amari Cooper,cle,WR,9.479967153194046
34,Rashee Rice,kan,WR,9.468283564925272
35,Chris Godwin,tam,WR,9.384390458200828
36,Adam Thielen,car,WR,9.365508388512076
37,Calvin Ridley,oti,WR,9.11425225567048
38,Jayden Reed,gnb,WR,9.03926406579276
39,Drake London,atl,WR,8.944013714808364
40,Tyler Lockett,sea,WR,8.94298124126701
41,Marquise Brown,kan,WR,8.777500628761572
