team,position,penalty,GP,player_display_name,age,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,games,ppr_sh,status,comp %,td:int,yards/attempts,yards/comp,yards/carry,passer rating,PPG,oline,rb,wr,qb,te
cin,QB,0.77,10,Logan Woodside,29.0,0.4,0.7,3.4,0.0,0.1,0.1,0.7,0.0,0.0,2.3,2.9,0.4,-8.544770550244722,0.0,5.5,0.0,1.4,1.0,0.0,0.0,0.0,0.1,-7.79076081054518,0.0,0,-0.0027808281117460997,0,1.0833333333333333,0.0,9.083333333333332,16.0,6.428571428571429,28.124999999999996,0.036000000000000004,47.86667502036213,10.174745658945705,0,12.288968735027105,0
dal,QB,1.0,7,Cooper Rush,31.0,2.5714285714285716,3.4285714285714284,20.571428571428573,0.0,0.14285714285714285,0.14285714285714285,1.1428571428571428,0.0,0.0,30.714285714285715,11.428571428571429,1.0,-5.2399477475692215,0.0,11.486082995951415,0.132676927100457,1.7142857142857142,-0.7142857142857143,0.0,0.0,0.0,0.14285714285714285,-5.685892370471265,0.0,0,0.0044542821227523,0,0.75,0.0,6.0,8.0,-0.4166666666666667,72.22222222222223,0.46571428571428586,54.633168347847885,10.741696934588004,0,14.25270732153566,0
pit,QB,0.975,8,Kyle Allen,28.0,5.75,9.75,52.0,0.25,0.5,0.625,5.125,0.25,0.0,70.0,29.875,2.375,-34.0045657036541,0.0,1.598095238095238,-0.0331734076809976,2.375,0.0,0.0,0.25,0.125,0.25,-14.779260183684528,0.0,0,0.12033937639870079,0,0.5897435897435898,0.5,5.333333333333333,9.043478260869565,1.1666666666666665,60.630341880341874,1.08,46.36300983647641,8.472317941649438,0,12.262456404151788,0
nor,QB,0.8666666666666667,6,Nathan Peterman,30.0,2.8333333333333335,5.0,27.333333333333332,0.16666666666666666,0.16666666666666666,0.6666666666666666,4.5,0.16666666666666666,0.0,45.666666666666664,10.833333333333334,1.6666666666666667,-8.713447927962989,0.0,3.7616410528175233,0.05832600287282391,1.1666666666666667,2.3333333333333335,0.0,0.0,0.0,0.3333333333333333,1.8493875478743576,0.0,0,0.0792949607118069,0,1.1600000000000001,1.0,10.559999999999999,18.261904761904763,11.5,141.5,1.3266666666666667,57.38988785163836,9.437816045639485,0,15.451812837844908,0
kan,QB,0.8555555555555556,9,Blaine Gabbert,35.0,3.4444444444444446,6.0,31.22222222222222,0.1111111111111111,0.3333333333333333,0.2222222222222222,2.111111111111111,0.0,0.0,34.22222222222222,21.555555555555557,1.5555555555555556,-15.736207784056965,0.0,8.812631879098944,0.04050240201175911,1.7777777777777777,4.222222222222222,0.0,0.0,0.0,0.2222222222222222,-15.090760886087082,0.0,0,0.1138185442601897,0,1.9006493506493505,inf,15.001623376623375,24.682539682539684,5.650793650793651,233.09659090909093,1.4488888888888893,44.859344652590686,12.19568776065944,0,10.82523671383684,0
jax,QB,0.96,10,C.J. Beathard,31.0,4.7,6.4,38.4,0.1,0.1,0.7,3.2,0.0,0.0,39.6,17.0,2.1,-6.020425733416323,0.0,5.97986338313533,0.5261847069102393,1.2,3.1,0.0,0.1,0.0,0.2,2.021098795288708,0.0,0,0.04080172389481981,0,1.391080617495712,inf,9.766723842195539,13.725,3.375,129.19525443110348,1.8459999999999999,29.572081949752523,5.65541393709543,0,7.756081944677975,0
min,QB,1.0,10,Sam Darnold,27.0,2.8,4.6,29.7,0.2,0.1,0.6,4.0,0.2,0.1,37.1,15.5,1.5,-0.2621567214636231,0.0,2.56,0.1870273760907662,2.1,1.5,0.1,0.1,0.0,0.3,-8.307283751055365,0.0,0,0.0222760013720035,0,0.6086956521739131,2.0,6.456521739130435,10.607142857142858,0.7142857142857143,85.14492753623189,1.9380000000000004,46.86423156443832,12.63344667893255,0,11.336944111582293,0
oti,QB,0.9222222222222223,9,Malik Willis,25.0,3.888888888888889,7.333333333333333,38.888888888888886,0.0,0.3333333333333333,1.5555555555555556,8.777777777777779,0.1111111111111111,0.0,59.666666666666664,22.11111111111111,1.3333333333333333,-38.90596598723351,0.0,5.361818731344141,0.11549182184528149,3.5555555555555554,16.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,1.0,-13.854632205046354,0.0,0,0.0690306962677788,0,1.3081967213114756,0.0,19.324590163934428,27.403225806451612,8.755555555555556,173.2103825136612,2.2666666666666666,46.36300983647641,11.6242524827737,0,11.44295342345948,0
cle,QB,1.0,7,Dorian Thompson-Robinson,25.0,8.571428571428571,16.0,62.857142857142854,0.14285714285714285,0.5714285714285714,0.8571428571428571,8.571428571428571,0.14285714285714285,0.0,94.57142857142857,29.142857142857142,3.7142857142857144,-38.58013009677772,0.0,2.150558394820101,-0.0475316858534704,2.0,9.285714285714286,0.0,0.14285714285714285,0.0,0.5714285714285714,0.7321055858046748,0.14285714285714285,0,0.0384227546159463,0,0.5357142857142857,0.25,3.928571428571429,7.333333333333333,4.642857142857143,51.1904761904762,2.3000000000000003,35.0855209573335,6.38429149507052,0,9.286766749969717,0
mia,QB,0.9,7,Skylar Thompson,27.0,8.571428571428571,15.0,76.28571428571429,0.14285714285714285,0.42857142857142855,0.8571428571428571,5.714285714285714,0.14285714285714285,0.14285714285714285,111.85714285714286,29.714285714285715,3.7142857142857144,-32.73230369350694,0.0,7.402623608682859,-0.1692546327612587,2.0,3.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,-11.108908463618718,0.0,0,0.0284540921091229,0,0.5714285714285714,0.3333333333333333,5.085714285714285,8.9,1.5,62.1626984126984,2.494285714285714,39.09529478102876,8.02253454026843,0,10.11187299121118,0
