team,position,penalty,GP,player_display_name,age,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,PPG,oline,qb,rb,wrte,dst
cin,QB,0.77,10,Logan Woodside,29.0,0.4,0.7,3.4,0.0,0.1,0.1,0.0,2.3,2.9,0.4,0.0,1.4,1.0,0.0,0.0,0.1,0.0,0.036000000000000004,0.4293606945540653,0.6962025316455696,0.1033138401559456,0.4302325581395343,0.2687687687687692
htx,QB,0.7631578947368421,19,Tim Boyle,30.0,6.0,9.631578947368421,49.1578947368421,0.21052631578947367,0.631578947368421,0.5263157894736842,0.0,62.1578947368421,26.36842105263158,2.473684210526316,0.05263157894736842,1.368421052631579,0.0,0.0,0.0,0.21052631578947367,0.0,1.5452631578947371,0.0276243093922654,0.7902350813743217,0.2241715399610138,0.8093023255813949,0.4684684684684672
kan,QB,0.8076923076923077,13,Blaine Gabbert,35.0,3.076923076923077,5.384615384615385,32.61538461538461,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.0,32.0,21.076923076923077,1.4615384615384615,0.0,1.9230769230769231,4.153846153846154,0.0,0.0,0.15384615384615385,0.0,2.1815384615384614,0.5185477505919498,0.9240506329113922,0.3879142300194931,0.5546511627906976,0.2740240240240252
oti,QB,0.9222222222222223,9,Malik Willis,25.0,3.888888888888889,7.333333333333333,38.888888888888886,0.0,0.3333333333333333,1.5555555555555556,0.0,59.666666666666664,22.11111111111111,1.3333333333333333,0.0,3.5555555555555554,16.0,0.1111111111111111,0.3333333333333333,1.0,0.0,2.488888888888889,0.5406471981057615,0.4394213381555154,0.5614035087719298,0.2116279069767439,0.0
mia,QB,0.9,7,Skylar Thompson,27.0,8.571428571428571,15.0,76.28571428571429,0.14285714285714285,0.42857142857142855,0.8571428571428571,0.14285714285714285,111.85714285714286,29.714285714285715,3.7142857142857144,0.0,2.0,3.0,0.0,0.14285714285714285,0.14285714285714285,0.0,2.494285714285714,0.3007103393843731,0.8589511754068717,1.0,0.6627906976744184,0.721471471471471
cle,QB,1.0,7,Dorian Thompson-Robinson,25.0,8.571428571428571,16.0,62.857142857142854,0.14285714285714285,0.5714285714285714,0.8571428571428571,0.0,94.57142857142857,29.142857142857142,3.7142857142857144,0.0,2.0,9.285714285714286,0.0,0.0,0.5714285714285714,0.14285714285714285,2.8714285714285714,0.4530386740331487,0.5045207956600362,0.4756335282651065,0.2209302325581394,0.6771771771771764
sea,QB,0.86,20,P.J. Walker,29.0,9.25,16.95,106.75,0.3,0.8,1.45,0.1,145.8,54.2,4.65,0.05,1.55,4.0,0.0,0.05,0.4,0.0,3.970000000000001,0.2091554853985795,0.786618444846293,0.539961013645224,0.3313953488372085,0.5510510510510498
chi,QB,0.8666666666666666,9,Brett Rypien,28.0,10.88888888888889,18.666666666666668,105.55555555555556,0.4444444444444444,1.0,1.2222222222222223,0.1111111111111111,156.22222222222223,48.111111111111114,4.888888888888889,0.0,1.5555555555555556,2.3333333333333335,0.0,0.0,0.3333333333333333,0.0,4.011111111111111,0.4175217048145221,0.9204339963833632,0.3684210526315792,0.96860465116279,0.2747747747747748
jax,QB,0.8555555555555555,18,C.J. Beathard,31.0,6.388888888888889,9.444444444444445,66.88888888888889,0.3888888888888889,0.05555555555555555,0.8888888888888888,0.16666666666666666,70.05555555555556,28.88888888888889,3.5555555555555554,0.0,1.0555555555555556,3.388888888888889,0.0,0.0,0.16666666666666666,0.0,4.1255555555555565,0.209944751381216,0.72875226039783,0.0740740740740744,0.3372093023255806,0.5683183183183171
dal,QB,0.9157894736842105,19,Cooper Rush,31.0,7.473684210526316,12.263157894736842,85.10526315789474,0.42105263157894735,0.2631578947368421,0.5789473684210527,0.05263157894736842,98.94736842105263,39.36842105263158,4.052631578947368,0.0,1.5789473684210527,-0.3684210526315789,0.0,0.0,0.10526315789473684,0.0,4.42,0.2336227308603002,0.91500904159132,0.1695906432748537,0.4058139534883715,1.0
