team,position,penalty,GP,player_display_name,age,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,rrtd,PPG,oline,rb,wr,qb,te
den,RB,1.0,8,Michael Burton,32.0,0.875,1.125,0.0,0.0,0.5,0,0.125,0.375,0.375,1.0,0.0,0.0,0.25,0.75,0.25,0,0.0,0.0,0.0,0.21250000000000002,70.92287450660986,12.9536826874965,0,18.75997934731319,0
nor,RB,0.9285714285714286,7,Adam Prentice,27.0,0.8571428571428571,3.0,0.0,0.14285714285714285,0.5714285714285714,0,0.0,0.7142857142857143,0.8571428571428571,3.0,0.0,0.0,0.2857142857142857,3.7142857142857144,0.14285714285714285,0,0.0,0.0,0.0,0.3142857142857144,57.38988785163836,9.437816045639485,0,15.451812837844908,0
chi,RB,1.0,7,Khari Blasingame,28.0,1.1428571428571428,3.7142857142857144,0.0,0.0,0.0,0,0.0,0.42857142857142855,0.8571428571428571,0.2857142857142857,0.0,0.0,1.5714285714285714,0.7142857142857143,0.0,0,0.0,0.0,0.0,0.4,54.13194661988597,11.557447090992914,0,13.884231101746268,0
cin,RB,1.0,14,Trayveon Williams,27.0,1.0714285714285714,4.928571428571429,0.0,0.0,0.14285714285714285,0,0.0,0.5,0.6428571428571429,0.7142857142857143,0.0,0.0,-2.0,2.5,0.0,0,0.0,0.0,0.0,0.5642857142857143,47.86667502036213,10.174745658945705,0,12.288968735027105,0
crd,RB,1.0,10,DeeJay Dallas,26.0,1.0,3.6,0.0,0.0,0.2,0,0.0,0.6,0.9,2.6,0.0,0.0,-1.5,3.1,0.1,0,0.0,0.0,0.0,0.6200000000000001,42.854457740743065,8.496741511541593,0,11.16143802211102,0
car,RB,1.0,7,Mike Boone,29.0,0.7142857142857143,3.2857142857142856,0.0,0.0,0.2857142857142857,0,0.0,1.0,1.2857142857142858,5.714285714285714,0.0,0.0,1.2857142857142858,4.714285714285714,0.2857142857142857,0,0.0,0.0,0.0,0.9000000000000001,49.871561932209765,14.222381460872096,0,11.862108143022702,0
min,RB,0.875,12,Kene Nwangwu,26.0,2.25,7.333333333333333,0.0,0.0,0.3333333333333333,0,0.0,0.5,0.5833333333333334,2.5,0.0,0.0,-0.5,3.3333333333333335,0.08333333333333333,0,0.0,0.25,0.0,0.9833333333333334,46.86423156443832,12.63344667893255,0,11.336944111582293,0
den,RB,0.8125,8,Dwayne Washington,30.0,2.875,8.625,0.0,0.0,0.25,0,0.0,0.375,0.375,2.375,0.0,0.0,0.375,2.0,0.0,0,0.0,0.0,0.0,1.1,70.92287450660986,12.9536826874965,0,18.75997934731319,0
car,RB,1.0,8,Raheem Blackshear,25.0,1.75,5.75,0.0,0.0,0.125,0,0.125,0.75,0.875,5.625,0.0,0.0,1.625,4.75,0.125,0,0.0,0.0,0.0,1.1375000000000002,49.871561932209765,14.222381460872096,0,11.862108143022702,0
mia,RB,1.0,10,Alec Ingold,28.0,0.2,0.0,0.0,0.0,0.0,0,0.0,1.3,1.6,11.9,0.0,0.0,3.0,9.1,0.5,0,0.0,0.0,0.0,1.1900000000000002,39.09529478102876,8.02253454026843,0,10.11187299121118,0
