team,position,penalty,GP,player_display_name,age,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,special_teams_tds,rrtd,PPG,oline,qb,rb,wrte,dst
den,RB,1.0,8,Michael Burton,32.0,0.875,1.125,0.0,0.0,0.5,0.125,0.375,0.375,1.0,0.0,0.0,0.25,0.75,0.25,0.0,0.0,0.0,0.5875,0.5051302288871349,0.969258589511754,0.1773879142300192,0.0720930232558139,0.1118618618618612
chi,RB,1.0,7,Khari Blasingame,28.0,1.1428571428571428,3.7142857142857144,0.0,0.0,0.0,0.0,0.42857142857142855,0.8571428571428571,0.2857142857142857,0.0,0.0,1.5714285714285714,0.7142857142857143,0.0,0.0,0.0,0.0,0.8285714285714285,0.4175217048145221,0.9204339963833632,0.3684210526315792,0.96860465116279,0.2747747747747748
nor,RB,0.9285714285714286,7,Adam Prentice,27.0,0.8571428571428571,3.0,0.0,0.14285714285714285,0.5714285714285714,0.0,0.7142857142857143,0.8571428571428571,3.0,0.0,0.0,0.2857142857142857,3.7142857142857144,0.14285714285714285,0.0,0.0,0.0,1.0285714285714287,0.348066298342542,0.6835443037974682,0.1559454191033138,0.1802325581395347,0.5315315315315301
cin,RB,1.0,14,Trayveon Williams,27.0,1.0714285714285714,4.928571428571429,0.0,0.0,0.14285714285714285,0.0,0.5,0.6428571428571429,0.7142857142857143,0.0,0.0,-2.0,2.5,0.0,0.0,0.0,0.0,1.0642857142857143,0.4293606945540653,0.6962025316455696,0.1033138401559456,0.4302325581395343,0.2687687687687692
crd,RB,1.0,10,DeeJay Dallas,26.0,1.0,3.6,0.0,0.0,0.2,0.0,0.6,0.9,2.6,0.0,0.0,-1.5,3.1,0.1,0.0,0.0,0.0,1.2200000000000002,0.0994475138121551,0.5678119349005424,0.9337231968810916,0.545348837209302,0.1283783783783763
den,RB,0.8125,8,Dwayne Washington,30.0,2.875,8.625,0.0,0.0,0.25,0.0,0.375,0.375,2.375,0.0,0.0,0.375,2.0,0.0,0.0,0.0,0.0,1.475,0.5051302288871349,0.969258589511754,0.1773879142300192,0.0720930232558139,0.1118618618618612
min,RB,0.875,12,Kene Nwangwu,26.0,2.25,7.333333333333333,0.0,0.0,0.3333333333333333,0.0,0.5,0.5833333333333334,2.5,0.0,0.0,-0.5,3.3333333333333335,0.08333333333333333,0.0,0.25,0.0,1.4833333333333334,0.3938437253354379,0.9258589511754068,0.6179337231968809,0.5162790697674415,0.8295795795795788
pit,RB,0.8444444444444446,9,Jonathan Ward,27.0,1.8888888888888888,7.666666666666667,0.0,0.0,0.6666666666666666,0.0,0.5555555555555556,0.7777777777777778,4.555555555555555,0.0,0.0,1.8888888888888888,3.3333333333333335,0.2222222222222222,0.0,0.0,0.0,1.777777777777778,0.4925019731649569,0.6889692585895117,0.5692007797270953,0.1825581395348834,0.7087087087087065
ram,RB,1.0,10,Boston Scott,29.0,2.0,8.6,0.0,0.0,0.5,0.0,0.4,0.6,5.2,0.0,0.0,3.1,4.3,0.2,0.0,0.0,0.0,1.7799999999999998,0.5509076558800321,0.8824593128390597,0.7582846003898633,0.38953488372093,0.2695195195195197
car,RB,1.0,8,Raheem Blackshear,25.0,1.75,5.75,0.0,0.0,0.125,0.125,0.75,0.875,5.625,0.0,0.0,1.625,4.75,0.125,0.0,0.0,0.0,1.8875000000000002,0.3417521704814521,0.3001808318264014,0.8421052631578942,0.3825581395348836,0.3671171171171163
