team,position,penalty,GP,player_display_name,age,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,special_teams_tds,rrtd,PPG,oline,qb,rb,wrte,dst
crd,WR,1.0,9,Zach Pascal,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,1.6666666666666667,2.111111111111111,0.0,0.0,17.77777777777778,1.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.43333333333333335,0.0994475138121551,0.5678119349005424,0.9337231968810916,0.545348837209302,0.1283783783783763
dal,WR,0.8444444444444444,9,Racey McMath,25.0,0.1111111111111111,0.4444444444444444,0.0,0.0,0.0,0.0,0.4444444444444444,1.5555555555555556,5.333333333333333,0.0,0.1111111111111111,27.0,1.7777777777777777,0.1111111111111111,0.0,0.0,0.0,0.5777777777777777,0.2336227308603002,0.91500904159132,0.1695906432748537,0.4058139534883715,1.0
kan,WR,0.8999999999999999,9,Montrell Washington,25.0,0.5555555555555556,3.3333333333333335,0.0,0.0,0.0,0.0,0.4444444444444444,1.0,0.2222222222222222,0.0,0.0,17.0,1.4444444444444444,0.0,0.0,0.0,0.0,0.5777777777777777,0.5185477505919498,0.9240506329113922,0.3879142300194931,0.5546511627906976,0.2740240240240252
nyg,WR,0.9285714285714286,14,Gunner Olszewski,28.0,0.5714285714285714,2.7857142857142856,0.0,0.0,0.21428571428571427,0.0,0.5,0.6428571428571429,3.7857142857142856,0.0,0.14285714285714285,3.9285714285714284,0.9285714285714286,0.07142857142857142,0.0,0.14285714285714285,0.0,0.6214285714285714,0.0,0.4267631103074141,0.1325536062378169,0.4593023255813953,0.3355855855855862
nyg,WR,0.9571428571428572,7,Miles Boykin,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,1.0,4.0,0.0,0.0,9.285714285714286,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.7571428571428571,0.0,0.4267631103074141,0.1325536062378169,0.4593023255813953,0.3355855855855862
dal,WR,0.82,10,Tyron Johnson,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,4.8,0.0,0.0,20.0,3.8,0.2,0.0,0.0,0.0,0.78,0.2336227308603002,0.91500904159132,0.1695906432748537,0.4058139534883715,1.0
dal,TE,1.0,7,Peyton Hendershot,25.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,1.0,5.428571428571429,0.0,0.0,3.857142857142857,4.0,0.14285714285714285,0.0,0.0,0.0,0.8285714285714286,0.2336227308603002,0.91500904159132,0.1695906432748537,0.4058139534883715,1.0
chi,WR,1.0,8,DeAndre Carter,31.0,0.375,2.25,0.0,0.0,0.25,0.0,0.5,0.875,4.875,0.0,0.0,0.5,6.25,0.0,0.0,0.0,0.0,0.9625,0.4175217048145221,0.9204339963833632,0.3684210526315792,0.96860465116279,0.2747747747747748
nyg,TE,0.9400000000000001,10,Chris Manhertz,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,5.8,0.0,0.0,3.3,4.5,0.3,0.0,0.0,0.0,0.98,0.0,0.4267631103074141,0.1325536062378169,0.4593023255813953,0.3355855855855862
rav,WR,0.9285714285714286,7,Tylan Wallace,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,1.2857142857142858,6.285714285714286,0.0,0.0,16.714285714285715,1.2857142857142858,0.2857142857142857,0.0,0.14285714285714285,0.0,0.9857142857142858,0.653512233622731,0.922242314647378,0.680311890838206,0.3395348837209302,0.7312312312312299
