,player_id,season,player_display_name,recent_team,GP,position,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,age,status,y/c,y/g,c/g,y/rec,rec/g,y/tgt,catch %,touches,y/touch,rrtd
90,00-0022178,2013,Willis McGahee,CLE,11,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,138,377.0,2,1.0,1.0,28.0,-24.776077790252074,0,8,11,20.0,0,0.0,0.0,12.0,12.0,0.0,-5.8744099209391525,0,5.8,0.28941688392907905,0.03119720030619388,0.4559633661079543,0.0,49.7,57.7,11,0.02335456475583864,0.003121748178980229,0.008097165991902834,0.037529245676942144,0.006331117442228553,0.0,0.0,0.0,0.0031655587211142765,0.005064893953782843,0.04246284501061571,0.05636637164683586,31.0,ACT,2.7318840579710146,34.27272727272727,12.545454545454545,2.5,0.7272727272727273,1.8181818181818181,72.72727272727273,146,2.719178082191781,2
91,00-0022397,2013,Vonta Leach,BAL,13,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,11,23.0,0,0.0,0.0,3.0,-3.1499308438997984,0,11,19,47.0,1,0.0,0.0,16.0,49.0,3.0,-10.664777947444279,0,10.076923076923077,0.5037357369727586,0.02613382809427864,0.773897285125133,0.0,13.0,24.0,13,0.038306451612903226,0.0034460478139134183,0.0338865836791148,0.060216515670485575,0.014465989535241613,0.058823529411764705,0.01935483870967742,0.023255813953488372,0.03664475947350316,0.023337497510546232,0.09475806451612903,0.023086690522913542,31.0,ACT,2.090909090909091,1.7692307692307692,0.8461538461538461,4.2727272727272725,0.8461538461538461,2.473684210526316,57.89473684210527,22,3.1818181818181817,1
99,00-0022736,2013,Steven Jackson,ATL,12,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,157,543.0,6,0.0,0.0,26.0,-21.998009214448587,0,33,49,191.0,1,0.0,0.0,10.0,202.0,10.0,-12.103941225896618,0,55.45238095238095,1.2774721487629848,0.04759778449189509,1.9495266722888036,0.0,115.4,148.4,12,0.09898989898989899,0.003037667071688943,0.13015463917525774,0.15091498214219964,0.05779122541603631,0.058823529411764705,0.06172839506172839,0.061452513966480445,0.058307377413900505,0.05799768621518199,0.38585858585858585,0.13845866766187723,30.0,ACT,3.4585987261146496,45.25,13.083333333333334,5.787878787878788,2.75,3.8979591836734695,67.3469387755102,190,3.863157894736842,7
100,00-0022736,2014,Steven Jackson,ATL,15,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,190,707.0,6,0.0,0.0,37.0,-16.424411721241505,0,20,27,148.0,0,0.0,0.0,33.0,121.0,6.0,1.621709247061517,0,33.72380952380952,0.6704271024038466,0.10914645673752997,1.0820431733220408,0.0,121.50000000000001,141.5,15,0.046153846153846156,0.007191109174112007,0.0607429718875502,0.07498365657005884,0.0329035126722988,0.0,0.02727272727272727,0.024193548387096774,0.0164517563361494,0.026322810137839044,0.252991452991453,0.09572323470119468,31.0,ACT,3.721052631578947,47.13333333333333,12.666666666666666,7.4,1.3333333333333333,5.481481481481482,74.07407407407408,210,4.071428571428571,6
101,00-0022736,2015,Steven Jackson,NE,2,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,21,50.0,1,0.0,0.0,4.0,-2.737324535904918,0,1,1,20.0,0,0.0,0.0,-3.0,23.0,1.0,2.190685879904777,0,-6.666666666666667,0.04,-0.015151515151515152,0.04939393939393939,0.0,13.0,14.0,2,0.017857142857142856,-0.007058823529411765,0.1,0.021138655462184873,0.05390835579514825,0.0,0.0625,0.058823529411764705,0.026954177897574125,0.0431266846361186,0.35714285714285715,0.12254901960784313,32.0,ACT,2.380952380952381,25.0,10.5,20.0,0.5,20.0,100.0,22,3.1818181818181817,1
127,00-0022897,2013,Greg Jones,HOU,10,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,2.0,0,0.0,0.0,0.0,-1.334886662021745,0,5,11,34.0,0,0.0,0.0,48.0,10.0,1.0,-0.14283784717554227,0,4.838095238095238,0.27641607496428555,0.15703376176344438,0.5245477456808394,0.0,3.6,8.600000000000001,10,0.02702702702702703,0.01391304347826087,0.00916590284142988,0.05167097532314924,0.012426900584795321,0.0,0.007633587786259542,0.006944444444444444,0.0062134502923976605,0.009941520467836258,0.08353808353808354,0.010396015666553843,32.0,ACT,1.0,0.2,0.2,6.8,0.5,3.090909090909091,45.45454545454545,7,5.142857142857143,0
161,00-0022999,2013,John Kuhn,GB,12,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,10,38.0,1,0.0,0.0,7.0,5.6211011963605415,0,13,19,81.0,0,0.0,0.0,12.0,83.0,2.0,-7.0700421871151775,0,23.20952380952381,0.54430157650601,0.05692200939496083,0.8562977713354876,0.0,17.900000000000002,30.900000000000002,12,0.04377880184331797,0.003628666465074085,0.04848130841121495,0.06857113593703622,0.02383053839364519,0.0,0.012987012987012988,0.011560693641618497,0.011915269196822596,0.019064430714916154,0.18663594470046083,0.02730984745373235,30.0,ACT,3.8,3.1666666666666665,0.8333333333333334,6.230769230769231,1.0833333333333333,4.2631578947368425,68.42105263157895,23,5.173913043478261,1
162,00-0022999,2014,John Kuhn,GB,11,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,24,85.0,1,0.0,0.0,4.0,-2.405856738681905,0,4,4,23.0,0,0.0,0.0,-2.0,25.0,0.0,1.3412459946703166,0,-14.0,0.13210532575545192,-0.006420694630526641,0.19366350239180924,0.0,16.8,20.8,11,0.0110803324099723,-0.0006944444444444445,0.01751927119831815,0.016064943059402894,0.007656458055925432,0.0,0.0,0.0,0.003828229027962716,0.006125166444740347,0.06371191135734072,0.017741990514858915,31.0,ACT,3.5416666666666665,7.7272727272727275,2.1818181818181817,5.75,0.36363636363636365,5.75,100.0,28,3.857142857142857,1
163,00-0022999,2015,John Kuhn,GB,9,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,9,28.0,2,0.0,0.0,3.0,1.4507347152102739,0,6,10,56.0,0,0.0,0.0,-1.0,59.0,3.0,-0.526509428491504,0,2.0,0.28364899522810083,-0.004661138049800342,0.4222106962072911,0.0,20.400000000000002,26.4,9,0.03003003003003003,-0.0003677822728944465,0.05235137533274179,0.04475081922672949,0.02625410220346929,0.0,0.030612244897959183,0.026785714285714284,0.013127051101734646,0.021003281762775435,0.16816816816816818,0.03488279908036256,32.0,ACT,3.111111111111111,3.111111111111111,1.0,9.333333333333334,0.6666666666666666,5.6,60.0,15,5.6,2
164,00-0022999,2016,John Kuhn,NO,13,RB,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,18,37.0,4,0.0,0.0,12.0,4.352981295058271,0,16,20,70.0,1,0.0,0.0,15.0,50.0,5.0,0.41064947986160405,0,21.089285714285715,0.5026184764050694,0.09306352427928663,0.8190721816031047,0.0,40.7,56.7,13,0.03663003663003663,0.003996802557953637,0.02557544757033248,0.05814249699141785,0.016908212560386472,0.034482758620689655,0.023255813953488372,0.02459016393442623,0.025695485590538063,0.02042312177244711,0.1282051282051282,0.038880888706027565,33.0,ACT,2.0555555555555554,2.8461538461538463,1.3846153846153846,4.375,1.2307692307692308,3.5,80.0,34,3.1470588235294117,5
