,player_id,season,player_display_name,recent_team,GP,position,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,age,status,y/c,y/g,c/g,y/rec,rec/g,y/tgt,catch %,touches,y/touch,rrtd
0,00-0006101,2013,Tony Gonzalez,ATL,16,TE,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,83,121,859.0,8,0.0,0.0,964.0,224.0,56.0,50.20375688688364,1,14.524904330139446,2.9672624291264778,3.6030203296797656,6.973007874465552,0.0,135.9,218.9,16,0.1838905775075988,0.21508255243195,0.1050656660412758,0.44790190820695824,0.18883271048582106,0.3076923076923077,0.24669603524229075,0.25296442687747034,0.2482625090890644,0.2126046299271184,1.3054711246200608,0.1475504866672059,37.0,ACT,,0.0,0.0,10.349397590361447,5.1875,7.099173553719008,68.59504132231406,83,10.349397590361447,8
7,00-0015754,2013,Brandon Stokley,BAL,6,WR,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,13,21,115.0,0,0.0,0.0,174.0,60.0,8.0,-0.05466551659628749,0,7.779734708916728,0.5002757304279553,0.4620433777808117,1.073843960088501,0.0,11.5,24.5,6,0.09090909090909091,0.08558780127889817,0.08321775312066575,0.2048338773867549,0.0760079312623926,0.0,0.10666666666666667,0.0963855421686747,0.0380039656311963,0.06080634500991408,0.49783549783549785,0.04901764635268697,37.0,RES,,0.0,0.0,8.846153846153847,2.1666666666666665,5.476190476190476,61.904761904761905,13,8.846153846153847,0
24,00-0020337,2013,Steve Smith,CAR,15,WR,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,64,110,745.0,4,0.0,0.0,1219.0,178.0,44.0,24.91491437830426,0,10.475034263309713,3.743449239234338,4.719369260684245,8.918732341330479,0.0,98.5,162.5,15,0.24663677130044842,0.30429355966050925,0.11922304085733422,0.61339000467908,0.2306501547987616,0.18181818181818182,0.2682926829268293,0.25806451612903225,0.20623416830847172,0.22088376020264566,1.6704035874439462,0.13605157401205625,34.0,ACT,,0.0,0.0,11.640625,4.266666666666667,6.7727272727272725,58.18181818181818,64,11.640625,4
25,00-0020337,2014,Steve Smith,BAL,16,WR,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,79,134,1065.0,6,2.0,1.0,1413.0,363.0,45.0,39.161685107742024,0,13.027294122615286,3.988147050494103,5.097151875780591,9.550226888787568,0.0,140.5,219.5,16,0.24187725631768953,0.3056456846203764,0.2073101085094232,0.6073324321728354,0.2671851480180632,0.2222222222222222,0.23195876288659795,0.23076923076923078,0.2447036851201427,0.258192562858895,1.9223826714801444,0.15138557457549967,35.0,ACT,,0.0,0.0,13.481012658227849,4.9375,7.947761194029851,58.95522388059702,79,13.481012658227849,6
26,00-0020337,2015,Steve Smith,BAL,7,WR,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,46,73,670.0,3,0.0,0.0,719.0,256.0,28.0,22.4175988474965,0,6.641954664338385,1.7528595466095467,2.1353093936833463,4.124005895492662,0.0,85.00000000000001,131.0,7,0.2517241379310345,0.32198835647111507,0.267223382045929,0.6351768920734437,0.3413143148242486,0.3333333333333333,0.3181818181818182,0.31958762886597936,0.33732382407879097,0.33971811852606554,2.310344827586207,0.21090932509015972,36.0,RES,,0.0,0.0,14.565217391304348,6.571428571428571,9.178082191780822,63.013698630136986,46,14.565217391304348,3
27,00-0020337,2016,Steve Smith,BAL,14,WR,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,70,101,799.0,5,0.0,0.0,873.0,281.0,39.0,36.78816458611039,2,14.114253086570221,2.555080416735904,3.0298646929403166,5.953525910162077,0.0,113.9,183.9,14,0.17206132879045996,0.2103107684895206,0.15172786177105832,0.42634060797730644,0.21092925026399156,0.25,0.21195652173913043,0.21568627450980393,0.23046462513199578,0.21874340021119326,1.3611584327086883,0.14281054887708508,37.0,ACT,,0.0,0.0,11.414285714285715,5.0,7.910891089108911,69.3069306930693,70,11.414285714285715,5
28,00-0020494,2013,Santana Moss,WAS,16,WR,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,25.0,0,0.0,0.0,1.0,1.172079466166906,0,42,78,452.0,2,1.0,1.0,641.0,182.0,28.0,-12.320109463862062,0,16.43149217664092,1.9999324784189885,1.8650212238769215,4.305413574342328,0.0,57.7,99.7,16,0.1276595744680851,0.12345916795069338,0.09875203472599023,0.29025669606268234,0.1114123736751294,0.1,0.1414141414141414,0.13761467889908258,0.1057061868375647,0.10912989894010354,0.7397708674304418,0.07312708122460355,34.0,ACT,8.333333333333334,1.5625,0.1875,10.761904761904763,2.625,5.794871794871795,53.84615384615385,45,10.6,2
29,00-0020494,2014,Santana Moss,WAS,5,WR,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,10,15,116.0,0,0.0,0.0,111.0,74.0,6.0,4.047959221818019,0,6.136363636363637,0.3989475252808794,0.5524564637648585,0.98514081255672,0.0,11.6,21.6,5,0.08287292817679558,0.09454855195911414,0.08231368186874305,0.19994823383248467,0.07972508591065292,0.0,0.10344827586206896,0.09523809523809523,0.03986254295532646,0.06378006872852233,0.6408839779005525,0.05063291139240506,35.0,ACT,,0.0,0.0,11.6,2.0,7.733333333333333,66.66666666666666,10,11.6,0
30,00-0020498,2013,Reggie Wayne,IND,7,WR,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,5.0,0,0.0,0.0,0.0,0.19809722201898694,0,38,58,503.0,2,0.0,0.0,600.0,158.0,28.0,22.369469306814715,1,6.47271276080581,1.8508487259053836,2.038645788213141,4.203325140607274,0.0,64.80000000000001,102.80000000000001,7,0.2555066079295154,0.2786809103576405,0.23269513991163476,0.6062046401803856,0.3122284295468653,0.2,0.35,0.3333333333333333,0.25611421477343266,0.28978274363749223,2.2158590308370045,0.17075277390206633,34.0,RES,5.0,0.7142857142857143,0.14285714285714285,13.236842105263158,5.428571428571429,8.672413793103448,65.51724137931035,39,13.025641025641026,2
31,00-0020498,2014,Reggie Wayne,IND,15,WR,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,64,116,779.0,2,1.0,1.0,1124.0,273.0,40.0,-9.089089846491994,0,11.92107154663736,2.892578360022266,3.19754367837741,6.577148114897586,0.0,87.9,151.9,15,0.18831168831168832,0.2100149476831091,0.12302839116719243,0.45047949061401976,0.1670956670956671,0.05128205128205128,0.17094017094017094,0.15384615384615385,0.10918885918885918,0.14393294393294392,1.2646103896103895,0.09653147599740718,35.0,ACT,,0.0,0.0,12.171875,4.266666666666667,6.7155172413793105,55.172413793103445,64,12.171875,2
