,team,season,offensive_points_per_drive,defensive_points_per_drive,total_offense_points,team_rush_yards,team_total_yards,team_passing_yards,league_avg_offensive_points_per_drive,league_avg_defensive_points_per_drive,team_offense_points,oline,team_points_for_skill_positions,rb,qb,wrte,M,dst,team_receiving_yards
11,atl,2013,1.85,2.38,353,1247,5490,4243,1.81375,1.81,101.9986216402481,46.36300983647641,55.635611803771695,7.513943652954624,12.511633719212439,35.61003443160463,1.3149171270718232,72.27935373044245,4243
33,buf,2013,1.48,1.68,339,2307,5410,3103,1.81375,1.81,81.59889731219849,37.09040786918113,44.50848944301736,11.285326838142094,8.63802227726757,24.5851403276077,0.9281767955801105,107.46020784004209,3103
44,car,2013,1.99,1.33,366,2026,5069,3043,1.81375,1.81,109.71743625086148,49.871561932209765,59.84587431865172,14.222381460872096,11.862108143022702,33.76138471475692,0.7348066298342542,131.30478129024218,3043
55,chi,2013,2.16,2.36,445,1828,6109,4281,1.81375,1.81,119.09028256374914,54.13194661988597,64.95833594386318,11.557447090992914,13.884231101746268,39.516657751123994,1.3038674033149171,73.15408746137278,4281
66,cin,2013,1.91,1.39,430,1755,5891,4136,1.81375,1.81,105.3066850447967,47.86667502036213,57.440010024434564,10.174745658945705,12.288968735027105,34.976295630461756,0.7679558011049723,126.71012361381615,4136
77,cle,2013,1.4,1.85,308,1383,5423,4040,1.81375,1.81,77.1881461061337,35.0855209573335,42.1026251488002,6.38429149507052,9.286766749969717,26.43156690375996,1.022099447513812,97.81394654322833,4040
143,clt,2013,1.97,1.72,391,1743,5468,3725,1.81375,1.81,108.61474844934529,49.37034020424785,59.24440824509743,11.22889973391381,12.484032212907744,35.531476298275884,0.9502762430939226,105.1024669150713,3725
0,crd,2013,1.71,1.53,379,1540,5542,4002,1.81375,1.81,94.27980702963474,42.854457740743065,51.425349288891674,8.496741511541593,11.161438022111021,31.76716975523906,0.8453038674033149,116.88513342721988,4002
88,dal,2013,2.18,2.25,439,1504,5458,3954,1.81375,1.81,120.19297036526535,54.633168347847885,65.55980201741747,10.741696934588004,14.252707321535661,40.5653977612938,1.2430939226519337,78.06752608962553,3954
99,den,2013,2.83,1.83,606,1873,7317,5444,1.81375,1.81,156.0303239145417,70.92287450660986,85.10744940793184,12.9536826874965,18.75997934731319,53.39378737312215,1.011049723756906,98.90106572472301,5444
110,det,2013,1.86,1.75,395,1792,6274,4482,1.81375,1.81,102.5499655410062,46.61362070045736,55.93634484054884,9.499670277997561,12.073535386263334,34.36313917628795,0.9668508287292817,103.3717442778216,4482
121,gnb,2013,2.15,2.19,417,2136,6404,4268,1.81375,1.81,118.53893866299104,53.88133575590502,64.65760290708602,12.8230247810059,13.476990312780831,38.35758781329929,1.2099447513812154,80.82696334418125,4268
132,htx,2013,1.29,1.91,276,1743,5556,3813,1.81375,1.81,71.12336319779463,32.328801453543015,38.79456174425162,7.2364731804188915,8.20510302659651,23.35298553723622,1.0552486187845302,94.61976801365307,3813
154,jax,2013,1.18,2.14,247,1260,4701,3441,1.81375,1.81,65.05858028945555,29.572081949752523,35.486498339703026,5.65541393709543,7.756081944677975,22.07500245792962,1.1823204419889504,83.1736975267207,3441
165,kan,2013,1.79,1.49,430,2056,5396,3340,1.81375,1.81,98.69055823569951,44.859344652590686,53.83121358310883,12.19568776065944,10.82523671383684,30.810289108612547,0.8232044198895028,119.57803403908191,3340
209,mia,2013,1.56,1.64,317,1440,5007,3567,1.81375,1.81,86.00964851826326,39.095294781028755,46.91435373723451,8.02253454026843,10.11187299121118,28.779946205754896,0.9060773480662982,109.87905942595337,3567
220,min,2013,1.87,2.22,391,2081,5508,3427,1.81375,1.81,103.1013094417643,46.86423156443832,56.23707787732598,12.63344667893255,11.336944111582293,32.26668708681114,1.2265193370165746,79.43979891493703,3427
242,nor,2013,2.29,1.6,414,1473,6391,4918,1.81375,1.81,126.25775327360441,57.38988785163836,68.86786542196604,9.437816045639483,15.451812837844907,43.97823653848166,0.8839779005524863,112.36360497237567,4918
231,nwe,2013,2.1,1.62,444,2065,6152,4087,1.81375,1.81,115.78221915920055,52.62828143600025,63.1539377232003,12.604485426690461,13.14285759709256,37.40659469941728,0.8950276243093923,111.1128163153946,4087
253,nyg,2013,1.33,1.59,294,1332,4920,3588,1.81375,1.81,73.32873880082701,33.331244909466825,39.997493891360186,6.438620967877493,8.7253069601055,24.833565963377193,0.8784530386740331,112.99558706000906,3588
264,nyj,2013,1.4,1.79,290,2158,5090,2932,1.81375,1.81,77.1881461061337,35.0855209573335,42.1026251488002,10.613626249479308,8.187139713823433,23.30185918549746,0.988950276243094,101.1111454057224,2932
330,oti,2013,1.85,1.83,362,1894,5390,3496,1.81375,1.81,101.9986216402481,46.36300983647641,55.635611803771695,11.624252482773699,11.44295342345948,32.56840589753852,1.011049723756906,98.90106572472301,3496
275,phi,2013,2.12,1.73,442,2566,6676,4110,1.81375,1.81,116.88490696071675,53.129503163962156,63.75540379675459,14.57062837082567,12.78804161074152,36.396733815187396,0.9558011049723757,104.52208347970493,4110
