,season,season_type,player_display_name,player_position_x,team_abbr_x,avg_cushion / game,avg_separation / game,avg_intended_air_yards / game,percent_share_of_intended_air_yards / game,receptions / game,targets / game,catch_percentage / game,yards / game,rec_touchdowns / game,avg_yac / game,avg_expected_yac / game,avg_yac_above_expectation / game,player_position_y,team_abbr_y,efficiency / game,percent_attempts_gte_eight_defenders / game,avg_time_to_los / game,rush_attempts / game,rush_yards / game,expected_rush_yards / game,rush_yards_over_expected / game,avg_rush_yards / game,rush_yards_over_expected_per_att / game,rush_pct_over_expected / game,rush_touchdowns / game,player_id,team,GP,position,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,age,status,y/c,y/g,c/g,y/rec,rec/g,y/tgt,catch %,touches,y/touch,rrtd,team_rush_yards,rb,team_receiving_yards,wrte,AV
0,2016,REG,Steve Smith,WR,BAL,6.370898999876527,2.679138413262812,9.79242210924389,23.24753226900401,10.23076923076923,15.0,66.15076068046365,119.15384615384616,0.7692307692307693,3.947577838827839,3.339788788953278,0.6077890498745613,,,,,,,,,,,,,,00-0020337,rav,14,WR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,70,101,799.0,5,0.0,0.0,873.0,281.0,39.0,36.78816458611039,2,14.11425308657022,2.555080416735904,3.029864692940317,5.953525910162077,0.0,183.9,14,0.1720613287904599,0.2103107684895206,0.1517278617710583,0.4263406079773064,0.2109292502639915,0.25,0.2119565217391304,0.2156862745098039,0.2304646251319957,0.2187434002111932,1.3611584327086883,0.142810548877085,37.0,ACT,,0.0,0.0,11.414285714285716,5.0,7.910891089108911,69.3069306930693,70,11.414285714285716,5,1463,7.543414301954022,4100,30.11583827075364,5.868915799593209
1,2016,REG,Antonio Gates,TE,LAC,5.821919977081742,2.589614936616617,8.719530296764168,21.9778796855588,8.909090909090908,16.0,54.941912925783896,93.45454545454544,1.2727272727272727,3.602935963407663,3.942701405763699,-0.3397654423560365,,,,,,,,,,,,,,00-0021547,sdg,13,TE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,53,93,548.0,7,1.0,1.0,769.0,188.0,34.0,12.82165374463542,0,9.766388218897324,2.596262989366437,2.5279264233746543,5.663942980411915,0.0,147.8,13,0.1987179487179487,0.191055900621118,0.1161210623841877,0.4509216435738175,0.1567057477838147,0.25,0.1954022988505747,0.2029702970297029,0.2033528738919073,0.1753645982270517,1.170940170940171,0.1263917631565445,36.0,ACT,,0.0,0.0,10.339622641509434,4.076923076923077,5.89247311827957,56.98924731182796,53,10.339622641509434,7,1510,9.328741141766685,4198,36.98422952290277,4.827860356967775
2,2017,REG,Antonio Gates,TE,LAC,4.57724181184669,2.3077519250182115,8.276139743589745,14.293394320949163,9.0,15.2,59.87179487179488,98.2,0.8,3.8300333333333327,3.693115233598157,0.1369180997351763,,,,,,,,,,,,,,00-0021547,sdg,16,TE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,30,52,316.0,3,0.0,0.0,432.0,66.0,16.0,3.985501949536145,0,11.184118223177345,1.414265720626398,1.3819571525246557,3.088768587706856,0.0,79.6,16,0.0891938250428816,0.0903765690376569,0.0306976744186046,0.206091992794448,0.069435288947484,0.1071428571428571,0.0727272727272727,0.0766129032258064,0.0882890730451706,0.0769768025865587,0.5420240137221269,0.0538332521776767,37.0,ACT,,0.0,0.0,10.533333333333331,1.875,6.076923076923077,57.692307692307686,30,10.533333333333331,3,1595,9.020766027101022,4431,35.73994080171579,2.548819971415525
3,2018,REG,Antonio Gates,TE,LAC,4.020237593984962,2.300223924002111,8.504666666666667,14.47411252937146,8.6,13.4,66.73015873015872,106.6,0.6,5.249842857142857,6.151308793268857,-0.901465936126,,,,,,,,,,,,,,00-0021547,sdg,15,TE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,28,45,333.0,2,1.0,1.0,356.0,126.0,19.0,4.63839070640941,2,14.265516137973766,1.3836443374830376,1.4001950498091351,3.055603041090951,0.0,75.3,15,0.0925925925925925,0.0969763007354944,0.0618556701030927,0.2164699294772844,0.0814579256360078,0.0666666666666666,0.094059405940594,0.0905172413793103,0.0740622961513372,0.0784996738421396,0.6851851851851852,0.0514829552446978,38.0,ACT,,0.0,0.0,11.892857142857142,1.8666666666666667,7.4,62.22222222222222,28,11.892857142857142,2,1873,12.199937115107687,4089,39.30268689539519,3.200732388399755
4,2016,REG,Anquan Boldin,WR,DET,4.962464374888532,2.3513759250549997,6.78795895040632,15.956010447888898,10.727272727272728,15.272727272727272,68.85737069947596,93.63636363636364,1.2727272727272727,3.0620877431026687,3.1220107494547618,-0.059923006352093,,,,,,,,,,,,,,00-0022084,det,16,WR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,67,95,584.0,8,0.0,0.0,546.0,231.0,41.0,28.075428572933383,0,21.812186681750635,2.668356331875066,2.302213925970724,5.614084245992105,0.0,173.4,16,0.1599326599326599,0.1235014702555982,0.1037269869779973,0.3387001661034685,0.1349664894846313,0.3333333333333333,0.1889400921658986,0.2033195020746888,0.2341499114089823,0.1746398582543717,0.9831649831649832,0.1232602112625997,35.0,ACT,,0.0,0.0,8.716417910447761,4.1875,6.147368421052631,70.52631578947368,67,8.716417910447761,8,1310,8.480842475197958,4111,37.401686507609504,5.313204796994393
5,2016,REG,Jason Witten,TE,DAL,5.669606349206349,2.6884666799885526,7.097412218045113,22.615929471403568,12.5,17.3,70.8266499582289,117.8,0.4,2.91049917184265,3.319024712377704,-0.4085255405350537,,,,,,,,,,,,,,00-0022127,dal,15,TE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,69,95,673.0,3,1.0,1.0,596.0,273.0,33.0,22.518397182480506,0,20.01303017914236,3.028307218998574,2.547235304420838,6.325525541592447,0.0,152.3,15,0.2043010752688172,0.1599141400590287,0.1725663716814159,0.4343829249504488,0.183879781420765,0.125,0.1783783783783784,0.1722488038277512,0.1544398907103825,0.172103825136612,1.4473118279569892,0.1085531004989308,34.0,ACT,,0.0,0.0,9.753623188405795,4.6,7.08421052631579,72.63157894736842,69,9.753623188405795,3,2396,16.43370474137631,3631,39.2861254871398,7.281620064126986
6,2017,REG,Jason Witten,TE,DAL,5.091631113801453,2.659504961147,7.089870232832302,19.518265390299096,11.5,15.7,72.26702033598585,100.5,0.8,2.162690035273368,2.658641545176918,-0.4959515099035501,,,,,,,,,,,,,,00-0022127,dal,16,TE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,63,87,560.0,5,1.0,1.0,602.0,105.0,26.0,17.28372098795307,0,15.018944977623956,2.856391884118982,2.5094826845962777,6.041225705395867,0.0,147.0,16,0.1764705882352941,0.1526756276946487,0.0769794721407624,0.3868463845086601,0.1683704149128082,0.2272727272727272,0.1604938271604938,0.1684782608695652,0.1978215710927677,0.180150877384792,1.1359026369168357,0.1143221551670503,35.0,ACT,,0.0,0.0,8.88888888888889,3.9375,6.436781609195402,72.41379310344827,63,8.88888888888889,5,2170,14.961971087043954,3141,34.50203579812816,6.151270311032083
7,2019,REG,Jason Witten,TE,DAL,5.073476851851852,3.0141257803125225,6.468009490342322,13.174103621328657,12.25,16.375,71.75977720405432,101.125,0.75,2.6848298611111114,2.6981911406471277,-0.0133612795360157,,,,,,,,,,,,,,00-0022127,dal,16,TE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,63,83,529.0,4,1.0,1.0,546.0,162.0,27.0,19.241698911857014,1,19.91025385896278,2.354516840890608,1.7885913924141652,4.783789236025827,0.0,139.9,16,0.1390284757118928,0.097274184927846,0.0861702127659574,0.286362061510116,0.1079151366789065,0.1333333333333333,0.1179039301310043,0.1196911196911196,0.1206242350061199,0.1129987760097919,0.8860971524288107,0.0838940260737116,37.0,ACT,,0.0,0.0,8.396825396825397,3.9375,6.373493975903615,75.90361445783132,63,8.396825396825397,4,2153,12.615725275527184,4751,41.01207525691135,4.566488699411935
8,2016,REG,Larry Fitzgerald,WR,ARI,6.520971454236753,2.3682909312111184,8.213055974025975,19.643051530474207,13.733333333333333,19.466666666666665,70.25242905242905,130.8,0.8,3.3914791920090983,3.4030928109753256,-0.0116136189662278,,,,,,,,,,,,,,00-0022921,crd,16,WR,0,1,0.0,0,0.0,0.0,0.0,0,0,22.0,0.0,0.0,-0.5623792777769268,0,0.0,0.0,2,5.0,0,0.0,0.0,0.0,-0.4310219640610739,0,107,150,1023.0,6,2.0,1.0,1150.0,358.0,59.0,30.592933922224805,0,15.850083488516113,3.766995677611273,3.043970344244329,7.781272757387938,0.0,243.8,16,0.2321981424148606,0.1853642811089619,0.2049227246708643,0.4965886385094605,0.2311864406779661,0.2142857142857142,0.2576419213973799,0.2529182879377432,0.2227360774818401,0.2278062953995157,1.58359133126935,0.1600052503773708,33.0,ACT,2.5,0.3125,0.125,9.5607476635514,6.6875,6.82,71.33333333333334,109,9.431192660550458,6,1732,10.10968429583588,4136,35.146403417566866,8.722311378071367
9,2017,REG,Larry Fitzgerald,WR,ARI,6.077556855881691,2.5329380514820348,7.939858536315737,24.693723865617123,13.4375,19.9375,66.00159276110364,142.6875,0.75,4.154832277209285,4.168224411368845,-0.0133921341595608,,,,,,,,,,,,,,00-0022921,crd,16,WR,1,1,21.0,0,0.0,0.0,0.0,0,0,18.0,3.0,1.0,1.2412540030200034,0,1.1666666666666667,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,109,161,1156.0,6,1.0,1.0,1336.0,408.0,66.0,27.763743842518046,1,16.799083526144344,4.499437705626207,3.863226048823236,9.453414792615575,0.0,261.44,16,0.2692307692307692,0.2300671603237472,0.2800274536719286,0.5878998821051516,0.2905252576024126,0.2857142857142857,0.33,0.3257918552036199,0.2881197716583492,0.2895630632247873,1.9331103678929769,0.211408147752818,34.0,ACT,,0.0,0.0,10.605504587155965,6.8125,7.180124223602484,67.70186335403726,109,10.605504587155965,6,1386,7.048778571421528,3640,26.595384603475978,8.446226538906107
