,Player,team,Age,Pos,G,GS,FGA1,FGM1,FGA2,FGM2,FGA3,FGM3,FGA4,FGM4,FGA5,FGM5,FGA,FGM,Lng,FG%,XPA,XPM,XP%,season,AV,fantasy_points
0,Dustin Hopkins,was,26,K,16,0,0,0,12,12,14,12,9,7,7,3,42,34,53,0.81,39,36,0.9229999999999999,2016,1.2458791902546984,144.0
1,Caleb Sturgis,phi,27,K,16,0,0,0,12,12,12,12,11,7,6,4,41,35,55,0.8540000000000001,31,30,0.968,2016,3.736726197791729,145.5
2,Nick Novak,htx,35,K,16,0,1,1,12,12,11,11,11,8,6,3,41,35,53,0.8540000000000001,25,22,0.88,2016,3.2087525770208583,135.75
3,Justin Tucker*+,rav,27,K,16,0,0,0,4,4,11,10,14,14,10,10,39,38,57,0.9740000000000001,27,27,1.0,2016,10.88580271250552,174.0
4,Graham Gano,car,29,K,16,0,0,0,4,4,11,9,17,14,6,3,38,30,54,0.789,34,31,0.912,2016,1.2259882806325195,133.75
5,Matt Bryant*,atl,41,K,16,0,0,0,12,12,8,7,9,9,8,6,37,34,59,0.919,57,56,0.982,2016,7.348154097946976,176.5
6,Stephen Hauschka,sea,31,K,16,0,0,0,13,11,13,13,10,8,1,1,37,33,53,0.892,35,29,0.8290000000000001,2016,3.476955436867495,131.5
7,Matt Prater*,det,32,K,16,0,0,0,10,10,5,4,14,10,7,7,36,31,58,0.861,33,31,0.9390000000000001,2016,4.5152807897382505,143.0
8,Sebastian Janikowski,oak,38,K,16,0,1,1,9,9,6,6,11,10,8,3,35,29,56,0.8290000000000001,39,37,0.9490000000000001,2016,3.2158848763623205,135.75
9,Cairo Santos,kan,25,K,16,0,0,0,9,8,17,15,7,6,2,2,35,31,53,0.8859999999999999,39,36,0.9229999999999999,2016,3.9551675039628287,133.75
10,Wil Lutz,nor,22,K,16,0,1,1,7,7,11,9,8,8,7,3,34,28,57,0.8240000000000001,50,49,0.98,2016,3.055586299926418,142.5
11,Brandon McManus,den,25,K,16,0,0,0,9,9,10,10,9,7,6,3,34,29,55,0.853,33,32,0.97,2016,3.893175696348429,128.5
12,Jason Myers,jax,25,K,16,0,0,0,7,7,4,3,11,10,12,7,34,27,56,0.794,32,29,0.9059999999999999,2016,2.5147398907544805,128.25
13,Stephen Gostkowski,nwe,32,K,16,0,0,0,9,9,9,6,10,9,4,3,32,27,53,0.8440000000000001,49,46,0.9390000000000001,2016,3.067168917845672,136.25
14,Dan Bailey,dal,28,K,16,0,0,0,9,9,8,8,9,7,6,3,32,27,56,0.8440000000000001,46,46,1.0,2016,3.966121969658376,137.0
15,Josh Lambo,sdg,26,K,16,0,0,0,7,7,14,13,8,6,3,0,32,26,47,0.813,46,42,0.9129999999999999,2016,1.3465764093082988,120.0
16,Adam Vinatieri,clt,44,K,16,0,0,0,3,3,7,7,12,10,9,7,31,27,54,0.871,44,44,1.0,2016,6.017433885342028,146.5
17,Roberto Aguayo,tam,22,K,16,0,0,0,5,5,15,13,10,4,1,0,31,22,43,0.71,34,32,0.941,2016,-2.352735368777509,94.0
18,Nick Folk,nyj,32,K,16,0,0,0,13,12,11,10,3,3,4,2,31,27,51,0.871,26,24,0.9229999999999999,2016,3.397246577672969,108.0
19,Mason Crosby,gnb,32,K,16,0,1,1,6,6,14,12,7,6,2,1,30,26,53,0.867,47,44,0.9359999999999999,2016,3.3718421284243743,125.25
20,Mike Nugent,cin,34,K,13,0,0,0,9,9,10,9,7,5,3,0,29,23,47,0.7929999999999999,29,23,0.7929999999999999,2016,-0.5302774197818645,90.0
21,Chandler Catanzaro,crd,25,K,16,0,1,1,6,5,7,6,8,6,6,3,28,21,60,0.75,47,43,0.915,2016,0.1683869307357128,111.0
22,Dan Carpenter,buf,31,K,16,0,1,1,8,8,5,5,9,4,2,1,25,19,54,0.76,45,40,0.889,2016,-0.1065314983230605,96.25
23,Chris Boswell,pit,25,K,15,0,0,0,2,2,9,8,12,11,2,0,25,21,49,0.84,36,36,1.0,2016,3.67494129560099,107.25
24,Cody Parkey,cle,24,K,14,0,0,0,6,6,6,6,12,7,1,1,25,20,51,0.8,21,20,0.9520000000000001,2016,1.5139167108955351,84.75
25,Ryan Succop,oti,30,K,16,0,1,1,5,5,5,5,8,8,5,3,24,22,53,0.917,41,39,0.951,2016,5.7354379409547285,117.0
26,Connor Barth,chi,30,K,16,0,0,0,8,7,8,7,4,3,3,1,23,18,54,0.7829999999999999,32,31,0.9690000000000001,2016,1.3338200074495052,85.75
27,Greg Zuerlein,lar,29,K,16,0,0,0,5,5,9,9,4,3,4,2,22,19,54,0.8640000000000001,23,23,1.0,2016,3.975079072738856,85.25
28,Andrew Franks,mia,23,K,16,0,0,0,10,8,6,6,3,1,2,1,21,16,55,0.762,42,41,0.976,2016,0.8276219736634198,87.5
29,Phil Dawson,sfo,41,K,16,0,0,0,4,4,6,6,9,7,2,1,21,18,53,0.857,34,33,0.971,2016,3.750517555025054,93.5
30,Blair Walsh,min,26,K,9,0,1,1,1,1,6,5,6,4,2,1,16,12,50,0.75,19,15,0.789,2016,-0.9018270294193472,52.0
31,Kai Forbath,min,29,K,7,0,0,0,5,5,5,5,4,4,1,1,15,15,51,1.0,14,11,0.7859999999999999,2016,7.923025507242771,60.5
32,Josh Brown,nyg,37,K,5,0,1,1,3,3,3,3,4,4,1,0,12,11,48,0.917,9,9,1.0,2016,6.358063639703467,45.5
33,Robbie Gould,nyg,34,K,10,0,0,0,3,3,3,3,4,4,0,0,10,10,47,1.0,23,20,0.87,2016,5.274295334827827,52.5
34,Randy Bullock,3tm,27,K,5,0,0,0,4,4,2,2,3,2,0,0,9,8,44,0.889,10,9,0.9,2016,3.533449378760929,33.75
35,Patrick Murray,cle,25,K,2,0,0,0,0,0,1,1,0,0,1,0,2,1,35,0.5,4,3,0.75,2016,-3.693940742604707,5.0
36,Ryan Succop,oti,31,K,16,0,0,0,10,10,7,7,20,16,5,2,42,35,52,0.833,33,31,0.9390000000000001,2017,2.785343941884025,150.5
37,Harrison Butker,kan,22,K,13,0,0,0,8,8,17,16,12,10,5,4,42,38,53,0.905,28,28,1.0,2017,7.362330109994829,157.0
38,Robbie Gould,sfo,35,K,16,0,0,0,8,7,11,11,18,17,4,4,41,39,52,0.951,30,28,0.9329999999999999,2017,8.542853637611021,167.25
39,Stephen Gostkowski,nwe,33,K,16,0,0,0,16,16,9,9,11,8,4,4,40,37,62,0.925,47,45,0.9570000000000001,2017,6.513760198818216,168.75
40,Greg Zuerlein*+,lar,30,K,14,0,1,1,8,8,12,11,12,12,7,6,40,38,56,0.95,46,44,0.9570000000000001,2017,9.30585180329906,179.5
41,Phil Dawson,crd,42,K,16,0,1,1,7,7,14,10,13,10,5,4,40,32,57,0.8,26,23,0.885,2017,0.8099855475435627,128.75
42,Matt Bryant,atl,42,K,16,0,1,1,6,6,13,10,10,9,9,8,39,34,57,0.872,35,35,1.0,2017,5.287019253211237,157.75
43,Chris Boswell*,pit,26,K,16,0,0,0,10,10,14,12,10,9,4,4,38,35,53,0.9209999999999999,39,37,0.9490000000000001,2017,6.460443250685867,155.25
44,Kai Forbath,min,30,K,16,0,0,0,8,8,14,12,7,6,9,6,38,32,53,0.8420000000000001,39,34,0.872,2017,2.780086308245592,141.25
45,Justin Tucker,rav,28,K,16,0,0,0,7,7,11,11,12,11,7,5,37,34,57,0.919,39,39,1.0,2017,7.269053635846886,160.25
