,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,player_id,season,player_display_name,team,GP,position,season_type,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,age,status,y/c,y/g,c/g,y/rec,rec/g,y/tgt,catch %,touches,y/touch,rrtd,rb,wrte,receiving_AV,rushing_AV,YearsBack
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00-0022178,2013,Willis McGahee,cle,11,RB,REG,138,377.0,2,1.0,1.0,28.0,-24.776077790252074,0,8,11,20.0,0,0.0,0.0,12.0,12.0,0.0,-5.8744099209391525,0,5.8,0.289416883929079,0.0311972003061938,0.4559633661079543,0.0,49.7,11,0.0233545647558386,0.0031217481789802,0.0080971659919028,0.0375292456769421,0.0063311174422285,0.0,0.0,0.0,0.0031655587211142,0.0050648939537828,0.0424628450106157,0.0563663716468358,31.0,ACT,2.731884057971014,34.27272727272727,12.545454545454543,2.5,0.7272727272727273,1.818181818181818,72.72727272727273,146,2.719178082191781,2,6.38429149507052,26.43156690375996,0.1308493411077226,1.7403310872318047,11
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,00-0022397,2013,Vonta Leach,rav,13,RB,REG,11,23.0,0,0.0,0.0,3.0,-3.1499308438997984,0,11,19,47.0,1,0.0,0.0,16.0,49.0,3.0,-10.66477794744428,0,10.076923076923077,0.5037357369727586,0.0261338280942786,0.773897285125133,0.0,13.0,13,0.0383064516129032,0.0034460478139134,0.0338865836791148,0.0602165156704855,0.0144659895352416,0.0588235294117647,0.0193548387096774,0.0232558139534883,0.0366447594735031,0.0233374975105462,0.094758064516129,0.0230866905229135,31.0,ACT,2.090909090909091,1.7692307692307692,0.8461538461538461,4.2727272727272725,0.8461538461538461,2.473684210526316,57.89473684210527,22,3.1818181818181817,1,6.904745642344119,26.714058176422764,0.3497383660980139,0.119585203143008,11
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,00-0022736,2013,Steven Jackson,atl,12,RB,REG,157,543.0,6,0.0,0.0,26.0,-21.998009214448587,0,33,49,191.0,1,0.0,0.0,10.0,202.0,10.0,-12.103941225896618,0,55.45238095238095,1.2774721487629848,0.047597784491895,1.949526672288804,0.0,115.4,12,0.0989898989898989,0.0030376670716889,0.1301546391752577,0.1509149821421996,0.0577912254160363,0.0588235294117647,0.0617283950617283,0.0614525139664804,0.0583073774139005,0.0579976862151819,0.3858585858585858,0.1384586676618772,30.0,ACT,3.4585987261146496,45.25,13.083333333333334,5.787878787878788,2.75,3.8979591836734695,67.3469387755102,190,3.863157894736842,7,7.513943652954624,35.61003443160463,1.6029970719859732,3.2719097061382203,11
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,00-0022736,2014,Steven Jackson,atl,15,RB,REG,190,707.0,6,0.0,0.0,37.0,-16.424411721241505,0,20,27,148.0,0,0.0,0.0,33.0,121.0,6.0,1.621709247061517,0,33.72380952380952,0.6704271024038466,0.1091464567375299,1.0820431733220408,0.0,121.5,15,0.0461538461538461,0.007191109174112,0.0607429718875502,0.0749836565700588,0.0329035126722988,0.0,0.0272727272727272,0.0241935483870967,0.0164517563361494,0.026322810137839,0.252991452991453,0.0957232347011946,31.0,ACT,3.721052631578947,47.13333333333333,12.666666666666666,7.4,1.3333333333333333,5.481481481481482,74.07407407407408,210,4.071428571428571,6,9.010469872914376,38.62968009606769,1.2556979253718463,4.252604940020336,10
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,00-0022736,2015,Steven Jackson,nwe,2,RB,REG,21,50.0,1,0.0,0.0,4.0,-2.737324535904918,0,1,1,20.0,0,0.0,0.0,-3.0,23.0,1.0,2.190685879904777,0,-6.666666666666667,0.04,-0.0151515151515151,0.0493939393939393,0.0,13.0,2,0.0178571428571428,-0.0070588235294117,0.1,0.0211386554621848,0.0539083557951482,0.0,0.0625,0.0588235294117647,0.0269541778975741,0.0431266846361186,0.3571428571428571,0.1225490196078431,32.0,ACT,2.380952380952381,25.0,10.5,20.0,0.5,20.0,100.0,22,3.1818181818181817,1,9.665967811882336,44.17919962948374,0.1926278597317799,0.3442296229302826,9
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,00-0022897,2013,Greg Jones,htx,10,RB,REG,2,2.0,0,0.0,0.0,0.0,-1.334886662021745,0,5,11,34.0,0,0.0,0.0,48.0,10.0,1.0,-0.1428378471755422,0,4.838095238095238,0.2764160749642855,0.1570337617634443,0.5245477456808394,0.0,3.6,10,0.027027027027027,0.0139130434782608,0.0091659028414298,0.0516709753231492,0.0124269005847953,0.0,0.0076335877862595,0.0069444444444444,0.0062134502923976,0.0099415204678362,0.0835380835380835,0.0103960156665538,32.0,ACT,1.0,0.2,0.2,6.8,0.5,3.090909090909091,45.45454545454545,7,5.142857142857143,0,7.2364731804188915,23.35298553723622,0.2082353811345479,0.0083034689390922,11
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,00-0022999,2013,John Kuhn,gnb,12,RB,REG,10,38.0,1,0.0,0.0,7.0,5.6211011963605415,0,13,19,81.0,0,0.0,0.0,12.0,83.0,2.0,-7.0700421871151775,0,23.20952380952381,0.54430157650601,0.0569220093949608,0.8562977713354876,0.0,17.900000000000002,12,0.0437788018433179,0.003628666465074,0.0484813084112149,0.0685711359370362,0.0238305383936451,0.0,0.0129870129870129,0.0115606936416184,0.0119152691968225,0.0190644307149161,0.1866359447004608,0.0273098474537323,30.0,ACT,3.8,3.1666666666666665,0.8333333333333334,6.230769230769231,1.0833333333333333,4.2631578947368425,68.42105263157895,23,5.173913043478261,1,12.8230247810059,38.35758781329929,0.7279673413489322,0.2281249726957978,11
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,00-0022999,2014,John Kuhn,gnb,11,RB,REG,24,85.0,1,0.0,0.0,4.0,-2.405856738681905,0,4,4,23.0,0,0.0,0.0,-2.0,25.0,0.0,1.3412459946703166,0,-14.0,0.1321053257554519,-0.0064206946305266,0.1936635023918092,0.0,16.8,11,0.0110803324099723,-0.0006944444444444,0.0175192711983181,0.0160649430594028,0.0076564580559254,0.0,0.0,0.0,0.0038282290279627,0.0061251664447403,0.0637119113573407,0.0177419905148589,31.0,ACT,3.5416666666666665,7.727272727272727,2.1818181818181817,5.75,0.3636363636363636,5.75,100.0,28,3.857142857142857,1,14.418680400544282,47.16135860035645,0.2545672958949069,0.6393259436861053,10
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,00-0022999,2015,John Kuhn,gnb,9,RB,REG,9,28.0,2,0.0,0.0,3.0,1.450734715210274,0,6,10,56.0,0,0.0,0.0,-1.0,59.0,3.0,-0.526509428491504,0,2.0,0.2836489952281008,-0.0046611380498003,0.4222106962072911,0.0,20.4,9,0.03003003003003,-0.0003677822728944,0.0523513753327417,0.0447508192267294,0.0262541022034692,0.0,0.0306122448979591,0.0267857142857142,0.0131270511017346,0.0210032817627754,0.1681681681681681,0.0348827990803625,32.0,ACT,3.111111111111111,3.111111111111111,1.0,9.333333333333334,0.6666666666666666,5.6,60.0,15,5.6,2,11.147751362502946,31.894932766451383,0.5098818826495225,0.1687227233243689,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,00-0022999,2016,John Kuhn,nor,13,RB,REG,18,37.0,4,0.0,0.0,12.0,4.352981295058271,0,16,20,70.0,1,0.0,0.0,15.0,50.0,5.0,0.410649479861604,0,21.089285714285715,0.5026184764050694,0.0930635242792866,0.8190721816031047,0.0,40.7,13,0.0366300366300366,0.0039968025579536,0.0255754475703324,0.0581424969914178,0.0169082125603864,0.0344827586206896,0.0232558139534883,0.0245901639344262,0.025695485590538,0.0204231217724471,0.1282051282051282,0.0388808887060275,33.0,ACT,2.055555555555556,2.8461538461538463,1.3846153846153846,4.375,1.2307692307692308,3.5,80.0,34,3.147058823529412,5,11.168686644333569,46.12207127870904,0.6362918781059584,0.2372223914123662,8
