,Player,Tm,Age,Pos,G,GS,FGA1,FGM1,FGA2,FGM2,FGA3,FGM3,FGA4,FGM4,FGA5,FGM5,FGA,FGM,Lng,FG%,XPA,XPM,XP%,Year,AV
0,Dustin Hopkins,WAS,26,K,16,0,0,0,12,12,14,12,9,7,7,3,42,34,53,81.0%,39,36,92.3%,2016,1.2458791902546984
1,Caleb Sturgis,PHI,27,K,16,0,0,0,12,12,12,12,11,7,6,4,41,35,55,85.4%,31,30,96.8%,2016,3.736726197791729
2,Nick Novak,HOU,35,K,16,0,1,1,12,12,11,11,11,8,6,3,41,35,53,85.4%,25,22,88.0%,2016,3.2087525770208583
3,Justin Tucker*+,BAL,27,K,16,0,0,0,4,4,11,10,14,14,10,10,39,38,57,97.4%,27,27,100.0%,2016,10.885802712505521
4,Graham Gano,CAR,29,K,16,0,0,0,4,4,11,9,17,14,6,3,38,30,54,78.9%,34,31,91.2%,2016,1.2259882806325195
5,Matt Bryant*,ATL,41,K,16,0,0,0,12,12,8,7,9,9,8,6,37,34,59,91.9%,57,56,98.2%,2016,7.348154097946976
6,Stephen Hauschka,SEA,31,K,16,0,0,0,13,11,13,13,10,8,1,1,37,33,53,89.2%,35,29,82.9%,2016,3.476955436867495
7,Matt Prater*,DET,32,K,16,0,0,0,10,10,5,4,14,10,7,7,36,31,58,86.1%,33,31,93.9%,2016,4.5152807897382505
8,Sebastian Janikowski,OAK,38,K,16,0,1,1,9,9,6,6,11,10,8,3,35,29,56,82.9%,39,37,94.9%,2016,3.2158848763623205
9,Cairo Santos,KAN,25,K,16,0,0,0,9,8,17,15,7,6,2,2,35,31,53,88.6%,39,36,92.3%,2016,3.9551675039628287
10,Wil Lutz,NOR,22,K,16,0,1,1,7,7,11,9,8,8,7,3,34,28,57,82.4%,50,49,98.0%,2016,3.055586299926418
11,Brandon McManus,DEN,25,K,16,0,0,0,9,9,10,10,9,7,6,3,34,29,55,85.3%,33,32,97.0%,2016,3.893175696348429
12,Jason Myers,JAX,25,K,16,0,0,0,7,7,4,3,11,10,12,7,34,27,56,79.4%,32,29,90.6%,2016,2.5147398907544805
